,Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
0,0,1,1.0,2014-10-29,21,PHI,@,IND,L (-12),0,8,0,4,0.0,0,2,0.0,0,0,,0,1,1,0,0,0,1,2,0,-4.3,-13
1,1,2,2.0,2014-10-31,21,PHI,@,MIL,L (-12),0,5,0,1,0.0,0,1,0.0,0,0,,0,0,0,0,0,1,1,0,0,-1.0,-6
3,3,4,4.0,2014-11-03,21,PHI,,HOU,L (-11),0,10,0,2,0.0,0,1,0.0,0,0,,0,2,2,0,0,1,1,2,0,-1.9,-2
5,5,6,6.0,2014-11-07,21,PHI,,CHI,L (-3),1,27,2,3,0.667,0,0,,0,0,,1,4,5,3,1,0,1,2,4,5.9,-4
6,6,7,7.0,2014-11-09,21,PHI,@,TOR,L (-32),1,20,1,8,0.125,0,2,0.0,2,4,0.5,1,2,3,3,0,0,0,5,4,-0.6,-21
7,7,8,8.0,2014-11-13,21,PHI,@,DAL,L (-53),0,22,3,8,0.375,1,2,0.5,1,2,0.5,0,2,2,0,0,1,0,1,8,4.1,-26
10,16,17,11.0,2014-12-01,21,PHI,,SAS,L (-6),0,12,1,1,1.0,1,1,1.0,1,2,0.5,0,3,3,1,0,0,1,1,4,3.5,14
12,18,19,13.0,2014-12-05,21,PHI,,OKC,L (-12),0,8,1,3,0.333,0,1,0.0,1,2,0.5,1,2,3,1,0,0,0,0,3,2.9,-6
13,19,20,14.0,2014-12-06,21,PHI,@,DET,W (+7),0,9,1,2,0.5,0,1,0.0,0,1,0.0,0,1,1,0,0,0,0,5,2,-1.1,-4
14,20,21,15.0,2014-12-10,21,PHI,@,ATL,L (-16),0,7,0,1,0.0,0,0,,0,0,,1,0,1,0,0,0,1,2,0,-1.8,2
17,23,24,18.0,2014-12-15,21,PHI,,BOS,L (-18),0,7,2,3,0.667,0,1,0.0,2,2,1.0,0,2,2,1,0,1,1,1,6,5.3,5
18,24,25,19.0,2014-12-19,21,PHI,,CHO,L (-18),0,20,2,2,1.0,0,0,,4,4,1.0,1,4,5,0,0,1,3,2,8,6.2,-13
19,25,26,20.0,2014-12-21,21,PHI,@,ORL,W (+8),1,17,2,5,0.4,1,1,1.0,0,0,,2,0,2,0,0,0,2,1,5,1.3,1
20,26,27,21.0,2014-12-23,21,PHI,@,MIA,W (+4),1,20,3,6,0.5,0,2,0.0,2,2,1.0,0,1,1,0,1,1,1,3,8,4.8,-15
21,27,28,22.0,2014-12-26,21,PHI,@,POR,L (-21),1,20,4,4,1.0,0,0,,1,2,0.5,1,1,2,1,3,0,3,4,9,7.5,-15
22,28,29,23.0,2014-12-27,21,PHI,@,UTA,L (-17),1,21,1,3,0.333,0,2,0.0,0,2,0.0,0,2,2,1,0,0,1,2,2,-1.0,-17
23,29,30,24.0,2014-12-30,21,PHI,@,GSW,L (-40),1,15,2,7,0.286,1,4,0.25,2,3,0.667,1,0,1,1,0,0,1,1,7,2.5,-10
25,31,32,26.0,2015-01-03,21,PHI,@,LAC,L (-36),0,24,4,7,0.571,1,3,0.333,1,2,0.5,0,3,3,1,1,0,1,4,10,6.3,-16
27,33,34,28.0,2015-01-07,21,PHI,,MIL,L (-20),0,24,5,7,0.714,1,2,0.5,0,0,,2,5,7,5,1,0,4,3,11,10.3,16
29,35,36,30.0,2015-01-10,21,PHI,,IND,W (+1),0,19,4,4,1.0,1,1,1.0,0,0,,0,1,1,0,0,0,0,1,9,7.7,10
30,36,37,31.0,2015-01-13,21,PHI,,ATL,L (-18),0,14,2,4,0.5,1,2,0.5,0,2,0.0,0,2,2,3,0,0,2,2,5,2.1,2
31,37,38,32.0,2015-01-14,21,PHI,@,TOR,L (-16),0,13,1,5,0.2,0,2,0.0,2,2,1.0,0,3,3,3,0,1,2,0,4,2.6,2
32,38,39,33.0,2015-01-16,21,PHI,,NOP,W (+15),0,11,0,3,0.0,0,1,0.0,0,0,,0,1,1,1,0,0,1,3,0,-3.3,-10
33,39,40,34.0,2015-01-17,21,PHI,@,DET,L (-18),0,16,4,5,0.8,1,2,0.5,0,0,,0,1,1,2,0,0,0,1,9,8.4,2
34,40,41,35.0,2015-01-19,21,PHI,@,WAS,L (-35),0,11,1,4,0.25,1,2,0.5,0,0,,0,0,0,0,1,0,0,1,3,1.2,-18
35,41,42,36.0,2015-01-21,21,PHI,,NYK,L (-7),0,12,1,3,0.333,0,1,0.0,0,0,,0,0,0,0,0,0,1,2,2,-1.5,-9
37,43,44,38.0,2015-01-24,21,PHI,@,MEM,L (-18),0,17,4,9,0.444,1,3,0.333,0,0,,1,2,3,1,0,0,1,3,9,4.1,1
38,44,45,39.0,2015-01-26,21,PHI,@,NOP,L (-25),0,18,2,9,0.222,0,2,0.0,0,0,,2,2,4,1,0,1,1,1,4,0.5,-13
39,45,46,40.0,2015-01-28,21,PHI,,DET,W (+20),1,24,5,6,0.833,2,2,1.0,1,2,0.5,0,8,8,0,2,0,2,2,13,12.0,26
40,46,47,41.0,2015-01-30,21,PHI,,MIN,W (+9),1,17,3,5,0.6,0,2,0.0,2,2,1.0,0,1,1,1,1,1,0,1,8,8.0,1
41,47,48,42.0,2015-01-31,21,PHI,@,ATL,L (-6),1,13,0,3,0.0,0,1,0.0,1,2,0.5,0,2,2,2,0,0,2,3,1,-2.7,-9
42,48,49,43.0,2015-02-02,21,PHI,@,CLE,L (-13),1,18,4,5,0.8,2,2,1.0,0,0,,0,0,0,1,2,1,3,2,10,7.7,2
43,49,50,44.0,2015-02-03,21,PHI,,DEN,W (+7),1,18,3,4,0.75,2,2,1.0,3,4,0.75,0,0,0,0,3,0,1,2,11,10.2,-3
44,50,51,45.0,2015-02-06,21,PHI,@,BOS,L (-11),1,13,2,4,0.5,0,1,0.0,1,3,0.333,0,1,1,1,0,1,1,3,5,1.7,-7
45,51,52,46.0,2015-02-07,21,PHI,,CHO,W (+8),1,22,1,5,0.2,0,1,0.0,2,4,0.5,0,3,3,1,1,0,0,4,4,1.1,3
46,52,53,47.0,2015-02-09,21,PHI,,GSW,L (-5),1,27,5,7,0.714,0,2,0.0,0,0,,0,6,6,2,1,0,3,0,10,8.3,-3
47,53,54,48.0,2015-02-20,21,PHI,,IND,L (-11),0,20,4,12,0.333,1,3,0.333,2,2,1.0,1,1,2,1,2,0,1,4,11,5.3,-9
48,54,55,49.0,2015-02-22,21,PHI,@,ORL,L (-5),0,21,6,9,0.667,2,4,0.5,2,2,1.0,0,1,1,0,1,1,1,1,16,12.7,6
49,55,56,50.0,2015-02-23,21,PHI,@,MIA,L (-11),0,20,2,8,0.25,0,2,0.0,1,2,0.5,1,4,5,2,0,2,2,1,5,2.1,-5
50,56,57,51.0,2015-02-25,21,PHI,@,MIL,L (-16),0,14,2,4,0.5,0,2,0.0,0,0,,0,0,0,2,0,0,1,1,4,2.0,-13
51,58,59,52.0,2015-03-01,21,PHI,@,IND,L (-20),0,11,1,2,0.5,0,1,0.0,0,0,,0,3,3,0,0,1,0,4,2,1.0,-2
52,59,60,53.0,2015-03-02,21,PHI,,TOR,L (-11),1,21,2,7,0.286,1,2,0.5,2,2,1.0,2,1,3,4,2,3,1,2,7,9.7,-12
53,60,61,54.0,2015-03-04,21,PHI,@,OKC,L (-5),1,15,2,3,0.667,0,1,0.0,3,3,1.0,0,2,2,1,1,0,1,4,7,5.4,-4
54,61,62,55.0,2015-03-06,21,PHI,,UTA,L (-6),1,22,1,5,0.2,1,3,0.333,0,2,0.0,1,0,1,0,0,1,1,2,3,-1.3,-10
55,62,63,56.0,2015-03-07,21,PHI,,ATL,W (+8),1,21,0,7,0.0,0,4,0.0,0,0,,3,1,4,1,1,0,0,2,0,-1.6,3
56,63,64,57.0,2015-03-11,21,PHI,,CHI,L (-9),1,17,1,4,0.25,1,3,0.333,2,2,1.0,0,3,3,0,0,0,1,0,5,2.5,-12
57,64,65,58.0,2015-03-13,21,PHI,,SAC,W (+7),1,17,4,6,0.667,0,1,0.0,2,3,0.667,1,1,2,3,0,0,1,2,10,8.3,-7
58,65,66,59.0,2015-03-14,21,PHI,,BRK,L (-7),1,20,1,5,0.2,0,3,0.0,0,0,,0,2,2,0,0,0,2,2,2,-3.3,-20
59,67,68,60.0,2015-03-18,21,PHI,,DET,W (+11),1,22,3,8,0.375,0,2,0.0,0,0,,1,5,6,0,2,0,3,3,6,1.6,-6
60,68,69,61.0,2015-03-20,22,PHI,,NYK,W (+16),1,26,2,6,0.333,0,2,0.0,2,2,1.0,0,3,3,0,0,1,2,3,6,1.0,3
61,69,70,62.0,2015-03-22,22,PHI,@,LAL,L (-14),1,13,0,2,0.0,0,0,,1,2,0.5,0,1,1,0,1,0,1,0,1,-0.5,-7
62,70,71,63.0,2015-03-24,22,PHI,@,SAC,L (-1),1,19,3,5,0.6,2,3,0.667,0,0,,0,2,2,0,0,0,0,2,8,5.5,1
