,Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
0,0,1,1.0,2011-12-26,21,CHA,,MIL,W (+1),0,21,3,10,0.3,0,2,0.0,7,7,1.0,2,5,7,3,1,0,0,1,13,12.8,5
1,1,2,2.0,2011-12-28,21,CHA,,MIA,L (-1),0,20,6,9,0.667,1,2,0.5,1,2,0.5,0,1,1,3,1,0,3,1,14,9.7,-6
2,2,3,3.0,2011-12-30,21,CHA,,ORL,L (-21),0,17,1,9,0.111,0,3,0.0,0,0,,0,1,1,4,0,0,1,1,2,-2.2,-10
3,3,4,4.0,2012-01-01,21,CHA,@,MIA,L (-39),0,24,6,13,0.462,2,4,0.5,3,5,0.6,0,3,3,4,1,0,1,1,17,12.8,-18
4,4,5,5.0,2012-01-03,21,CHA,@,CLE,L (-14),0,13,1,6,0.167,0,1,0.0,0,0,,0,0,0,0,0,0,0,0,2,-1.8,-8
5,5,6,6.0,2012-01-04,21,CHA,@,NYK,W (+8),0,16,3,8,0.375,1,2,0.5,0,0,,0,2,2,5,1,0,2,0,7,5.7,3
6,6,7,7.0,2012-01-06,21,CHA,,ATL,L (-6),0,28,6,10,0.6,3,5,0.6,4,6,0.667,1,2,3,2,1,0,2,2,19,14.5,-11
7,7,8,8.0,2012-01-07,21,CHA,@,IND,L (-22),0,18,3,10,0.3,0,3,0.0,0,0,,1,1,2,3,0,1,0,0,6,4.0,-13
8,8,9,9.0,2012-01-09,21,CHA,@,NYK,L (-4),0,16,2,9,0.222,1,2,0.5,5,7,0.714,0,0,0,3,1,0,4,2,10,2.0,-2
9,9,10,10.0,2012-01-10,21,CHA,,HOU,L (-12),0,31,4,13,0.308,0,3,0.0,1,1,1.0,2,6,8,3,1,0,3,2,9,4.0,1
10,10,11,11.0,2012-01-12,21,CHA,@,ATL,L (-30),0,22,2,9,0.222,1,3,0.333,1,2,0.5,0,3,3,2,0,0,1,1,6,1.0,-18
11,11,12,12.0,2012-01-13,21,CHA,,DET,L (-17),0,23,6,8,0.75,1,2,0.5,3,4,0.75,1,1,2,2,2,0,2,0,16,14.8,-11
12,12,13,13.0,2012-01-14,21,CHA,,GSW,W (+12),1,39,8,15,0.533,2,4,0.5,5,6,0.833,1,3,4,5,2,1,0,3,23,21.9,10
13,13,14,14.0,2012-01-16,21,CHA,,CLE,L (-8),1,38,6,21,0.286,1,4,0.25,1,2,0.5,0,5,5,4,4,2,2,2,14,8.2,-21
14,14,15,15.0,2012-01-17,21,CHA,@,ORL,L (-7),1,38,6,13,0.462,3,7,0.429,0,0,,0,4,4,6,2,0,4,3,15,10.5,2
15,15,16,16.0,2012-01-21,21,CHA,@,CHI,L (-6),1,25,1,5,0.2,0,1,0.0,2,2,1.0,0,5,5,2,1,1,4,1,4,1.1,-17
16,16,17,17.0,2012-01-22,21,CHA,@,NJN,L (-10),1,32,5,13,0.385,1,3,0.333,5,7,0.714,0,6,6,3,1,0,3,3,16,8.8,-8
