,Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
0,2,3,1.0,2017-10-21,25,ORL,@,CLE,W (+21),0,5,1,3,0.333,0,0,,0,0,,2,0,2,1,0,0,0,3,2,1.2,-6
5,38,39,6.0,2018-01-03,25,ORL,,HOU,L (-18),0,7,2,3,0.667,0,0,,0,0,,1,2,3,0,0,0,0,2,4,3.2,-4
7,43,44,8.0,2018-01-16,25,ORL,,MIN,W (+6),0,19,4,6,0.667,0,0,,4,4,1.0,5,5,10,1,0,4,3,2,12,14.1,13
8,44,45,9.0,2018-01-18,25,ORL,@,CLE,L (-1),0,17,2,3,0.667,0,0,,0,0,,2,2,4,2,0,1,0,0,4,6.8,-6
9,45,46,10.0,2018-01-21,25,ORL,@,BOS,W (+8),0,17,2,7,0.286,0,0,,0,0,,3,4,7,1,1,2,0,3,4,5.1,-6
10,46,47,11.0,2018-01-23,25,ORL,,SAC,L (-6),0,13,1,4,0.25,0,0,,1,2,0.5,2,4,6,1,1,0,0,1,3,4.1,-2
11,47,48,12.0,2018-01-27,25,ORL,@,IND,L (-2),0,19,4,5,0.8,0,0,,3,8,0.375,4,1,5,1,3,0,0,0,11,13.9,7
12,48,49,13.0,2018-01-30,25,ORL,@,HOU,L (-7),0,5,1,1,1.0,0,0,,0,0,,0,1,1,0,0,0,1,0,2,1.0,-5
13,49,50,14.0,2018-01-31,25,ORL,,LAL,W (+22),0,12,1,2,0.5,0,0,,0,0,,0,2,2,0,0,0,2,3,2,-1.6,8
14,50,51,15.0,2018-02-03,25,ORL,,WAS,L (-17),0,28,2,4,0.5,0,0,,0,0,,3,5,8,2,1,0,1,3,4,5.8,13
