,Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,14,2.0,2018-11-19,22,DET,,CLE,W (+11),0,8,0,1,0.0,0,1,0.0,0,0,,0,1,1,1,0,0,0,1,0,-0.1,-9
3,5,22,4.0,2018-12-05,22,DET,@,MIL,L (-23),0,11,1,3,0.333,1,3,0.333,0,0,,0,3,3,2,0,0,1,0,3,2.6,0
6,11,35,7.0,2019-01-01,22,DET,@,MIL,L (-23),0,20,3,6,0.5,2,2,1.0,5,7,0.714,0,1,1,0,1,0,0,2,13,9.7,-6
7,16,40,8.0,2019-01-10,22,DET,@,SAC,L (-10),0,17,3,6,0.5,2,3,0.667,0,0,,0,0,0,0,2,0,0,0,8,7.0,10
9,18,42,10.0,2019-01-14,22,DET,@,UTA,L (-6),0,10,0,0,,0,0,,0,0,,0,0,0,0,0,2,0,3,0,0.2,-8
10,21,45,11.0,2019-01-19,22,DET,,SAC,L (-2),0,14,2,6,0.333,0,2,0.0,0,0,,0,3,3,0,0,0,0,2,4,0.7,5
11,22,46,12.0,2019-01-21,22,DET,@,WAS,L (-14),0,12,2,4,0.5,1,2,0.5,0,0,,0,0,0,0,1,0,0,0,5,4.0,1
13,25,49,14.0,2019-01-29,22,DET,,MIL,L (-10),0,10,1,5,0.2,1,4,0.25,0,0,,0,0,0,1,0,2,1,1,3,0.6,3
14,28,52,15.0,2019-02-04,22,DET,,DEN,W (+26),0,8,0,2,0.0,0,1,0.0,0,0,,1,0,1,1,0,0,0,0,0,0.0,4
16,30,54,17.0,2019-02-08,22,DET,,NYK,W (+17),0,20,2,4,0.5,1,3,0.333,0,0,,0,1,1,0,1,0,0,3,5,3.1,2
17,31,58,18.0,2019-02-23,22,DET,@,MIA,W (+23),0,6,0,2,0.0,0,2,0.0,0,0,,0,1,1,0,0,0,0,2,0,-1.9,-7
18,34,61,19.0,2019-03-02,22,DET,@,CLE,W (+36),0,5,0,1,0.0,0,0,,0,0,,0,1,1,1,1,0,0,2,0,0.5,2
20,38,65,21.0,2019-03-10,22,DET,,CHI,W (+23),0,8,3,5,0.6,0,1,0.0,1,2,0.5,1,0,1,0,1,0,1,2,7,4.2,-5
21,39,66,22.0,2019-03-11,22,DET,@,BRK,L (-28),0,8,0,4,0.0,0,2,0.0,0,0,,0,2,2,1,0,0,0,0,0,-1.5,-4
22,40,67,23.0,2019-03-13,22,DET,@,MIA,L (-34),0,6,1,5,0.2,0,2,0.0,0,0,,0,1,1,1,0,1,0,0,2,0.6,-2
25,45,82,26.0,2019-04-10,22,DET,@,NYK,W (+26),0,5,0,3,0.0,0,0,,0,0,,0,0,0,0,0,0,0,1,0,-2.5,-12
26,46,1,1.0,2019-04-14,22,DET,@,MIL,L (-35),0,9,4,6,0.667,1,2,0.5,0,0,,0,1,1,0,1,0,0,0,9,7.7,6
31,52,60,3.0,2020-02-25,23,DET,@,DEN,L (-17),0,14,1,4,0.25,1,3,0.333,0,0,,0,0,0,1,0,0,1,2,3,-0.5,-9
34,55,63,6.0,2020-03-04,23,DET,,OKC,L (-7),0,9,0,2,0.0,0,2,0.0,0,0,,0,0,0,1,1,0,1,0,0,-0.7,-2
35,57,65,7.0,2020-03-08,23,DET,@,NYK,L (-12),0,13,2,6,0.333,2,4,0.5,0,0,,1,0,1,0,0,0,1,2,6,1.5,-6
36,58,66,8.0,2020-03-11,23,DET,@,PHI,L (-18),0,14,1,3,0.333,1,3,0.333,1,2,0.5,0,0,0,1,1,0,0,4,4,2.0,-12
37,59,1,1.0,2021-05-07,24,HOU,@,MIL,L (-8),0,23,6,7,0.857,2,3,0.667,2,2,1.0,2,1,3,1,3,1,0,1,16,19.2,4
38,60,2,2.0,2021-05-08,25,HOU,@,UTA,L (-8),0,34,10,21,0.476,4,12,0.333,3,3,1.0,1,4,5,3,5,2,2,2,27,23.9,13
39,61,3,3.0,2021-05-10,25,HOU,@,POR,L (-11),0,29,6,15,0.4,2,7,0.286,4,4,1.0,1,3,4,5,0,0,1,2,18,13.2,-8
40,62,4,4.0,2021-05-12,25,HOU,@,LAL,L (-2),1,37,2,12,0.167,0,4,0.0,0,0,,1,2,3,11,1,0,1,2,4,4.6,-1
41,63,5,5.0,2021-05-14,25,HOU,,LAC,W (+7),1,30,8,11,0.727,1,1,1.0,0,0,,2,1,3,5,0,3,2,1,17,17.4,6
