,Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
0,0,1,1.0,2016-10-26,22,MIN,@,MEM,L (-4),0,15,4,6,0.667,0,1,0.0,0,0,,1,3,4,1,1,0,1,3,8,6.5,-6
1,1,2,2.0,2016-10-29,22,MIN,@,SAC,L (-3),0,20,1,2,0.5,1,1,1.0,1,4,0.25,0,1,1,4,0,0,1,2,4,3.1,7
2,2,3,3.0,2016-11-01,22,MIN,,MEM,W (+36),1,29,3,7,0.429,2,3,0.667,2,2,1.0,1,3,4,6,5,0,3,3,10,12.9,26
3,3,4,4.0,2016-11-03,22,MIN,,DEN,L (-3),1,30,1,6,0.167,0,1,0.0,1,2,0.5,1,4,5,9,3,0,4,3,3,4.8,-3
4,4,5,5.0,2016-11-05,22,MIN,@,OKC,L (-20),1,28,2,8,0.25,0,0,,3,6,0.5,2,2,4,3,1,0,1,4,7,3.5,-23
5,5,6,6.0,2016-11-08,22,MIN,@,BRK,L (-9),1,16,0,1,0.0,0,1,0.0,0,0,,0,3,3,2,1,0,1,2,0,0.8,-10
6,6,7,7.0,2016-11-09,22,MIN,@,ORL,W (+16),1,17,1,3,0.333,0,0,,0,0,,0,2,2,3,0,2,1,1,2,3.0,-3
7,7,8,8.0,2016-11-12,22,MIN,,LAC,L (-14),0,19,0,4,0.0,0,1,0.0,3,4,0.75,0,4,4,4,2,0,1,1,3,4.4,-3
8,8,9,9.0,2016-11-13,22,MIN,,LAL,W (+26),0,14,1,2,0.5,0,0,,3,5,0.6,0,2,2,2,1,0,0,1,5,5.8,0
9,9,10,10.0,2016-11-15,22,MIN,,CHO,L (-7),0,13,2,3,0.667,0,0,,0,0,,1,1,2,3,1,1,1,1,4,6.1,12
10,10,11,11.0,2016-11-17,22,MIN,,PHI,W (+24),0,23,1,3,0.333,0,1,0.0,0,0,,0,3,3,2,1,0,2,2,2,0.8,3
11,11,12,12.0,2016-11-19,22,MIN,@,MEM,L (-22),0,18,0,4,0.0,0,2,0.0,0,0,,0,1,1,1,0,0,0,6,0,-4.2,-15
12,12,13,13.0,2016-11-21,22,MIN,,BOS,L (-6),0,10,0,2,0.0,0,0,,0,0,,0,1,1,2,1,0,1,1,0,-0.1,2
13,13,14,14.0,2016-11-23,22,MIN,@,NOP,L (-21),0,26,2,4,0.5,0,0,,2,2,1.0,0,4,4,2,4,1,2,3,6,8.1,10
14,14,15,15.0,2016-11-25,22,MIN,@,PHO,W (+13),0,11,1,4,0.25,1,1,1.0,0,0,,0,0,0,0,0,1,1,2,3,-0.5,-5
15,15,16,16.0,2016-11-26,22,MIN,@,GSW,L (-13),0,10,1,2,0.5,0,0,,0,0,,0,2,2,0,1,0,0,1,2,2.2,-2
16,16,17,17.0,2016-11-28,22,MIN,,UTA,L (-9),0,9,0,2,0.0,0,0,,0,0,,0,0,0,1,1,0,1,1,0,-1.1,-3
17,17,18,18.0,2016-11-30,22,MIN,,NYK,L (-2),0,10,0,1,0.0,0,1,0.0,0,0,,0,0,0,0,1,1,3,2,0,-2.8,-11
18,18,19,19.0,2016-12-02,22,MIN,@,NYK,L (-4),0,18,2,3,0.667,0,0,,2,2,1.0,0,1,1,5,1,0,1,3,6,7.3,2
19,19,20,20.0,2016-12-03,22,MIN,@,CHO,W (+5),0,16,3,5,0.6,1,1,1.0,1,2,0.5,1,1,2,6,1,1,1,2,8,10.4,8
20,20,21,21.0,2016-12-06,22,MIN,,SAS,L (-14),0,17,6,7,0.857,1,1,1.0,2,2,1.0,1,0,1,2,0,0,2,3,15,11.4,-9
21,21,22,22.0,2016-12-08,22,MIN,@,TOR,L (-14),0,19,2,5,0.4,0,0,,0,0,,0,1,1,5,0,0,2,4,4,1.5,-3
22,22,23,23.0,2016-12-09,22,MIN,,DET,L (-27),0,20,4,10,0.4,0,4,0.0,0,0,,1,4,5,0,1,0,0,2,8,4.7,-21
23,23,24,24.0,2016-12-11,22,MIN,,GSW,L (-8),0,16,2,4,0.5,0,0,,1,2,0.5,0,2,2,1,0,0,0,1,5,3.5,-11
24,24,25,25.0,2016-12-13,22,MIN,@,CHI,W (+5),0,13,1,3,0.333,0,1,0.0,0,0,,1,1,2,1,0,0,3,1,2,-1.4,-6
25,25,26,26.0,2016-12-17,22,MIN,,HOU,L (-2),0,13,1,6,0.167,0,2,0.0,0,0,,1,1,2,2,1,0,0,2,2,0.8,3
26,26,27,27.0,2016-12-19,22,MIN,,PHO,W (+7),0,11,3,6,0.5,1,1,1.0,1,1,1.0,0,3,3,1,1,2,3,1,8,5.6,0
27,27,28,28.0,2016-12-21,22,MIN,@,ATL,W (+8),0,15,2,5,0.4,1,3,0.333,1,1,1.0,0,1,1,0,0,0,0,2,6,2.8,7
28,28,29,29.0,2016-12-23,22,MIN,,SAC,L (-4),0,14,1,4,0.25,0,1,0.0,1,3,0.333,1,2,3,1,0,1,2,2,3,-0.3,-6
29,29,30,30.0,2016-12-25,22,MIN,@,OKC,L (-12),0,18,1,2,0.5,1,2,0.5,0,0,,0,2,2,3,2,1,1,3,3,5.2,2
30,30,31,31.0,2016-12-26,22,MIN,,ATL,W (+14),0,24,1,4,0.25,0,1,0.0,1,2,0.5,0,6,6,1,2,0,1,1,3,3.3,-3
31,31,32,32.0,2016-12-28,22,MIN,@,DEN,L (-2),0,14,1,5,0.2,0,1,0.0,0,0,,0,0,0,3,0,0,0,0,2,1.0,-1
32,32,33,33.0,2016-12-30,22,MIN,,MIL,W (+17),0,13,0,1,0.0,0,0,,0,0,,0,1,1,4,0,0,0,2,0,1.6,-10
33,33,34,34.0,2017-01-01,22,MIN,,POR,L (-6),0,21,5,7,0.714,1,1,1.0,0,0,,0,3,3,4,1,3,2,3,11,11.7,12
34,34,35,35.0,2017-01-03,22,MIN,@,PHI,L (-2),0,18,0,2,0.0,0,0,,0,0,,0,2,2,3,0,0,1,5,0,-1.7,0
35,35,36,36.0,2017-01-06,22,MIN,@,WAS,L (-7),0,13,0,1,0.0,0,0,,0,0,,0,0,0,3,0,0,0,2,0,0.6,-4
36,36,37,37.0,2017-01-07,22,MIN,,UTA,L (-2),0,14,1,3,0.333,0,1,0.0,0,0,,0,2,2,1,1,1,1,1,2,1.9,-2
37,37,38,38.0,2017-01-09,22,MIN,,DAL,W (+9),0,18,1,3,0.333,0,1,0.0,1,2,0.5,0,1,1,3,2,1,4,2,3,1.2,0
38,38,39,39.0,2017-01-11,22,MIN,,HOU,W (+14),0,13,3,7,0.429,0,0,,0,0,,1,2,3,0,2,1,2,1,6,3.9,2
39,39,40,40.0,2017-01-13,22,MIN,,OKC,W (+10),0,12,2,4,0.5,0,0,,0,0,,1,1,2,0,1,0,1,2,4,2.2,-1
40,40,41,41.0,2017-01-15,22,MIN,@,DAL,L (-11),0,12,0,3,0.0,0,2,0.0,0,0,,0,1,1,1,0,0,1,3,0,-3.3,-17
41,41,42,42.0,2017-01-17,22,MIN,@,SAS,L (-8),0,9,0,2,0.0,0,0,,0,0,,0,0,0,1,0,0,1,3,0,-2.9,-6
42,42,43,43.0,2017-01-19,22,MIN,@,LAC,W (+3),0,25,2,4,0.5,0,1,0.0,1,2,0.5,1,3,4,4,1,1,3,5,5,3.7,7
43,43,44,44.0,2017-01-22,22,MIN,,DEN,W (+3),1,34,3,8,0.375,2,2,1.0,2,4,0.5,1,7,8,9,3,1,1,4,10,15.0,14
44,44,45,45.0,2017-01-24,22,MIN,@,PHO,W (+1),0,14,1,7,0.143,0,3,0.0,0,0,,0,3,3,2,0,0,5,2,2,-6.0,4
45,45,46,46.0,2017-01-26,22,MIN,,IND,L (-6),0,15,1,1,1.0,1,1,1.0,0,2,0.0,0,0,0,3,0,0,0,2,3,3.2,-1
46,46,47,47.0,2017-01-28,22,MIN,,BRK,W (+20),0,26,1,2,0.5,0,1,0.0,0,0,,0,5,5,7,1,1,1,0,2,8.1,12
47,47,48,48.0,2017-01-30,22,MIN,,ORL,W (+6),0,17,2,5,0.4,0,2,0.0,0,0,,0,1,1,4,0,2,1,1,4,4.4,11
48,48,49,49.0,2017-02-01,22,MIN,@,CLE,L (-28),0,10,0,0,,0,0,,0,0,,0,0,0,0,0,0,3,1,0,-3.4,-13
49,53,54,50.0,2017-02-10,22,MIN,,NOP,L (-16),0,9,0,2,0.0,0,2,0.0,0,0,,0,0,0,1,1,0,0,4,0,-1.3,-2
50,54,55,51.0,2017-02-12,22,MIN,,CHI,W (+28),0,12,0,2,0.0,0,1,0.0,0,0,,0,1,1,1,0,0,3,0,0,-3.4,1
51,55,56,52.0,2017-02-14,22,MIN,,CLE,L (-8),0,9,1,3,0.333,0,0,,0,0,,0,1,1,3,0,0,1,1,2,1.3,-9
52,56,57,53.0,2017-02-15,22,MIN,@,DEN,W (+13),0,20,1,4,0.25,0,0,,0,0,,0,4,4,5,1,2,0,0,2,6.7,5
53,57,58,54.0,2017-02-24,22,MIN,,DAL,W (+13),0,13,2,3,0.667,0,0,,0,0,,0,1,1,2,0,0,0,0,4,4.4,-2
54,58,59,55.0,2017-02-25,22,MIN,@,HOU,L (-12),0,18,2,4,0.5,1,1,1.0,1,1,1.0,2,3,5,2,0,0,0,5,6,5.7,-5
55,59,60,56.0,2017-02-27,22,MIN,@,SAC,W (+14),0,17,2,3,0.667,0,0,,0,0,,1,0,1,2,1,1,0,2,4,5.7,4
56,60,61,57.0,2017-03-01,22,MIN,@,UTA,W (+27),0,20,1,2,0.5,1,2,0.5,1,2,0.5,0,1,1,0,1,0,0,1,4,3.5,-2
57,61,62,58.0,2017-03-04,22,MIN,@,SAS,L (-7),0,10,0,1,0.0,0,0,,0,0,,0,1,1,1,0,0,0,1,0,-0.1,-7
58,62,63,59.0,2017-03-08,22,MIN,,LAC,W (+16),0,15,3,5,0.6,2,2,1.0,0,0,,0,1,1,2,1,1,0,5,8,7.1,2
59,63,64,60.0,2017-03-10,22,MIN,,GSW,W (+1),0,12,1,4,0.25,0,0,,0,0,,0,2,2,0,1,0,1,1,2,-0.2,-4
60,64,65,61.0,2017-03-11,22,MIN,@,MIL,L (-7),0,20,1,6,0.167,0,2,0.0,2,2,1.0,0,3,3,3,1,0,2,4,4,0.6,-2
61,65,66,62.0,2017-03-13,22,MIN,,WAS,W (+15),0,9,0,1,0.0,0,0,,0,0,,0,0,0,0,1,1,2,2,0,-1.8,-5
62,66,67,63.0,2017-03-15,22,MIN,@,BOS,L (-13),0,16,2,6,0.333,0,0,,0,0,,0,1,1,2,1,0,0,2,4,2.5,-3
63,67,68,64.0,2017-03-17,22,MIN,@,MIA,L (-18),0,14,1,2,0.5,0,0,,0,0,,1,1,2,1,2,0,1,2,2,2.9,-7
64,68,69,65.0,2017-03-19,23,MIN,@,NOP,L (-14),0,13,1,3,0.333,0,1,0.0,0,0,,0,1,1,1,1,2,1,2,2,1.9,1
65,69,70,66.0,2017-03-21,23,MIN,,SAS,L (-7),0,24,2,3,0.667,1,2,0.5,0,0,,0,2,2,0,2,0,2,5,5,2.3,9
66,70,71,67.0,2017-03-24,23,MIN,@,LAL,L (-11),0,35,5,12,0.417,1,5,0.2,0,0,,0,7,7,2,3,2,0,3,11,11.3,-18
67,71,72,68.0,2017-03-25,23,MIN,@,POR,L (-12),0,29,8,13,0.615,1,2,0.5,0,0,,1,3,4,1,2,0,0,4,17,13.8,-11
68,72,73,69.0,2017-03-28,23,MIN,@,IND,W (+1),0,26,3,3,1.0,0,0,,3,4,0.75,0,2,2,1,4,3,1,2,9,13.3,6
69,73,74,70.0,2017-03-30,23,MIN,,LAL,W (+15),0,30,1,4,0.25,0,2,0.0,0,0,,1,5,6,5,3,0,1,2,2,6.5,5
70,74,75,71.0,2017-04-01,23,MIN,,SAC,L (-6),0,19,2,7,0.286,0,2,0.0,0,0,,1,2,3,3,1,0,0,6,4,1.9,-20
71,75,76,72.0,2017-04-03,23,MIN,,POR,W (+1),0,6,0,1,0.0,0,0,,0,0,,0,0,0,1,0,0,0,2,0,-0.8,-3
72,76,77,73.0,2017-04-04,23,MIN,@,GSW,L (-14),0,20,0,4,0.0,0,0,,0,0,,0,1,1,1,2,0,2,5,0,-3.8,1
73,77,78,74.0,2017-04-06,23,MIN,@,POR,L (-7),0,9,0,2,0.0,0,0,,0,0,,0,1,1,0,0,0,0,0,0,-1.1,-14
74,78,79,75.0,2017-04-07,23,MIN,@,UTA,L (-7),0,11,1,3,0.333,1,1,1.0,0,0,,0,0,0,3,1,0,0,3,3,3.2,8
75,79,80,76.0,2017-04-09,23,MIN,@,LAL,L (-1),0,15,0,1,0.0,0,0,,0,0,,1,3,4,3,0,0,1,3,0,0.8,-11
76,80,81,77.0,2017-04-11,23,MIN,,OKC,L (-2),0,17,1,3,0.333,0,0,,0,0,,0,0,0,1,2,0,1,2,2,1.2,1
77,81,82,78.0,2017-04-12,23,MIN,@,HOU,L (-5),1,32,5,13,0.385,0,2,0.0,0,0,,0,2,2,16,1,2,3,4,10,12.5,3
78,86,5,1.0,2017-10-28,23,CHI,,OKC,L (-32),0,22,4,9,0.444,0,0,,0,0,,1,3,4,3,3,1,4,5,8,4.7,-8
79,87,6,2.0,2017-11-01,23,CHI,@,MIA,L (-6),0,29,5,15,0.333,0,3,0.0,1,2,0.5,1,6,7,5,0,2,5,5,11,2.5,-7
80,88,7,3.0,2017-11-03,23,CHI,@,ORL,W (+22),0,24,4,9,0.444,3,5,0.6,0,0,,0,2,2,2,0,0,4,3,11,3.1,5
81,89,8,4.0,2017-11-04,23,CHI,,NOP,L (-6),0,17,2,9,0.222,0,4,0.0,0,0,,1,3,4,3,3,0,4,2,4,0.4,-10
82,90,9,5.0,2017-11-07,23,CHI,@,TOR,L (-5),0,26,3,6,0.5,1,2,0.5,3,4,0.75,0,6,6,4,4,0,2,3,10,12.0,7
83,91,10,6.0,2017-11-10,23,CHI,,IND,L (-18),0,34,8,14,0.571,0,1,0.0,0,0,,2,2,4,5,3,0,4,2,16,13.1,0
84,92,11,7.0,2017-11-11,23,CHI,@,SAS,L (-39),0,26,7,15,0.467,1,3,0.333,0,0,,0,3,3,2,2,0,1,2,15,9.8,-15
85,93,12,8.0,2017-11-15,23,CHI,@,OKC,L (-13),1,29,1,11,0.091,1,3,0.333,0,0,,1,5,6,3,1,0,2,3,3,-2.2,-9
86,94,13,9.0,2017-11-17,23,CHI,,CHO,W (+3),0,26,10,16,0.625,2,2,1.0,0,0,,0,5,5,7,3,0,1,5,22,21.2,8
87,95,14,10.0,2017-11-19,23,CHI,@,PHO,L (-8),0,27,8,16,0.5,1,2,0.5,0,0,,1,5,6,6,2,0,4,3,17,12.2,7
88,96,15,11.0,2017-11-21,23,CHI,@,LAL,L (-9),1,32,5,14,0.357,1,3,0.333,1,2,0.5,3,2,5,6,1,1,4,5,12,6.4,-2
89,97,16,12.0,2017-11-22,23,CHI,@,UTA,L (-30),1,28,4,9,0.444,1,1,1.0,3,4,0.75,1,8,9,1,2,0,4,2,12,7.9,-23
90,98,17,13.0,2017-11-24,23,CHI,@,GSW,L (-49),1,25,2,11,0.182,0,2,0.0,2,2,1.0,0,1,1,4,0,0,4,2,6,-2.6,-34
91,99,18,14.0,2017-11-26,23,CHI,,MIA,L (-7),1,24,0,6,0.0,0,0,,2,2,1.0,0,4,4,3,3,0,3,2,2,0.3,-6
92,100,19,15.0,2017-11-28,23,CHI,,PHO,L (-5),1,33,10,16,0.625,4,5,0.8,0,0,,1,4,5,8,4,0,5,4,24,21.7,2
93,101,20,16.0,2017-11-30,23,CHI,@,DEN,L (-1),1,27,9,11,0.818,1,1,1.0,0,3,0.0,0,5,5,5,1,0,1,4,19,17.1,1
94,102,21,17.0,2017-12-01,23,CHI,,SAC,L (-1),1,28,2,9,0.222,1,3,0.333,1,1,1.0,0,2,2,8,3,0,2,1,6,7.3,-16
95,103,22,18.0,2017-12-04,23,CHI,,CLE,L (-22),1,31,6,13,0.462,2,4,0.5,1,3,0.333,1,5,6,5,0,1,3,3,15,9.7,-14
96,104,23,19.0,2017-12-06,23,CHI,@,IND,L (-2),1,34,8,14,0.571,1,1,1.0,1,3,0.333,1,5,6,6,1,1,4,4,18,13.1,-9
97,105,24,20.0,2017-12-08,23,CHI,@,CHO,W (+8),1,41,8,24,0.333,0,2,0.0,4,6,0.667,0,6,6,12,3,0,1,5,20,15.8,3
98,106,25,21.0,2017-12-09,23,CHI,,NYK,W (+2),1,30,6,11,0.545,0,1,0.0,5,6,0.833,2,5,7,9,3,0,3,3,17,19.3,-2
99,107,26,22.0,2017-12-11,23,CHI,,BOS,W (+23),1,25,6,14,0.429,0,4,0.0,0,0,,1,3,4,3,0,1,1,3,12,6.8,0
