,Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
0,0,1,1.0,2010-10-26,30,HOU,@,LAL,L (-2),1,33,7,18,0.389,0,0,,4,4,1.0,4,12,16,4,1,0,4,4,18,12.8,7
1,1,2,2.0,2010-10-27,30,HOU,@,GSW,L (-4),1,38,14,24,0.583,0,0,,8,12,0.667,4,12,16,0,1,1,0,0,36,31.3,-10
2,2,3,3.0,2010-10-30,30,HOU,,DEN,L (-13),1,38,12,16,0.75,0,0,,4,5,0.8,4,6,10,2,0,2,1,0,28,27.6,-2
3,3,4,4.0,2010-11-03,30,HOU,,NOH,L (-8),1,36,4,15,0.267,0,0,,1,2,0.5,3,13,16,5,0,1,1,5,9,6.9,-12
4,4,5,5.0,2010-11-06,30,HOU,@,SAS,L (-3),1,33,10,16,0.625,0,1,0.0,0,0,,3,5,8,2,0,0,2,5,20,13.8,-6
5,5,6,6.0,2010-11-07,30,HOU,,MIN,W (+26),1,27,6,13,0.462,0,0,,12,17,0.706,2,6,8,2,3,0,0,2,24,22.1,21
6,6,7,7.0,2010-11-10,30,HOU,@,WAS,L (-7),1,42,10,20,0.5,0,0,,4,4,1.0,1,5,6,1,0,2,3,6,24,12.9,-4
7,7,8,8.0,2010-11-12,30,HOU,@,IND,W (+3),1,30,7,13,0.538,0,0,,2,4,0.5,3,6,9,0,1,1,0,0,16,14.5,10
8,8,9,9.0,2010-11-14,30,HOU,@,NYK,W (+8),1,35,9,18,0.5,0,0,,6,8,0.75,2,6,8,5,2,0,1,6,24,19.5,0
9,9,10,10.0,2010-11-16,30,HOU,,CHI,L (-3),1,38,11,17,0.647,0,0,,5,6,0.833,2,3,5,3,2,2,2,5,27,22.9,23
10,10,11,11.0,2010-11-17,30,HOU,@,OKC,L (-17),1,30,12,19,0.632,0,0,,2,4,0.5,2,6,8,0,0,0,3,3,26,15.7,-8
11,11,12,12.0,2010-11-19,30,HOU,@,TOR,L (-10),1,36,8,19,0.421,0,0,,3,4,0.75,1,4,5,3,1,1,2,3,19,11.0,0
12,12,13,13.0,2010-11-22,30,HOU,,PHO,L (-7),1,29,8,17,0.471,0,0,,0,2,0.0,4,5,9,1,0,1,2,2,16,9.4,-13
13,13,14,14.0,2010-11-24,30,HOU,,GSW,W (+10),1,40,8,15,0.533,0,0,,8,15,0.533,1,11,12,3,0,0,0,5,24,18.0,15
14,14,15,15.0,2010-11-26,30,HOU,@,CHA,L (-10),1,30,4,11,0.364,0,0,,3,8,0.375,0,7,7,1,1,0,1,1,11,5.3,-18
15,15,16,16.0,2010-11-28,30,HOU,,OKC,W (+1),1,33,5,14,0.357,0,0,,3,3,1.0,2,4,6,2,1,1,5,2,13,5.1,9
16,16,17,17.0,2010-11-29,30,HOU,@,DAL,L (-10),1,21,6,13,0.462,0,0,,3,6,0.5,1,4,5,2,0,0,1,2,15,8.6,-18
17,17,18,18.0,2010-12-01,30,HOU,,LAL,W (+10),1,32,6,11,0.545,0,0,,2,2,1.0,1,8,9,3,1,0,2,2,14,12.1,21
18,18,19,19.0,2010-12-03,30,HOU,@,MEM,W (+16),1,26,6,11,0.545,0,0,,3,4,0.75,0,3,3,1,0,1,0,5,15,9.6,6
19,19,20,20.0,2010-12-04,30,HOU,@,CHI,L (-3),1,39,9,18,0.5,0,0,,9,12,0.75,1,7,8,3,0,1,0,5,27,20.4,4
20,20,21,21.0,2010-12-07,30,HOU,,DET,W (+14),1,41,16,25,0.64,0,0,,3,4,0.75,4,8,12,1,0,1,2,2,35,27.3,30
21,21,22,22.0,2010-12-10,30,HOU,@,MIL,L (-6),1,38,4,13,0.308,0,0,,2,3,0.667,0,6,6,3,2,2,4,4,10,3.8,-6
22,22,23,23.0,2010-12-11,30,HOU,,CLE,W (+15),1,28,6,13,0.462,0,0,,2,2,1.0,6,8,14,1,1,0,4,3,14,10.4,10
23,23,24,24.0,2010-12-14,30,HOU,,SAC,W (+13),1,29,10,19,0.526,0,0,,3,4,0.75,5,5,10,4,0,1,1,4,23,19.2,10
24,24,25,25.0,2010-12-15,30,HOU,@,OKC,L (-12),1,27,8,14,0.571,0,0,,2,4,0.5,0,5,5,1,0,2,1,1,18,12.8,-6
25,25,26,26.0,2010-12-17,30,HOU,,MEM,W (+16),1,36,11,22,0.5,0,0,,1,1,1.0,3,6,9,2,0,1,6,2,23,11.2,39
26,26,27,27.0,2010-12-19,30,HOU,@,SAC,W (+9),1,34,7,14,0.5,0,0,,3,4,0.75,0,9,9,4,2,2,1,1,17,17.1,6
27,27,28,28.0,2010-12-20,30,HOU,@,GSW,W (+9),1,33,9,21,0.429,0,0,,2,4,0.5,2,7,9,6,0,0,3,5,20,10.8,20
28,28,29,29.0,2010-12-22,30,HOU,@,LAC,W (+5),1,36,10,21,0.476,0,0,,2,2,1.0,1,2,3,2,2,2,4,5,22,11.4,-3
29,29,30,30.0,2010-12-27,30,HOU,,WAS,W (+7),1,32,7,13,0.538,0,0,,0,0,,1,2,3,3,0,0,3,4,14,6.5,-8
30,30,31,31.0,2010-12-29,30,HOU,,MIA,L (-6),1,31,10,20,0.5,0,1,0.0,2,2,1.0,1,4,5,1,0,0,1,2,22,12.8,-6
31,31,32,32.0,2010-12-31,30,HOU,,TOR,W (+9),1,25,5,11,0.455,0,0,,3,5,0.6,1,6,7,2,0,2,2,3,13,8.6,-2
32,32,33,33.0,2011-01-02,30,HOU,@,POR,L (-15),1,24,5,8,0.625,0,0,,0,0,,1,3,4,1,0,0,4,2,10,3.9,-13
33,33,34,34.0,2011-01-03,30,HOU,@,DEN,L (-7),1,32,10,19,0.526,0,0,,4,4,1.0,3,4,7,4,0,0,3,3,24,16.6,-7
34,34,35,35.0,2011-01-05,30,HOU,,POR,L (-3),1,35,2,8,0.25,0,0,,2,2,1.0,0,12,12,5,1,3,3,3,6,7.2,4
35,35,36,36.0,2011-01-07,30,HOU,@,ORL,L (-15),1,27,5,10,0.5,0,0,,4,5,0.8,0,5,5,2,2,0,1,2,14,11.7,-16
36,36,37,37.0,2011-01-08,30,HOU,,UTA,L (-4),1,44,9,17,0.529,0,0,,6,8,0.75,3,7,10,4,1,0,3,6,24,17.5,-12
37,37,38,38.0,2011-01-10,30,HOU,@,BOS,W (+6),1,26,5,13,0.385,0,0,,2,4,0.5,1,8,9,2,4,0,4,2,12,7.8,6
38,38,39,39.0,2011-01-12,30,HOU,,OKC,L (-6),1,36,13,24,0.542,0,0,,5,8,0.625,3,8,11,0,0,0,3,4,31,18.1,-1
39,39,40,40.0,2011-01-14,30,HOU,,NOH,L (-5),1,44,4,12,0.333,0,0,,6,10,0.6,1,10,11,1,0,2,2,4,14,7.8,8
40,40,41,41.0,2011-01-15,30,HOU,@,ATL,W (+6),1,35,10,16,0.625,0,0,,0,0,,1,4,5,4,1,0,3,4,20,13.9,0
41,41,42,42.0,2011-01-17,30,HOU,,MIL,W (+9),1,43,8,25,0.32,0,0,,3,4,0.75,5,9,14,3,2,0,0,3,19,13.4,14
42,42,43,43.0,2011-01-19,30,HOU,,NYK,W (+15),1,22,5,8,0.625,0,0,,3,3,1.0,0,8,8,2,0,0,1,4,13,10.6,14
43,43,44,44.0,2011-01-21,30,HOU,@,MEM,L (-5),1,37,8,16,0.5,0,0,,3,4,0.75,0,3,3,3,2,1,2,2,19,13.5,-3
44,44,45,45.0,2011-01-22,30,HOU,,ORL,L (-14),1,30,5,11,0.455,0,0,,5,6,0.833,2,7,9,2,0,0,0,2,15,13.0,-9
45,45,46,46.0,2011-01-24,30,HOU,@,MIN,W (+4),1,35,9,16,0.563,0,0,,2,2,1.0,2,10,12,3,0,0,0,4,20,17.3,6
46,46,47,47.0,2011-01-26,30,HOU,,LAC,W (+13),1,32,8,18,0.444,0,0,,0,0,,2,4,6,3,0,1,1,2,16,10.2,12
47,47,48,48.0,2011-01-27,30,HOU,@,DAL,L (-5),1,29,14,21,0.667,0,0,,2,2,1.0,3,5,8,3,0,0,1,5,30,23.6,16
48,48,49,49.0,2011-01-29,30,HOU,@,SAS,L (-13),1,36,8,17,0.471,0,0,,7,8,0.875,3,7,10,1,3,0,2,2,23,19.0,-3
49,49,50,50.0,2011-02-01,30,HOU,@,LAL,L (-8),1,41,12,20,0.6,0,0,,0,0,,5,10,15,3,0,0,3,4,24,18.8,-5
50,50,51,51.0,2011-02-02,30,HOU,@,UTA,W (+1),1,37,5,12,0.417,0,0,,4,4,1.0,0,7,7,3,1,0,1,3,14,10.6,10
51,51,52,52.0,2011-02-05,30,HOU,,MEM,W (+2),1,42,7,16,0.438,0,0,,3,4,0.75,2,5,7,2,0,0,0,3,17,11.3,4
52,52,53,53.0,2011-02-07,30,HOU,@,DEN,W (+5),1,39,9,16,0.563,0,0,,7,8,0.875,3,5,8,3,1,1,4,4,25,18.8,8
53,53,54,54.0,2011-02-08,30,HOU,,MIN,L (-4),1,37,11,18,0.611,0,0,,0,1,0.0,1,1,2,7,1,0,1,4,22,17.7,2
54,54,55,55.0,2011-02-12,30,HOU,,DAL,L (-4),1,23,4,9,0.444,0,0,,0,0,,2,4,6,1,0,0,2,4,8,3.0,-8
55,55,56,56.0,2011-02-14,30,HOU,,DEN,W (+19),1,30,3,10,0.3,0,0,,4,4,1.0,1,7,8,3,0,1,1,2,10,8.0,22
56,56,57,57.0,2011-02-16,30,HOU,,PHI,L (-9),1,39,12,21,0.571,0,0,,2,3,0.667,3,10,13,3,0,0,1,2,26,21.1,-5
57,57,58,58.0,2011-02-22,30,HOU,@,DET,W (+8),1,28,4,15,0.267,0,1,0.0,0,0,,3,6,9,1,1,2,3,3,8,1.9,1
58,58,59,59.0,2011-02-23,30,HOU,@,CLE,W (+5),1,19,7,14,0.5,0,0,,2,2,1.0,2,5,7,1,0,0,2,4,16,9.0,6
59,59,60,60.0,2011-02-26,30,HOU,,NJN,W (+15),1,29,9,15,0.6,0,0,,5,5,1.0,5,2,7,4,1,0,2,3,23,20.8,18
60,60,61,61.0,2011-02-27,30,HOU,@,NOH,W (+2),1,25,3,13,0.231,0,0,,0,0,,2,4,6,3,0,0,2,4,6,-0.8,-4
61,61,62,62.0,2011-03-01,30,HOU,@,POR,W (+16),1,41,10,11,0.909,0,0,,1,2,0.5,0,6,6,3,0,0,1,2,21,19.0,18
62,62,63,63.0,2011-03-02,30,HOU,@,LAC,L (-3),1,36,4,9,0.444,0,0,,4,4,1.0,0,8,8,3,0,0,2,2,12,9.0,-1
63,63,64,64.0,2011-03-05,30,HOU,,IND,W (+17),1,27,7,15,0.467,0,0,,2,4,0.5,3,4,7,1,0,2,1,1,16,11.5,21
64,64,65,65.0,2011-03-07,30,HOU,@,SAC,W (+22),1,17,5,7,0.714,0,0,,0,0,,1,2,3,1,0,0,1,0,10,8.1,-1
65,70,71,66.0,2011-03-20,30,HOU,,UTA,W (+2),1,20,1,5,0.2,0,0,,2,3,0.667,2,6,8,0,1,3,2,4,4,3.2,-5
66,71,72,67.0,2011-03-23,30,HOU,,GSW,W (+19),1,32,7,16,0.438,0,0,,6,6,1.0,4,6,10,4,0,1,1,3,20,17.5,10
67,72,73,68.0,2011-03-27,30,HOU,@,MIA,L (-6),1,39,13,23,0.565,0,0,,2,2,1.0,0,5,5,1,0,0,0,6,28,16.9,-2
68,73,74,69.0,2011-03-29,30,HOU,@,NJN,W (+25),1,22,4,10,0.4,0,0,,0,0,,0,8,8,4,1,0,0,1,8,8.4,17
69,74,75,70.0,2011-03-30,30,HOU,@,PHI,L (-11),1,29,8,16,0.5,0,0,,1,1,1.0,3,3,6,3,0,0,4,2,17,9.3,-4
70,75,76,71.0,2011-04-01,30,HOU,,SAS,W (+5),1,41,7,18,0.389,0,0,,7,7,1.0,3,11,14,6,1,0,6,2,21,15.0,5
71,76,77,72.0,2011-04-03,30,HOU,,ATL,W (+5),1,31,7,10,0.7,0,0,,1,3,0.333,0,6,6,3,0,0,5,3,15,7.7,5
72,77,78,73.0,2011-04-05,30,HOU,,SAC,L (-3),1,33,9,16,0.563,0,0,,0,0,,4,6,10,5,2,0,4,4,18,14.9,2
73,78,79,74.0,2011-04-06,30,HOU,@,NOH,L (-8),1,30,8,11,0.727,0,0,,0,0,,3,7,10,1,1,0,3,4,16,12.8,-10
74,79,1,1.0,2011-12-26,31,HOU,@,ORL,L (-9),1,38,8,18,0.444,0,0,,3,4,0.75,3,4,7,3,0,0,1,3,19,12.4,-8
75,80,2,2.0,2011-12-29,31,HOU,,SAS,W (+20),1,29,9,12,0.75,0,0,,0,0,,3,2,5,3,1,1,2,2,18,16.9,28
76,81,3,3.0,2011-12-30,31,HOU,@,MEM,L (-20),1,27,2,3,0.667,0,0,,0,0,,0,4,4,0,0,0,3,5,4,-1.1,-4
77,82,4,4.0,2011-12-31,31,HOU,,ATL,W (+11),1,31,9,19,0.474,0,0,,3,4,0.75,2,5,7,0,2,0,3,3,21,11.6,12
78,83,5,5.0,2012-01-03,31,HOU,@,LAL,L (-9),1,37,10,18,0.556,0,0,,0,0,,2,3,5,2,1,0,0,3,20,14.9,-3
79,84,6,6.0,2012-01-04,31,HOU,@,LAC,L (-28),1,23,6,12,0.5,0,0,,0,0,,0,3,3,2,0,0,2,1,12,5.9,-23
80,85,7,7.0,2012-01-06,31,HOU,@,OKC,L (-15),1,29,5,14,0.357,0,0,,0,0,,0,2,2,0,1,1,2,2,10,1.7,-11
81,86,8,8.0,2012-01-07,31,HOU,,OKC,L (-3),1,37,12,28,0.429,0,0,,4,5,0.8,4,3,7,2,0,0,2,4,28,14.3,5
82,87,9,9.0,2012-01-10,31,HOU,@,CHA,W (+12),1,29,4,12,0.333,0,0,,1,2,0.5,1,6,7,0,0,0,5,5,9,-2.7,12
