,Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
0,0,1,1.0,2020-12-23,19,CHO,@,CLE,L (-7),0,16,0,5,0.0,0,3,0.0,0,0,,0,1,1,3,2,0,3,2,0,-2.9,2
1,1,2,2.0,2020-12-26,19,CHO,,OKC,L (-2),0,15,5,10,0.5,2,4,0.5,1,2,0.5,2,3,5,1,1,0,2,1,13,9.2,-11
2,2,3,3.0,2020-12-27,19,CHO,,BRK,W (+2),0,20,2,6,0.333,2,3,0.667,0,0,,0,5,5,5,1,0,3,4,6,4.0,-4
3,3,4,4.0,2020-12-30,19,CHO,@,DAL,W (+19),0,29,7,10,0.7,4,5,0.8,4,4,1.0,4,4,8,5,1,1,2,3,22,23.8,8
4,4,5,5.0,2021-01-01,19,CHO,,MEM,L (-15),0,27,6,14,0.429,2,7,0.286,1,2,0.5,1,2,3,6,2,0,2,2,15,11.9,0
5,5,6,6.0,2021-01-02,19,CHO,@,PHI,L (-15),0,31,4,12,0.333,1,4,0.25,4,6,0.667,2,2,4,5,4,2,2,4,13,12.7,-10
6,6,7,7.0,2021-01-04,19,CHO,@,PHI,L (-17),0,30,5,16,0.313,0,5,0.0,2,3,0.667,2,5,7,9,2,0,2,2,12,10.8,-9
7,7,8,8.0,2021-01-06,19,CHO,@,ATL,W (+8),0,24,5,11,0.455,1,4,0.25,2,2,1.0,2,6,8,5,0,0,1,2,13,12.2,0
8,8,9,9.0,2021-01-08,19,CHO,@,NOP,W (+8),0,26,4,11,0.364,1,5,0.2,3,4,0.75,4,6,10,9,1,0,3,3,12,13.2,5
9,9,10,10.0,2021-01-09,19,CHO,,ATL,W (+8),0,31,9,13,0.692,3,5,0.6,1,2,0.5,3,9,12,11,1,0,1,4,22,27.0,18
10,10,11,11.0,2021-01-11,19,CHO,,NYK,W (+21),0,30,3,13,0.231,2,6,0.333,0,0,,1,13,14,7,3,1,1,2,8,11.5,4
11,11,12,12.0,2021-01-13,19,CHO,,DAL,L (-11),0,25,2,8,0.25,0,4,0.0,0,1,0.0,0,7,7,5,0,0,2,3,4,1.2,-15
12,12,13,13.0,2021-01-14,19,CHO,@,TOR,L (-3),0,26,6,14,0.429,2,5,0.4,0,0,,2,4,6,11,3,1,5,2,14,14.8,-4
13,13,14,14.0,2021-01-16,19,CHO,@,TOR,L (-3),0,23,4,11,0.364,2,6,0.333,1,2,0.5,2,3,5,4,0,0,1,3,11,7.4,-19
14,14,15,15.0,2021-01-22,19,CHO,,CHI,L (-13),0,17,3,7,0.429,0,2,0.0,1,1,1.0,0,1,1,2,2,0,5,1,7,1.6,-15
15,15,16,16.0,2021-01-24,19,CHO,@,ORL,W (+3),0,28,4,11,0.364,2,4,0.5,1,1,1.0,0,5,5,8,1,0,4,2,11,8.2,15
16,16,17,17.0,2021-01-25,19,CHO,@,ORL,L (-9),0,21,4,10,0.4,0,5,0.0,1,3,0.333,0,2,2,4,0,2,3,3,9,3.4,-7
17,17,18,18.0,2021-01-27,19,CHO,,IND,L (-10),0,22,2,4,0.5,0,1,0.0,4,4,1.0,1,3,4,5,0,0,1,2,8,9.3,-24
18,18,19,19.0,2021-01-29,19,CHO,,IND,W (+3),0,30,7,13,0.538,0,6,0.0,2,3,0.667,1,5,6,7,2,0,5,1,16,13.0,0
