,Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
0,0,1,1.0,2016-10-25,28,NYK,@,CLE,L (-29),0,17,1,4,0.25,0,0,,0,0,,0,1,1,1,2,0,1,2,2,0.8,-11
1,1,2,2.0,2016-10-29,28,NYK,,MEM,W (+7),0,19,3,5,0.6,0,1,0.0,0,0,,1,2,3,0,0,0,0,1,6,4.6,-9
2,2,3,3.0,2016-11-01,28,NYK,@,DET,L (-13),0,26,1,6,0.167,0,0,,0,0,,0,4,4,0,0,0,2,2,2,-3.4,-4
3,3,4,4.0,2016-11-02,28,NYK,,HOU,L (-19),0,10,1,2,0.5,1,1,1.0,0,0,,0,2,2,0,0,0,1,1,3,1.2,-5
4,5,6,5.0,2016-11-06,28,NYK,,UTA,L (-5),0,29,2,5,0.4,1,1,1.0,0,0,,0,2,2,1,1,0,0,4,5,3.0,-9
5,6,7,6.0,2016-11-09,28,NYK,,BRK,W (+14),0,10,3,5,0.6,0,1,0.0,0,0,,0,1,1,0,1,0,0,1,6,4.6,-2
6,7,8,7.0,2016-11-11,28,NYK,@,BOS,L (-28),0,20,3,7,0.429,1,3,0.333,0,0,,1,4,5,1,1,1,1,1,7,6.2,-4
7,8,9,8.0,2016-11-12,28,NYK,@,TOR,L (-11),0,9,0,3,0.0,0,1,0.0,0,0,,1,0,1,0,0,0,0,0,0,-1.4,-4
9,10,20,10.0,2016-12-04,28,NYK,,SAC,W (+8),0,17,2,8,0.25,2,4,0.5,3,4,0.75,0,3,3,0,0,0,3,3,9,0.5,-3
10,11,21,11.0,2016-12-06,28,NYK,@,MIA,W (+11),0,21,5,6,0.833,1,1,1.0,0,0,,0,3,3,0,0,0,0,1,11,9.3,5
11,12,22,12.0,2016-12-07,28,NYK,,CLE,L (-32),0,14,2,5,0.4,1,3,0.333,0,0,,0,2,2,0,0,0,0,1,5,2.5,-13
12,13,23,13.0,2016-12-09,28,NYK,@,SAC,W (+3),0,18,2,5,0.4,2,3,0.667,0,0,,1,1,2,0,1,0,1,2,6,3.5,-6
13,14,24,14.0,2016-12-11,28,NYK,@,LAL,W (+6),0,16,0,2,0.0,0,1,0.0,0,0,,0,0,0,0,2,0,0,0,0,0.6,-3
14,15,25,15.0,2016-12-13,28,NYK,@,PHO,L (-2),0,23,1,4,0.25,1,2,0.5,3,3,1.0,1,1,2,1,1,0,1,1,6,4.9,9
15,16,26,16.0,2016-12-15,28,NYK,@,GSW,L (-13),1,24,2,9,0.222,1,4,0.25,0,0,,0,0,0,0,0,1,0,0,5,0.2,-16
