,Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
0,0,1,1.0,2013-10-30,22,MIL,@,NYK,L (-7),0,30,3,12,0.25,1,4,0.25,2,2,1.0,1,0,1,4,1,1,2,2,9,4.2,-3
1,1,2,2.0,2013-11-01,22,MIL,@,BOS,W (+7),0,29,5,10,0.5,1,2,0.5,3,3,1.0,1,1,2,6,0,0,1,1,14,12.8,23
2,2,3,3.0,2013-11-02,22,MIL,,TOR,L (-7),1,36,3,8,0.375,0,3,0.0,1,2,0.5,0,4,4,10,0,0,1,4,7,7.8,-1
3,3,4,4.0,2013-11-06,22,MIL,,CLE,W (+5),1,33,2,5,0.4,0,1,0.0,5,5,1.0,2,6,8,6,0,0,0,3,9,12.5,7
4,4,5,5.0,2013-11-09,22,MIL,,DAL,L (-8),1,36,2,6,0.333,0,1,0.0,1,2,0.5,1,2,3,5,2,1,1,2,5,6.9,-9
5,5,6,6.0,2013-11-12,22,MIL,@,MIA,L (-23),1,24,4,8,0.5,0,2,0.0,1,2,0.5,1,2,3,3,3,0,0,0,9,11.0,-10
6,6,7,7.0,2013-11-13,22,MIL,@,ORL,L (-3),1,40,3,8,0.375,0,1,0.0,3,4,0.75,1,2,3,3,1,0,1,2,9,6.8,2
7,7,8,8.0,2013-11-15,22,MIL,@,IND,L (-27),1,34,4,11,0.364,0,2,0.0,0,0,,0,2,2,5,2,2,2,1,8,7.0,-1
8,8,9,9.0,2013-11-16,22,MIL,,OKC,L (-13),1,28,3,10,0.3,0,2,0.0,1,1,1.0,2,4,6,4,0,0,2,2,7,3.8,-10
9,9,10,10.0,2013-11-20,22,MIL,,POR,L (-9),0,18,3,5,0.6,0,0,,0,2,0.0,0,1,1,4,0,1,3,0,6,3.7,1
10,10,11,11.0,2013-11-22,22,MIL,@,PHI,L (-8),0,18,3,5,0.6,0,1,0.0,1,2,0.5,0,1,1,4,0,0,2,0,7,5.4,-3
11,11,12,12.0,2013-11-23,22,MIL,,CHA,L (-24),0,9,0,2,0.0,0,0,,0,0,,0,1,1,2,0,0,1,1,0,-1.1,-3
12,12,13,13.0,2013-11-25,22,MIL,@,DET,L (-19),0,17,4,6,0.667,0,1,0.0,0,0,,0,1,1,3,0,0,0,0,8,7.8,11
13,14,15,14.0,2013-11-29,22,MIL,@,CHA,L (-16),0,20,2,5,0.4,0,1,0.0,2,2,1.0,1,1,2,2,1,0,1,1,6,5.3,4
14,18,19,15.0,2013-12-06,22,MIL,@,WAS,W (+4),0,17,2,8,0.25,0,0,,0,0,,0,3,3,5,0,0,1,2,4,1.8,4
15,19,20,16.0,2013-12-07,22,MIL,,BRK,L (-8),0,11,1,3,0.333,0,0,,0,0,,0,1,1,2,0,0,1,0,2,1.0,4
16,20,21,17.0,2013-12-10,22,MIL,@,CHI,W (+4),0,13,1,4,0.25,0,0,,2,2,1.0,0,4,4,2,0,0,1,0,4,3.2,2
17,21,22,18.0,2013-12-11,22,MIL,,SAS,L (-32),0,30,7,15,0.467,0,2,0.0,4,5,0.8,0,1,1,7,2,1,2,2,18,15.0,-7
18,22,23,19.0,2013-12-13,22,MIL,,CHI,L (-1),0,19,2,7,0.286,0,0,,1,2,0.5,2,0,2,3,2,0,1,0,5,5.0,10
19,23,24,20.0,2013-12-14,22,MIL,@,DAL,L (-13),0,28,3,6,0.5,0,0,,0,0,,1,4,5,2,0,1,2,1,6,4.6,14
20,24,25,21.0,2013-12-18,22,MIL,,NYK,L (-6),0,14,1,3,0.333,0,1,0.0,0,0,,0,2,2,1,0,0,0,0,2,1.6,-3
21,25,26,22.0,2013-12-20,22,MIL,@,CLE,L (-3),0,18,3,7,0.429,0,0,,2,2,1.0,0,0,0,3,2,0,1,0,8,7.4,2
22,26,27,23.0,2013-12-21,22,MIL,,PHI,W (+10),0,15,3,6,0.5,0,1,0.0,0,0,,0,2,2,0,3,0,0,1,6,6.2,12
23,27,28,24.0,2013-12-23,22,MIL,@,CHA,L (-1),0,15,2,5,0.4,0,0,,0,0,,0,0,0,1,1,0,0,1,4,2.6,-8
24,28,29,25.0,2013-12-27,22,MIL,@,BRK,L (-11),0,11,2,5,0.4,1,2,0.5,0,0,,0,0,0,2,1,0,2,1,5,2.3,-11
25,29,30,26.0,2013-12-28,22,MIL,,MIN,L (-22),0,14,1,2,0.5,0,0,,0,2,0.0,0,1,1,3,0,1,1,0,2,2.3,-11
29,39,40,30.0,2014-01-19,22,MIL,@,SAS,L (-28),0,12,3,7,0.429,0,1,0.0,3,5,0.6,1,0,1,3,0,1,0,0,9,8.0,-4
30,41,42,31.0,2014-01-24,22,MIL,@,CLE,L (-15),0,8,2,4,0.5,0,0,,2,2,1.0,0,1,1,1,0,0,1,0,6,4.0,5
31,42,43,32.0,2014-01-25,22,MIL,,ATL,L (-25),0,16,3,5,0.6,0,0,,2,4,0.5,1,0,1,5,1,1,0,1,8,10.4,7
32,43,44,33.0,2014-01-27,22,MIL,,LAC,L (-28),0,18,1,6,0.167,0,1,0.0,2,4,0.5,0,0,0,3,2,0,0,0,4,3.5,-9
33,44,45,34.0,2014-01-29,22,MIL,,PHO,L (-9),0,19,3,8,0.375,0,0,,5,5,1.0,0,3,3,4,0,0,1,0,11,9.3,2
34,45,46,35.0,2014-01-31,22,MIL,@,ORL,L (-11),1,41,4,11,0.364,0,0,,0,3,0.0,1,6,7,9,0,0,0,3,8,8.3,-13
35,46,47,36.0,2014-02-01,22,MIL,@,MEM,L (-9),1,24,4,9,0.444,0,0,,1,2,0.5,1,2,3,2,0,0,1,2,9,4.8,-11
36,47,48,37.0,2014-02-03,22,MIL,,NYK,W (+3),1,23,3,7,0.429,0,0,,0,0,,1,1,2,2,0,0,1,1,6,3.3,-3
37,48,49,38.0,2014-02-05,22,MIL,@,DEN,L (-10),1,28,2,7,0.286,0,0,,0,0,,1,1,2,4,1,1,0,0,4,5.4,-6
38,49,50,39.0,2014-02-08,22,MIL,,HOU,L (-6),1,39,9,15,0.6,1,3,0.333,0,1,0.0,2,5,7,3,1,0,2,1,19,15.3,-4
39,50,51,40.0,2014-02-10,22,MIL,,BOS,L (-16),1,36,2,9,0.222,1,3,0.333,2,4,0.5,2,4,6,3,2,1,0,2,7,7.3,-5
40,51,52,41.0,2014-02-12,22,MIL,,NOP,L (-4),1,33,6,11,0.545,2,3,0.667,0,0,,2,4,6,7,1,2,1,3,14,16.4,4
41,52,53,42.0,2014-02-18,22,MIL,,ORL,W (+4),1,40,6,13,0.462,1,2,0.5,2,2,1.0,2,5,7,8,2,0,1,2,15,17.0,-1
42,53,54,43.0,2014-02-20,22,MIL,,DEN,L (-11),1,40,6,14,0.429,0,2,0.0,0,0,,1,1,2,5,0,0,1,2,12,7.3,-15
43,54,55,44.0,2014-02-22,22,MIL,,IND,L (-10),1,19,0,2,0.0,0,0,,0,0,,0,4,4,0,0,0,0,1,0,-0.6,-2
44,55,56,45.0,2014-02-24,22,MIL,@,PHI,W (+20),1,15,3,5,0.6,0,2,0.0,0,0,,0,1,1,2,1,0,3,1,6,3.0,9
45,56,57,46.0,2014-02-27,22,MIL,@,IND,L (-5),1,17,2,4,0.5,0,0,,0,0,,1,0,1,0,0,1,1,1,4,2.0,1
46,57,58,47.0,2014-03-01,22,MIL,,BRK,L (-9),1,19,3,6,0.5,1,2,0.5,0,0,,0,1,1,1,0,0,1,2,7,3.2,-6
47,58,59,48.0,2014-03-03,22,MIL,,UTA,W (+26),1,22,4,6,0.667,2,2,1.0,0,0,,0,6,6,5,1,0,2,1,10,11.3,27
48,59,60,49.0,2014-03-05,22,MIL,,SAC,L (-14),1,24,4,6,0.667,0,0,,0,0,,0,2,2,2,0,0,1,0,8,6.4,-4
