,Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
0,0,1,1.0,2013-10-29,28,LAL,,LAC,W (+13),1,22,3,10,0.3,1,4,0.25,6,8,0.75,0,1,1,0,1,0,2,1,13,5.3,-4
1,1,2,2.0,2013-10-30,28,LAL,@,GSW,L (-31),1,20,2,9,0.222,1,2,0.5,1,1,1.0,0,2,2,1,0,0,0,4,6,0.2,-16
2,2,3,3.0,2013-11-01,28,LAL,,SAS,L (-6),1,18,1,3,0.333,0,0,,4,5,0.8,0,1,1,0,1,2,1,4,6,4.0,-5
3,3,4,4.0,2013-11-03,28,LAL,,ATL,W (+2),0,21,5,9,0.556,1,4,0.25,2,2,1.0,0,4,4,4,0,0,0,0,13,12.7,2
4,4,5,5.0,2013-11-05,28,LAL,@,DAL,L (-19),0,27,8,12,0.667,1,2,0.5,4,7,0.571,0,1,1,1,3,0,3,2,21,14.8,-6
5,5,6,6.0,2013-11-07,28,LAL,@,HOU,W (+1),1,22,3,9,0.333,1,5,0.2,4,4,1.0,2,2,4,2,2,0,2,3,11,8.1,11
6,6,7,7.0,2013-11-08,28,LAL,@,NOP,L (-11),1,28,5,11,0.455,1,3,0.333,2,2,1.0,1,2,3,0,0,0,3,6,13,3.2,-17
7,7,8,8.0,2013-11-10,28,LAL,,MIN,L (-23),1,20,3,9,0.333,0,3,0.0,2,2,1.0,1,3,4,0,0,0,0,2,8,3.7,-20
8,8,9,9.0,2013-11-12,28,LAL,,NOP,W (+21),0,23,7,11,0.636,1,2,0.5,2,2,1.0,0,0,0,1,0,0,0,2,17,12.0,14
9,9,10,10.0,2013-11-13,28,LAL,@,DEN,L (-12),0,26,4,12,0.333,2,6,0.333,1,1,1.0,3,2,5,1,0,0,1,2,11,5.8,-13
10,10,11,11.0,2013-11-15,28,LAL,,MEM,L (-3),0,33,7,14,0.5,2,4,0.5,2,5,0.4,0,1,1,1,1,0,0,0,18,11.8,6
11,11,12,12.0,2013-11-17,28,LAL,,DET,W (+15),0,27,7,13,0.538,2,5,0.4,3,3,1.0,0,0,0,0,1,0,0,0,19,13.7,13
12,12,13,13.0,2013-11-22,28,LAL,,GSW,W (+7),0,31,7,15,0.467,3,7,0.429,4,5,0.8,0,1,1,0,2,0,0,3,21,14.0,12
13,13,14,14.0,2013-11-24,28,LAL,,SAC,W (+14),0,29,3,11,0.273,1,4,0.25,0,0,,1,1,2,2,1,1,0,2,7,3.8,15
14,14,15,15.0,2013-11-26,28,LAL,@,WAS,L (-5),0,21,6,12,0.5,2,4,0.5,2,4,0.5,0,2,2,3,1,0,0,3,16,11.7,1
15,15,16,16.0,2013-11-27,28,LAL,@,BRK,W (+5),0,33,8,16,0.5,4,6,0.667,6,6,1.0,1,0,1,1,1,1,1,5,26,18.1,5
16,16,17,17.0,2013-11-29,28,LAL,@,DET,W (+4),0,28,3,12,0.25,0,2,0.0,6,7,0.857,0,1,1,2,2,0,1,2,12,6.3,10
17,17,18,18.0,2013-12-01,28,LAL,,POR,L (-6),0,22,7,14,0.5,1,3,0.333,2,2,1.0,0,3,3,2,2,0,2,1,17,11.9,-4
18,18,19,19.0,2013-12-06,28,LAL,@,SAC,W (+6),0,31,6,16,0.375,0,6,0.0,2,4,0.5,0,3,3,3,1,1,1,4,14,6.5,12
19,19,20,20.0,2013-12-08,28,LAL,,TOR,L (-12),0,30,7,16,0.438,2,7,0.286,3,3,1.0,0,3,3,3,0,1,1,2,19,12.5,1
20,20,21,21.0,2013-12-10,28,LAL,,PHO,L (-6),0,28,5,12,0.417,1,2,0.5,2,6,0.333,1,2,3,3,0,0,2,4,13,4.8,-1
21,21,22,22.0,2013-12-13,28,LAL,@,OKC,L (-25),0,31,6,13,0.462,4,7,0.571,1,1,1.0,0,2,2,2,0,0,1,2,17,10.5,-20
22,22,23,23.0,2013-12-14,28,LAL,@,CHA,W (+3),0,32,2,10,0.2,1,4,0.25,8,9,0.889,2,1,3,1,0,1,0,1,13,9.1,14
23,23,24,24.0,2013-12-16,28,LAL,@,ATL,L (-14),0,33,7,14,0.5,5,7,0.714,4,4,1.0,1,3,4,1,0,1,1,3,23,16.8,-3
24,24,25,25.0,2013-12-17,28,LAL,@,MEM,W (+4),0,34,6,11,0.545,3,6,0.5,3,3,1.0,0,3,3,1,1,1,1,2,18,14.2,2
25,25,26,26.0,2013-12-20,28,LAL,,MIN,W (+13),0,31,9,14,0.643,4,6,0.667,3,3,1.0,0,3,3,4,0,0,5,2,25,16.7,12
