,Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
0,0,1,1.0,2019-10-22,21,NOP,@,TOR,L (-8),0,12,1,10,0.1,1,7,0.143,0,0,,1,3,4,2,2,0,1,2,3,-0.4,6
1,1,2,2.0,2019-10-25,21,NOP,,DAL,L (-7),0,15,2,9,0.222,2,5,0.4,0,0,,0,1,1,6,0,0,1,1,6,3.6,7
2,2,3,3.0,2019-10-26,21,NOP,@,HOU,L (-3),0,12,1,4,0.25,0,2,0.0,0,0,,0,1,1,0,0,0,1,2,2,-1.9,-3
3,3,4,4.0,2019-10-28,21,NOP,,GSW,L (-11),0,24,6,11,0.545,2,4,0.5,1,2,0.5,0,4,4,9,1,0,1,2,15,16.0,6
4,4,5,5.0,2019-10-31,21,NOP,,DEN,W (+15),0,12,0,5,0.0,0,3,0.0,0,0,,1,4,5,3,0,0,0,2,0,-0.3,5
5,5,6,6.0,2019-11-02,21,NOP,@,OKC,L (-11),0,8,1,5,0.2,0,1,0.0,2,2,1.0,0,1,1,0,0,0,0,2,4,0.4,-6
7,7,8,8.0,2019-11-08,21,NOP,,TOR,L (-18),0,16,4,8,0.5,3,5,0.6,2,2,1.0,0,2,2,4,0,0,2,2,13,9.6,5
8,8,9,9.0,2019-11-09,21,NOP,@,CHO,W (+5),0,8,2,4,0.5,1,2,0.5,0,0,,0,2,2,0,0,0,5,2,5,-2.2,-6
9,9,10,10.0,2019-11-11,21,NOP,,HOU,L (-6),0,11,1,4,0.25,0,1,0.0,0,0,,0,0,0,0,1,0,2,2,2,-2.2,-9
10,10,11,11.0,2019-11-14,21,NOP,,LAC,W (+5),0,21,0,6,0.0,0,2,0.0,2,2,1.0,0,2,2,3,0,2,1,2,2,0.1,12
11,11,12,12.0,2019-11-16,21,NOP,@,MIA,L (-15),0,30,10,18,0.556,6,9,0.667,1,2,0.5,0,4,4,3,0,0,3,1,27,17.9,-6
12,12,13,13.0,2019-11-17,21,NOP,,GSW,W (+8),0,35,7,18,0.389,5,13,0.385,0,0,,0,5,5,4,1,0,1,4,19,11.9,0
13,13,14,14.0,2019-11-19,21,NOP,,POR,W (+11),0,16,1,6,0.167,1,4,0.25,0,0,,0,4,4,1,0,0,2,2,3,-1.7,5
16,20,21,17.0,2019-12-03,21,NOP,,DAL,L (-21),0,12,3,9,0.333,1,4,0.25,0,0,,1,2,3,0,0,0,0,0,7,3.2,-12
17,21,22,18.0,2019-12-05,21,NOP,,PHO,L (-7),0,11,3,8,0.375,1,4,0.25,0,0,,0,2,2,1,1,0,1,0,7,3.9,3
18,22,23,19.0,2019-12-07,21,NOP,@,DAL,L (-46),0,21,3,10,0.3,0,4,0.0,1,2,0.5,1,3,4,2,1,0,2,0,7,2.8,-22
19,23,24,20.0,2019-12-09,21,NOP,,DET,L (-2),0,6,1,2,0.5,1,2,0.5,0,0,,0,0,0,0,0,0,0,0,3,2.0,-4
20,24,25,21.0,2019-12-11,21,NOP,@,MIL,L (-15),0,10,2,4,0.5,2,2,1.0,0,0,,0,1,1,0,0,0,0,0,6,4.3,-6
21,25,26,22.0,2019-12-13,21,NOP,@,PHI,L (-7),0,10,1,3,0.333,1,2,0.5,0,0,,0,1,1,1,2,0,1,1,3,2.9,1
22,27,28,23.0,2019-12-17,21,NOP,,BRK,L (-7),0,23,4,7,0.571,1,4,0.25,0,0,,0,4,4,4,0,0,1,1,9,8.3,6
23,28,29,24.0,2019-12-18,21,NOP,@,MIN,W (+8),0,7,0,1,0.0,0,0,,0,0,,0,3,3,2,0,2,1,0,0,2.0,-4
27,36,37,28.0,2020-01-06,21,NOP,,UTA,L (-2),0,15,2,5,0.4,1,2,0.5,0,2,0.0,0,5,5,2,0,0,1,2,5,2.6,9
28,37,38,29.0,2020-01-08,21,NOP,,CHI,W (+15),0,20,4,8,0.5,2,5,0.4,1,3,0.333,1,3,4,6,0,0,2,1,11,9.6,8
29,38,39,30.0,2020-01-10,21,NOP,@,NYK,W (+12),0,24,3,8,0.375,3,7,0.429,0,0,,0,1,1,4,0,0,1,1,9,6.3,14
30,39,40,31.0,2020-01-11,21,NOP,@,BOS,L (-35),0,23,2,10,0.2,1,5,0.2,0,0,,1,2,3,4,0,0,0,3,5,1.7,-22
31,40,41,32.0,2020-01-13,21,NOP,@,DET,W (+7),0,14,1,4,0.25,0,1,0.0,3,3,1.0,0,2,2,0,0,0,2,0,5,1.2,-2
32,41,42,33.0,2020-01-16,21,NOP,,UTA,W (+6),0,16,5,11,0.455,2,4,0.5,0,0,,1,0,1,3,1,1,0,2,12,10.0,2
33,42,43,34.0,2020-01-18,21,NOP,,LAC,L (-3),0,14,3,6,0.5,2,5,0.4,2,4,0.5,0,2,2,1,0,1,2,2,10,5.4,-9
34,43,44,35.0,2020-01-20,21,NOP,@,MEM,W (+10),0,13,1,4,0.25,0,2,0.0,0,0,,0,2,2,5,0,1,0,0,2,4.4,5
35,44,45,36.0,2020-01-22,21,NOP,,SAS,L (-4),0,5,1,3,0.333,0,0,,0,0,,0,1,1,1,0,0,0,1,2,0.9,-9
38,48,49,39.0,2020-01-31,21,NOP,,MEM,W (+28),0,6,0,3,0.0,0,1,0.0,0,0,,0,1,1,1,1,0,3,0,0,-3.1,-1
41,65,66,42.0,2020-08-01,21,NOP,@,LAC,L (-23),0,12,6,7,0.857,2,3,0.667,1,2,0.5,0,1,1,2,2,0,0,4,15,14.2,14
42,66,67,43.0,2020-08-03,21,NOP,,MEM,W (+10),0,5,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,0,0,0.3,-7
43,67,68,44.0,2020-08-06,21,NOP,@,SAC,L (-15),0,5,0,2,0.0,0,0,,0,0,,0,1,1,0,0,0,1,0,0,-2.1,1
