,Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
0,1,2,1.0,2015-10-29,19,IND,,MEM,L (-9),0,18,4,6,0.667,0,0,,0,2,0.0,1,3,4,0,2,1,2,4,8,5.3,3
1,2,3,2.0,2015-10-31,19,IND,,UTA,L (-21),0,23,4,8,0.5,0,0,,2,2,1.0,1,3,4,0,0,1,1,1,10,6.9,-5
2,3,4,3.0,2015-11-03,19,IND,@,DET,W (+12),0,15,3,4,0.75,0,0,,0,0,,0,4,4,0,1,3,0,3,6,7.5,2
3,4,5,4.0,2015-11-04,19,IND,,BOS,W (+2),0,18,2,6,0.333,0,0,,3,4,0.75,3,1,4,1,0,1,0,1,7,6.6,0
4,5,6,5.0,2015-11-06,19,IND,,MIA,W (+3),0,13,1,4,0.25,0,0,,0,0,,0,2,2,0,0,0,1,3,2,-2.0,-22
5,6,7,6.0,2015-11-08,19,IND,@,CLE,L (-4),0,18,3,4,0.75,0,0,,0,0,,0,1,1,0,0,1,0,2,6,4.6,-7
6,7,8,7.0,2015-11-09,19,IND,,ORL,W (+13),0,20,4,6,0.667,0,0,,2,2,1.0,0,4,4,0,0,0,2,2,10,5.8,4
8,30,31,9.0,2015-12-30,19,IND,@,CHI,L (-2),0,22,2,8,0.25,0,0,,4,6,0.667,1,4,5,1,0,3,0,4,8,5.5,-5
9,31,32,10.0,2015-12-31,19,IND,,MIL,L (-4),0,17,2,6,0.333,0,0,,4,6,0.667,2,7,9,0,0,0,1,2,8,5.5,-3
10,32,33,11.0,2016-01-02,19,IND,,DET,W (+12),0,10,1,5,0.2,0,0,,2,2,1.0,1,3,4,0,0,2,1,2,4,2.1,3
11,33,34,12.0,2016-01-04,19,IND,@,MIA,L (-3),0,7,0,2,0.0,0,0,,0,0,,0,3,3,0,0,0,0,0,0,-0.5,2
12,34,35,13.0,2016-01-06,19,IND,@,ORL,W (+9),0,13,3,3,1.0,0,0,,0,0,,1,4,5,0,0,1,1,1,6,6.3,-2
13,35,36,14.0,2016-01-08,19,IND,@,NOP,W (+5),0,11,2,3,0.667,0,0,,1,2,0.5,1,2,3,1,0,1,0,1,5,5.6,-8
14,36,37,15.0,2016-01-10,19,IND,@,HOU,L (-4),0,13,2,3,0.667,0,0,,0,0,,1,1,2,1,0,1,0,1,4,4.7,-2
16,38,39,17.0,2016-01-13,19,IND,@,BOS,L (-9),0,10,3,5,0.6,0,0,,3,5,0.6,0,5,5,0,0,0,0,1,9,7.0,1
17,39,40,18.0,2016-01-15,19,IND,,WAS,L (-14),0,18,4,8,0.5,0,0,,2,2,1.0,1,2,3,1,0,0,1,1,10,6.6,5
18,40,41,19.0,2016-01-17,19,IND,@,DEN,L (-3),0,29,11,13,0.846,0,0,,3,6,0.5,3,4,7,2,1,2,1,3,25,24.0,-11
