,Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,3,4,2.0,2020-01-12,25,ATL,@,BRK,L (-22),0,13,0,6,0.0,0,2,0.0,0,0,,0,1,1,3,1,0,0,0,0,-0.8,8
6,33,34,7.0,2020-08-07,25,TOR,,BOS,L (-22),0,6,0,0,,0,0,,0,0,,0,2,2,0,0,0,0,1,0,0.2,13
7,35,36,8.0,2020-08-10,25,TOR,@,MIL,W (+8),0,21,1,4,0.25,0,2,0.0,2,2,1.0,2,2,4,0,1,0,1,1,4,3.2,0
8,36,37,9.0,2020-08-12,25,TOR,@,PHI,W (+4),0,5,1,1,1.0,0,0,,2,2,1.0,0,1,1,1,1,0,1,0,4,4.7,2
9,37,38,10.0,2020-08-14,25,TOR,,DEN,W (+8),0,27,8,13,0.615,4,6,0.667,2,3,0.667,0,6,6,2,1,0,1,2,22,18.1,8
16,47,18,7.0,2021-01-27,26,TOR,,MIL,L (-7),0,5,0,1,0.0,0,0,,0,0,,0,0,0,0,0,0,1,3,0,-2.9,3
18,49,20,9.0,2021-01-31,26,TOR,,ORL,W (+13),0,8,2,3,0.667,2,3,0.667,0,0,,0,1,1,1,0,0,0,0,6,5.7,-14
24,59,35,15.0,2021-03-03,26,TOR,,DET,L (-24),0,19,0,3,0.0,0,3,0.0,0,0,,1,3,4,0,0,0,0,0,0,-0.5,-4
25,60,36,16.0,2021-03-04,26,TOR,@,BOS,L (-7),0,12,1,2,0.5,1,2,0.5,0,0,,0,1,1,0,0,0,0,2,3,1.5,1
26,61,37,17.0,2021-03-11,26,TOR,,ATL,L (-1),0,20,1,6,0.167,1,4,0.25,0,0,,0,5,5,1,1,0,0,1,3,2.0,16
27,62,38,18.0,2021-03-13,26,TOR,@,CHO,L (-10),0,27,5,10,0.5,2,6,0.333,0,0,,0,1,1,2,2,0,1,3,12,8.5,7
28,63,39,19.0,2021-03-14,26,TOR,@,CHI,L (-23),0,27,1,4,0.25,0,3,0.0,1,2,0.5,1,1,2,2,1,0,3,5,3,-1.4,1
29,64,40,20.0,2021-03-17,26,TOR,@,DET,L (-4),0,21,1,3,0.333,1,2,0.5,0,0,,0,4,4,0,1,0,0,2,3,2.7,1
30,65,41,21.0,2021-03-19,26,TOR,,UTA,L (-3),0,15,0,0,,0,0,,1,2,0.5,0,1,1,1,0,0,1,4,1,-1.0,-11
31,66,42,22.0,2021-03-21,26,TOR,@,CLE,L (-11),0,5,1,1,1.0,1,1,1.0,0,0,,0,0,0,1,0,0,0,0,3,3.4,-9
32,67,43,23.0,2021-03-22,26,TOR,@,HOU,L (-18),0,22,2,4,0.5,2,4,0.5,0,0,,0,2,2,0,0,0,0,4,6,3.0,-8
33,68,44,24.0,2021-03-24,26,TOR,,DEN,W (+24),0,21,4,7,0.571,4,7,0.571,0,0,,0,6,6,2,0,0,0,3,12,10.7,21
34,69,56,25.0,2021-04-14,26,TOR,,SAS,W (+5),0,15,3,4,0.75,2,3,0.667,1,2,0.5,0,2,2,0,0,0,1,0,9,6.6,3
35,70,57,26.0,2021-04-16,26,TOR,,ORL,W (+11),1,26,10,13,0.769,8,11,0.727,2,2,1.0,0,4,4,1,1,1,1,3,30,26.3,-3
36,71,58,27.0,2021-04-18,26,TOR,,OKC,W (+6),1,22,0,10,0.0,0,6,0.0,0,0,,1,3,4,5,0,0,1,2,0,-3.7,10
