,Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,4,5,2.0,2009-11-04,25,DEN,@,NJN,W (+28),0,8,1,1,1.0,0,0,,0,2,0.0,0,0,0,1,1,0,0,1,2,2.2,1
2,5,6,3.0,2009-11-06,25,DEN,@,MIA,L (-8),0,15,2,3,0.667,0,0,,2,2,1.0,2,4,6,1,1,0,1,3,6,6.8,-3
3,6,7,4.0,2009-11-07,25,DEN,@,ATL,L (-25),1,11,1,1,1.0,0,0,,0,0,,0,1,1,0,0,0,1,5,2,-1.0,-13
4,9,10,5.0,2009-11-13,25,DEN,,LAL,W (+26),0,5,0,1,0.0,0,0,,0,0,,0,4,4,0,1,0,2,1,0,-0.9,0
5,10,11,6.0,2009-11-17,25,DEN,,TOR,W (+18),0,11,0,1,0.0,0,1,0.0,0,0,,0,2,2,1,0,0,0,2,0,-0.2,1
7,21,22,8.0,2009-12-08,25,DEN,@,CHA,L (-12),0,8,0,1,0.0,0,0,,0,2,0.0,0,2,2,0,2,1,0,1,0,1.4,2
8,60,61,9.0,2010-03-03,25,DEN,,OKC,W (+29),0,6,1,4,0.25,0,3,0.0,0,0,,1,1,2,0,1,0,2,0,2,-0.4,-11
10,79,80,11.0,2010-04-10,25,DEN,,SAS,L (-19),0,5,0,0,,0,0,,0,0,,0,0,0,1,2,0,0,0,0,2.7,1
11,80,81,12.0,2010-04-12,25,DEN,,MEM,W (+22),0,7,1,1,1.0,0,0,,0,0,,0,1,1,1,0,1,0,2,2,2.6,-6
12,81,82,13.0,2010-04-13,25,DEN,@,PHO,L (-22),0,7,0,3,0.0,0,1,0.0,0,0,,1,2,3,2,0,0,0,0,0,0.6,2
14,89,8,2.0,2010-11-09,26,DEN,@,IND,L (-31),0,11,0,2,0.0,0,0,,0,0,,0,1,1,1,2,0,0,3,0,0.4,4
16,91,31,4.0,2010-12-29,26,DEN,@,MIN,W (+6),0,19,4,5,0.8,0,0,,2,2,1.0,1,0,1,1,0,1,0,5,10,8.2,0
17,99,39,5.0,2011-01-15,26,DEN,,CLE,W (+28),0,7,1,2,0.5,0,0,,1,2,0.5,0,2,2,0,1,1,0,1,3,3.5,-1
18,120,60,6.0,2011-02-25,26,NYK,@,CLE,L (-6),0,8,0,0,,0,0,,0,0,,0,2,2,0,0,0,0,2,0,-0.2,15
20,126,66,8.0,2011-03-07,26,NYK,,UTA,W (+22),0,8,1,3,0.333,1,2,0.5,0,0,,0,0,0,0,0,0,1,0,3,0.3,-5
21,127,1,1.0,2011-12-25,27,NYK,,BOS,W (+2),0,8,1,1,1.0,0,0,,0,0,,2,1,3,1,0,0,0,2,2,3.3,5
22,128,2,2.0,2011-12-28,27,NYK,@,GSW,L (-14),0,15,2,4,0.5,0,1,0.0,0,0,,0,2,2,2,0,0,0,1,4,3.6,2
23,129,3,3.0,2011-12-29,27,NYK,@,LAL,L (-17),0,10,0,1,0.0,0,0,,3,4,0.75,1,2,3,0,0,0,0,1,3,2.8,3
25,132,6,5.0,2012-01-04,27,NYK,,CHA,L (-8),0,12,0,1,0.0,0,1,0.0,0,0,,0,1,1,1,0,2,1,0,0,0.7,-4
26,134,8,6.0,2012-01-07,27,NYK,@,DET,W (+23),0,13,3,5,0.6,0,1,0.0,0,0,,1,6,7,0,0,1,0,1,6,6.5,-6
27,137,11,7.0,2012-01-12,27,NYK,@,MEM,L (-11),0,11,1,3,0.333,0,0,,1,2,0.5,0,1,1,0,0,0,0,2,3,0.4,-2
28,138,12,8.0,2012-01-14,27,NYK,@,OKC,L (-12),0,12,4,6,0.667,1,1,1.0,3,3,1.0,1,3,4,0,2,0,1,3,12,10.8,15
30,146,20,10.0,2012-01-28,27,NYK,@,HOU,L (-13),0,12,1,3,0.333,1,3,0.333,0,0,,0,2,2,0,1,0,1,1,3,1.5,2
31,147,21,11.0,2012-01-31,27,NYK,,DET,W (+27),0,6,3,3,1.0,0,0,,0,0,,1,0,1,0,1,0,0,2,6,6.0,3
34,156,30,14.0,2012-02-15,27,NYK,,SAC,W (+15),0,5,0,1,0.0,0,1,0.0,0,0,,0,1,1,0,0,0,2,0,0,-2.4,-10
