,Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,2,2.0,2012-12-27,24,BOS,@,LAC,L (-29),0,7,0,1,0.0,0,0,,1,2,0.5,0,1,1,0,0,0,1,1,1,-1.2,-4
2,2,3,3.0,2012-12-29,24,BOS,@,GSW,L (-18),0,5,0,0,,0,0,,1,2,0.5,0,0,0,0,0,0,0,0,1,0.6,-2
5,8,9,6.0,2013-01-12,24,MIA,@,SAC,W (+29),0,6,1,1,1.0,0,0,,0,0,,0,0,0,0,0,1,0,1,2,2.0,-1
6,10,11,7.0,2013-01-16,24,MIA,@,GSW,W (+17),0,6,0,1,0.0,0,0,,0,0,,0,0,0,0,0,1,1,3,0,-2.2,-10
11,31,55,12.0,2013-04-15,25,MIA,@,CLE,W (+1),0,15,0,0,,0,0,,0,0,,1,3,4,0,0,0,2,4,0,-2.0,-4
12,32,56,13.0,2013-04-17,25,MIA,,ORL,W (+12),0,5,0,0,,0,0,,0,0,,0,2,2,1,0,0,1,1,0,-0.1,-3
15,38,7,3.0,2014-03-02,26,PHI,@,ORL,L (-11),0,15,0,0,,0,0,,2,4,0.5,0,3,3,0,0,3,0,3,2,3.0,-2
16,39,8,4.0,2014-03-04,26,PHI,@,OKC,L (-33),0,18,3,7,0.429,0,0,,0,1,0.0,4,2,6,0,1,0,1,1,6,4.9,-8
17,40,9,5.0,2014-03-08,26,PHI,,UTA,L (-12),0,14,1,2,0.5,0,0,,0,0,,1,4,5,1,0,0,0,5,2,1.6,0
18,41,10,6.0,2014-03-10,26,PHI,@,NYK,L (-13),0,15,1,2,0.5,0,0,,2,4,0.5,2,0,2,0,0,0,1,1,4,2.2,-16
19,42,11,7.0,2014-03-12,26,PHI,,SAC,L (-17),0,10,1,2,0.5,0,0,,2,2,1.0,1,1,2,1,1,0,0,5,4,3.7,-17
20,43,12,8.0,2014-03-14,26,PHI,,IND,L (-7),0,6,0,0,,0,0,,1,2,0.5,0,1,1,0,0,0,0,0,1,0.9,-5
21,44,13,9.0,2014-03-15,26,PHI,,MEM,L (-26),0,11,1,1,1.0,0,0,,2,4,0.5,1,2,3,0,0,1,0,3,4,3.7,0
22,45,14,10.0,2014-03-17,26,PHI,@,IND,L (-9),0,9,1,2,0.5,0,0,,0,0,,0,0,0,1,0,0,1,2,2,-0.1,-9
23,46,15,11.0,2014-03-19,26,PHI,,CHI,L (-8),0,16,3,3,1.0,0,0,,1,2,0.5,1,2,3,0,0,4,0,2,7,9.0,5
24,47,16,12.0,2014-03-21,26,PHI,,NYK,L (-1),0,17,1,1,1.0,0,0,,1,2,0.5,0,3,3,0,0,0,0,3,3,2.0,-12
25,48,17,13.0,2014-03-22,26,PHI,@,CHI,L (-10),0,15,3,5,0.6,0,0,,0,0,,3,1,4,0,0,1,0,4,6,5.2,-1
26,49,18,14.0,2014-03-24,26,PHI,@,SAS,L (-22),0,11,0,0,,0,0,,0,2,0.0,1,0,1,1,2,1,1,2,0,1.5,-18
27,50,19,15.0,2014-03-27,26,PHI,@,HOU,L (-22),0,22,2,2,1.0,0,0,,1,2,0.5,2,2,4,2,1,2,2,3,5,6.6,-2
28,51,20,16.0,2014-03-29,26,PHI,,DET,W (+25),0,21,4,8,0.5,0,0,,1,1,1.0,2,1,3,1,0,6,0,5,9,9.6,13
29,52,21,17.0,2014-03-31,26,PHI,@,ATL,L (-8),0,21,2,3,0.667,0,0,,1,7,0.143,1,8,9,0,0,3,2,1,5,4.1,-16
30,53,22,18.0,2014-04-02,26,PHI,,CHA,L (-30),0,16,2,5,0.4,0,0,,0,0,,0,1,1,4,0,1,1,5,4,2.1,-7
31,54,23,19.0,2014-04-04,26,PHI,@,BOS,W (+9),0,14,2,2,1.0,0,0,,3,3,1.0,0,3,3,0,1,2,0,1,7,9.3,9
32,55,24,20.0,2014-04-05,26,PHI,,BRK,L (-4),0,20,1,3,0.333,0,0,,2,2,1.0,0,3,3,0,1,1,0,2,4,4.1,-5
33,56,25,21.0,2014-04-09,26,PHI,@,TOR,L (-11),0,17,2,3,0.667,0,0,,2,4,0.5,0,1,1,0,1,2,0,2,6,5.8,-5
34,57,26,22.0,2014-04-11,26,PHI,@,MEM,L (-22),0,18,2,3,0.667,0,0,,2,2,1.0,0,1,1,1,0,0,1,5,6,2.7,-9
35,59,28,23.0,2014-04-14,26,PHI,,BOS,W (+5),0,16,1,1,1.0,0,0,,2,6,0.333,0,1,1,1,0,2,0,2,4,3.7,-1
36,60,29,24.0,2014-04-16,26,PHI,@,MIA,W (+13),0,16,3,5,0.6,0,0,,2,2,1.0,0,3,3,0,2,0,0,4,8,7.0,13
