,Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
0,0,1,1.0,2011-12-26,20,CLE,,TOR,L (-8),0,17,4,6,0.667,0,0,,4,6,0.667,2,3,5,0,0,0,0,2,12,10.1,3
1,1,2,2.0,2011-12-28,20,CLE,@,DET,W (+16),0,25,5,8,0.625,0,0,,0,0,,1,3,4,1,1,2,3,1,10,7.7,18
2,2,3,3.0,2011-12-30,20,CLE,@,IND,L (-7),0,17,1,3,0.333,0,0,,0,0,,1,1,2,0,0,2,2,4,2,-0.9,-4
3,3,4,4.0,2012-01-01,20,CLE,,NJN,W (+16),0,17,4,5,0.8,0,0,,1,6,0.167,3,3,6,0,0,3,0,2,9,9.4,-6
4,4,5,5.0,2012-01-03,20,CLE,,CHA,W (+14),0,24,7,16,0.438,0,0,,2,6,0.333,5,4,9,1,0,2,0,4,16,11.2,5
5,5,6,6.0,2012-01-04,20,CLE,@,TOR,L (-15),0,16,0,5,0.0,0,0,,1,2,0.5,0,3,3,0,0,1,0,1,1,-1.7,-5
6,6,7,7.0,2012-01-06,20,CLE,@,MIN,W (+11),0,14,1,2,0.5,0,0,,0,0,,0,2,2,0,0,0,2,3,2,-1.6,5
7,7,8,8.0,2012-01-08,20,CLE,@,POR,L (-20),0,17,4,6,0.667,0,0,,2,4,0.5,1,4,5,0,0,3,3,2,10,6.8,-2
8,8,9,9.0,2012-01-10,20,CLE,@,UTA,L (-8),0,16,4,5,0.8,0,0,,1,3,0.333,3,2,5,0,2,1,2,2,9,8.9,-7
9,9,10,10.0,2012-01-12,20,CLE,@,PHO,W (+11),0,15,3,7,0.429,0,0,,1,3,0.333,3,3,6,0,0,0,2,1,7,3.1,-8
10,10,11,11.0,2012-01-13,20,CLE,@,LAL,L (-5),0,19,4,9,0.444,0,0,,1,2,0.5,2,6,8,0,0,0,1,1,9,5.7,4
11,11,12,12.0,2012-01-16,20,CLE,@,CHA,W (+8),0,19,4,8,0.5,0,0,,0,3,0.0,0,2,2,0,0,1,1,3,8,1.9,4
12,12,13,13.0,2012-01-17,20,CLE,,GSW,L (-10),0,18,2,9,0.222,0,0,,1,3,0.333,4,5,9,0,0,1,1,2,5,1.9,-8
13,13,14,14.0,2012-01-20,20,CLE,,CHI,L (-39),0,17,2,10,0.2,0,0,,0,2,0.0,4,1,5,0,0,0,1,0,4,-0.9,-25
14,14,15,15.0,2012-01-21,20,CLE,@,ATL,L (-27),0,23,6,7,0.857,0,0,,4,5,0.8,2,3,5,0,1,0,2,1,16,14.0,-13
15,17,18,16.0,2012-01-27,20,CLE,,NJN,L (-3),0,16,2,5,0.4,0,0,,1,2,0.5,0,3,3,0,1,1,1,1,5,3.1,-8
16,18,19,17.0,2012-01-29,20,CLE,@,BOS,W (+1),0,17,1,6,0.167,0,0,,1,2,0.5,3,1,4,0,0,2,2,0,3,0.6,-5
17,19,20,18.0,2012-01-31,20,CLE,,BOS,L (-3),0,5,0,1,0.0,0,0,,0,0,,0,1,1,0,0,0,0,0,0,-0.4,-5
18,24,25,19.0,2012-02-10,20,CLE,,MIL,L (-1),0,28,2,8,0.25,0,0,,1,3,0.333,4,9,13,0,1,3,2,1,5,5.6,7
19,25,26,20.0,2012-02-11,20,CLE,,PHI,L (-15),0,19,0,6,0.0,0,0,,2,2,1.0,2,6,8,1,0,2,0,4,2,1.5,-19
20,26,27,21.0,2012-02-15,20,CLE,,IND,W (+11),0,12,1,3,0.333,0,0,,0,0,,1,2,3,1,0,0,0,4,2,0.7,0
21,27,28,22.0,2012-02-17,20,CLE,,MIA,L (-24),0,26,4,7,0.571,0,0,,4,5,0.8,5,1,6,0,0,2,1,2,12,11.7,0
22,28,29,23.0,2012-02-19,20,CLE,,SAC,W (+1),0,30,6,10,0.6,0,0,,3,6,0.5,7,5,12,1,1,3,2,2,15,16.6,4
23,29,30,24.0,2012-02-21,20,CLE,,DET,W (+1),0,20,0,5,0.0,0,0,,0,0,,3,4,7,0,1,0,1,1,0,-0.6,2
24,30,31,25.0,2012-02-22,20,CLE,,NOH,L (-5),0,16,4,8,0.5,0,0,,2,8,0.25,6,4,10,0,1,0,1,4,10,7.4,5
25,31,32,26.0,2012-02-28,20,CLE,,BOS,L (-3),0,27,5,9,0.556,0,0,,3,4,0.75,6,4,10,0,0,2,0,1,13,14.7,0
26,32,33,27.0,2012-02-29,20,CLE,@,NYK,L (-17),0,29,5,9,0.556,0,0,,1,2,0.5,6,2,8,1,0,1,1,5,11,9.5,-5
27,33,34,28.0,2012-03-02,20,CLE,,CHI,L (-21),0,28,2,7,0.286,0,0,,3,5,0.6,5,6,11,1,1,0,0,1,7,8.7,-21
28,34,35,29.0,2012-03-03,20,CLE,@,WAS,L (-3),0,17,0,5,0.0,0,0,,0,0,,1,2,3,0,0,1,2,1,0,-3.9,-8
29,35,36,30.0,2012-03-05,20,CLE,,UTA,L (-9),0,22,1,6,0.167,0,0,,1,3,0.333,1,2,3,1,0,3,0,1,3,2.1,-5
30,36,37,31.0,2012-03-07,20,CLE,@,DEN,W (+1),0,25,1,2,0.5,0,0,,1,2,0.5,0,3,3,2,1,0,0,1,3,4.5,-5
31,37,38,32.0,2012-03-09,20,CLE,@,OKC,W (+6),0,23,2,8,0.25,0,0,,1,2,0.5,6,2,8,0,1,2,1,1,5,5.6,-6
32,38,39,33.0,2012-03-11,20,CLE,,HOU,W (+11),0,23,2,2,1.0,0,0,,0,2,0.0,1,3,4,3,0,0,1,4,4,3.7,16
33,39,40,34.0,2012-03-13,21,CLE,,TOR,L (-8),0,23,2,6,0.333,0,0,,5,6,0.833,0,3,3,0,0,1,0,2,9,6.0,5
34,40,41,35.0,2012-03-14,21,CLE,@,MIL,L (-10),0,21,1,6,0.167,0,0,,3,3,1.0,4,1,5,1,0,0,2,2,5,2.2,-11
35,41,42,36.0,2012-03-18,21,CLE,,ATL,L (-16),1,35,3,8,0.375,0,0,,1,2,0.5,3,3,6,1,1,0,2,4,7,3.3,-17
36,42,43,37.0,2012-03-19,21,CLE,@,NJN,W (+5),1,37,12,16,0.75,0,0,,3,4,0.75,8,4,12,1,0,1,2,3,27,25.2,-8
37,43,44,38.0,2012-03-21,21,CLE,@,ATL,L (-1),1,41,5,9,0.556,0,0,,3,6,0.5,0,5,5,0,1,2,5,2,13,5.6,-6
38,44,45,39.0,2012-03-23,21,CLE,@,ORL,L (-13),1,37,5,13,0.385,0,0,,5,5,1.0,6,5,11,0,1,2,3,3,15,11.8,-9
39,45,46,40.0,2012-03-25,21,CLE,,PHO,L (-25),1,26,2,5,0.4,0,0,,4,6,0.667,5,2,7,0,0,0,2,5,8,4.6,-9
40,46,47,41.0,2012-03-27,21,CLE,@,PHI,L (-18),1,27,3,3,1.0,0,0,,3,6,0.5,3,3,6,0,0,0,2,0,9,7.9,-9
41,47,48,42.0,2012-03-28,21,CLE,,DET,L (-12),1,30,3,12,0.25,0,0,,3,4,0.75,6,5,11,0,1,3,1,2,9,8.4,-15
42,48,49,43.0,2012-03-30,21,CLE,,MIL,L (-37),1,29,6,11,0.545,0,0,,3,7,0.429,9,2,11,0,0,0,1,4,15,12.4,-18
43,49,50,44.0,2012-03-31,21,CLE,@,NYK,L (-16),1,15,1,2,0.5,0,0,,1,2,0.5,0,1,1,0,0,0,2,4,3,-1.7,3
44,50,51,45.0,2012-04-03,21,CLE,,SAS,L (-35),1,28,4,7,0.571,0,0,,2,2,1.0,1,3,4,1,1,0,0,1,10,9.6,-14
45,51,52,46.0,2012-04-04,21,CLE,@,MIL,L (-9),1,33,6,11,0.545,0,0,,0,0,,4,5,9,1,0,0,3,4,12,7.1,13
46,52,53,47.0,2012-04-06,21,CLE,@,TOR,W (+4),1,24,2,6,0.333,0,0,,2,3,0.667,2,2,4,0,1,0,0,3,6,4.0,-4
47,53,54,48.0,2012-04-08,21,CLE,@,NJN,L (-5),1,33,7,12,0.583,0,0,,1,4,0.25,10,5,15,2,1,2,2,3,15,17.3,1
48,54,55,49.0,2012-04-10,21,CLE,,CHA,W (+13),1,22,3,8,0.375,0,0,,0,0,,3,4,7,1,0,1,0,3,6,5.1,-9
49,55,56,50.0,2012-04-11,21,CLE,,IND,L (-6),1,30,4,7,0.571,0,0,,2,3,0.667,4,4,8,0,1,1,1,2,10,10.2,-18
50,56,57,51.0,2012-04-13,21,CLE,@,IND,L (-19),1,19,1,3,0.333,0,0,,1,2,0.5,1,1,2,1,1,1,1,4,3,1.7,-22
51,57,58,52.0,2012-04-14,21,CLE,@,WAS,W (+9),1,35,5,11,0.455,0,0,,4,4,1.0,0,3,3,0,0,2,4,5,14,4.6,0
52,58,59,53.0,2012-04-15,21,CLE,,ORL,L (-16),1,29,1,8,0.125,0,0,,1,2,0.5,4,4,8,0,0,0,1,1,3,0.0,-11
53,59,60,54.0,2012-04-17,21,CLE,@,DET,L (-39),1,34,6,16,0.375,0,1,0.0,0,0,,5,8,13,2,1,0,4,3,12,6.3,-41
54,60,61,55.0,2012-04-18,21,CLE,,PHI,L (-16),1,23,5,6,0.833,0,0,,2,2,1.0,1,4,5,0,1,0,1,0,12,11.7,-6
55,61,62,56.0,2012-04-20,21,CLE,,NYK,W (+8),1,24,4,7,0.571,0,0,,2,2,1.0,2,4,6,1,0,0,2,3,10,6.8,8
56,62,63,57.0,2012-04-22,21,CLE,@,SAS,L (-16),1,30,4,9,0.444,0,0,,1,4,0.25,5,4,9,2,1,2,2,2,9,8.8,3
57,63,64,58.0,2012-04-23,21,CLE,@,MEM,L (-8),1,30,3,10,0.3,0,0,,6,10,0.6,4,5,9,0,0,4,1,6,12,8.3,-4
58,64,65,59.0,2012-04-25,21,CLE,,WAS,L (-11),1,18,3,6,0.5,0,0,,1,2,0.5,3,1,4,0,2,1,0,0,7,8.7,-8
59,65,66,60.0,2012-04-26,21,CLE,@,CHI,L (-32),1,30,4,11,0.364,0,1,0.0,5,8,0.625,6,6,12,0,1,1,2,0,13,11.4,-12
60,66,1,1.0,2012-10-30,21,CLE,,WAS,W (+10),1,32,5,8,0.625,0,0,,2,4,0.5,3,7,10,5,1,0,2,2,12,13.5,20
61,67,2,2.0,2012-11-02,21,CLE,,CHI,L (-29),1,24,2,6,0.333,0,0,,2,2,1.0,2,3,5,1,0,0,1,3,6,3.4,-5
62,68,3,3.0,2012-11-03,21,CLE,@,MIL,L (-3),1,30,2,5,0.4,0,0,,5,8,0.625,4,2,6,0,1,0,0,3,9,8.3,13
63,69,4,4.0,2012-11-05,21,CLE,@,LAC,W (+7),1,32,0,6,0.0,0,0,,1,4,0.25,4,4,8,1,3,1,3,5,1,-1.0,5
64,70,5,5.0,2012-11-07,21,CLE,@,GSW,L (-10),1,36,4,8,0.5,0,0,,3,8,0.375,4,6,10,1,0,0,3,4,11,5.7,10
65,71,6,6.0,2012-11-09,21,CLE,@,PHO,L (-2),1,37,5,8,0.625,0,0,,0,0,,5,3,8,1,3,1,3,1,10,11.8,-8
66,72,7,7.0,2012-11-11,21,CLE,@,OKC,L (-15),1,33,3,6,0.5,0,0,,4,4,1.0,2,6,8,1,2,0,1,3,10,10.7,1
67,73,8,8.0,2012-11-13,21,CLE,@,BRK,L (-13),1,31,6,11,0.545,0,0,,2,5,0.4,3,2,5,0,1,0,1,4,14,8.6,-5
68,74,9,9.0,2012-11-17,21,CLE,,DAL,L (-8),1,29,5,12,0.417,0,0,,0,0,,4,8,12,3,0,0,2,2,10,8.1,3
69,75,10,10.0,2012-11-18,21,CLE,@,PHI,L (-7),1,31,6,14,0.429,0,0,,2,3,0.667,8,5,13,2,0,1,0,2,14,14.6,-3
70,76,11,11.0,2012-11-21,21,CLE,,PHI,W (+9),1,25,1,7,0.143,0,0,,2,3,0.667,3,8,11,2,0,1,0,1,4,5.3,2
71,77,12,12.0,2012-11-23,21,CLE,@,ORL,L (-4),1,28,3,6,0.5,0,0,,0,0,,2,3,5,1,0,0,2,3,6,2.8,5
72,78,13,13.0,2012-11-24,21,CLE,@,MIA,L (-2),1,23,6,7,0.857,0,0,,1,2,0.5,2,3,5,1,0,0,1,1,13,11.7,-2
73,79,14,14.0,2012-11-26,21,CLE,@,MEM,L (-6),1,32,4,7,0.571,0,0,,1,2,0.5,3,2,5,0,2,2,3,5,9,6.4,-11
74,80,15,15.0,2012-11-27,21,CLE,,PHO,L (-13),1,24,1,7,0.143,0,0,,3,4,0.75,2,4,6,0,0,0,3,3,5,-1.5,-7
75,81,16,16.0,2012-11-30,21,CLE,@,ATL,W (+2),1,33,3,7,0.429,0,0,,0,0,,6,9,15,1,2,1,0,4,6,11.0,-1
76,82,17,17.0,2012-12-01,21,CLE,,POR,L (-1),1,38,5,8,0.625,0,0,,0,0,,1,1,2,1,0,2,1,5,10,6.5,-12
77,83,18,18.0,2012-12-03,21,CLE,@,DET,L (-10),1,33,4,13,0.308,0,0,,2,2,1.0,5,6,11,1,0,2,0,4,10,8.3,-8
78,84,19,19.0,2012-12-05,21,CLE,,CHI,L (-10),1,32,5,9,0.556,0,0,,1,2,0.5,5,0,5,0,1,2,2,2,11,9.4,-11
79,85,20,20.0,2012-12-07,21,CLE,@,MIN,L (-18),1,25,3,7,0.429,0,0,,0,0,,0,3,3,0,2,0,2,5,6,1.2,-13
