,Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
0,0,1,1.0,2014-10-29,21,DET,@,DEN,L (-10),0,8,0,1,0.0,0,0,,0,0,,0,0,0,1,0,0,0,1,0,-0.4,-3
1,11,12,2.0,2014-11-19,21,DET,,PHO,L (-2),0,14,0,3,0.0,0,2,0.0,2,2,1.0,0,1,1,1,0,0,1,1,2,-0.5,-4
2,13,14,3.0,2014-11-25,21,DET,@,MIL,L (-12),0,11,1,3,0.333,1,1,1.0,0,0,,0,0,0,3,1,0,2,0,3,2.4,-2
3,14,15,4.0,2014-11-26,21,DET,,LAC,L (-6),0,17,4,7,0.571,2,4,0.5,0,0,,0,0,0,4,0,0,0,1,10,9.1,-7
4,15,16,5.0,2014-11-28,21,DET,,MIL,L (-16),0,14,1,4,0.25,0,2,0.0,0,0,,0,3,3,3,1,0,0,3,2,2.4,-14
5,21,22,6.0,2014-12-09,21,DET,,POR,L (-12),0,14,1,6,0.167,0,4,0.0,1,1,1.0,0,1,1,3,0,0,0,0,3,1.6,2
6,24,25,7.0,2014-12-15,21,DET,@,LAC,L (-22),0,9,1,4,0.25,0,3,0.0,0,0,,0,0,0,1,0,0,0,1,2,-0.1,1
8,43,44,9.0,2015-01-24,21,DET,@,MIL,L (-15),0,7,1,3,0.333,0,1,0.0,2,2,1.0,0,2,2,2,1,0,1,0,4,4.3,10
9,44,45,10.0,2015-01-25,21,DET,@,TOR,L (-4),0,11,1,4,0.25,0,2,0.0,0,0,,0,1,1,2,0,1,0,3,2,0.8,-1
10,45,46,11.0,2015-01-27,21,DET,,CLE,L (-8),0,12,1,3,0.333,0,1,0.0,0,0,,0,3,3,3,0,1,2,0,2,2.0,1
11,46,47,12.0,2015-01-28,21,DET,@,PHI,L (-20),0,14,1,6,0.167,0,2,0.0,4,4,1.0,0,1,1,2,1,1,1,2,6,3.8,3
12,47,48,13.0,2015-01-31,21,DET,,HOU,W (+13),0,11,1,2,0.5,0,1,0.0,0,0,,0,2,2,2,0,0,2,1,2,0.6,-9
13,48,49,14.0,2015-02-03,21,DET,,MIA,W (+17),0,7,0,0,,0,0,,0,0,,0,0,0,2,0,0,0,1,0,1.0,-15
16,54,55,17.0,2015-02-20,21,DET,,CHI,W (+9),1,31,5,9,0.556,1,2,0.5,1,2,0.5,0,3,3,9,3,0,2,3,12,14.3,19
17,55,56,18.0,2015-02-22,21,DET,,WAS,W (+17),0,18,0,6,0.0,0,3,0.0,0,0,,0,1,1,7,0,0,2,2,0,-1.8,9
18,56,57,19.0,2015-02-24,21,DET,,CLE,L (-9),0,9,0,4,0.0,0,2,0.0,0,0,,0,0,0,0,0,0,2,0,0,-4.8,-7
