,Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
0,0,1,1,2012/11/2,26,CHA,,IND,W (+1),0,21,3,8,0.375,1,1,1.0,4,4,1.0,0,2,2,4,1,0,2,3,11,7.8,-12
1,1,2,2,2012/11/3,26,CHA,@,DAL,L (-27),0,28,8,13,0.615,1,3,0.333,5,5,1.0,0,4,4,5,0,0,1,0,22,19.8,-16
2,2,3,3,2012/11/7,26,CHA,,PHO,L (-7),0,35,2,10,0.2,1,3,0.333,12,14,0.857,1,2,3,9,0,0,3,0,17,14.6,-8
3,3,4,4,2012/11/9,26,CHA,@,NOH,L (-8),0,24,4,8,0.5,0,2,0.0,5,6,0.833,0,1,1,4,0,0,1,2,13,9.9,-9
4,4,5,5,2012/11/10,26,CHA,,DAL,W (+4),0,22,5,15,0.333,0,3,0.0,2,4,0.5,2,1,3,4,0,0,4,1,12,2.8,0
5,5,6,6,2012/11/13,26,CHA,,WAS,W (+16),0,30,7,18,0.389,1,2,0.5,6,8,0.75,1,4,5,2,0,0,2,1,21,11.3,11
6,6,7,7,2012/11/14,26,CHA,@,MIN,W (+2),0,32,8,20,0.4,0,5,0.0,2,5,0.4,1,5,6,4,2,0,0,0,18,13.0,2
7,7,8,8,2012/11/17,26,CHA,,MEM,L (-7),0,25,6,11,0.545,0,2,0.0,0,0,,0,4,4,2,1,0,2,1,12,7.9,0
8,8,9,9,2012/11/19,26,CHA,,MIL,W (+4),0,32,6,13,0.462,1,2,0.5,10,10,1.0,0,4,4,4,1,0,5,3,23,15.1,6
9,9,10,10,2012/11/21,26,CHA,,TOR,W (+1),0,33,5,19,0.263,0,3,0.0,4,4,1.0,0,4,4,6,1,0,2,1,14,6.7,9
10,10,11,11,2012/11/23,26,CHA,,ATL,L (-10),0,29,6,15,0.4,2,4,0.5,8,11,0.727,0,4,4,4,2,0,0,2,22,17.9,5
11,11,12,12,2012/11/24,26,CHA,@,WAS,W (+2),0,41,6,14,0.429,0,2,0.0,9,11,0.818,1,4,5,3,4,0,2,2,21,18.0,-13
12,12,13,13,2012/11/26,26,CHA,@,OKC,L (-45),0,19,1,9,0.111,0,0,,5,6,0.833,1,4,5,1,0,0,2,3,7,0.1,-14
13,13,14,14,2012/11/28,26,CHA,@,ATL,L (-3),0,34,7,17,0.412,0,2,0.0,4,5,0.8,0,2,2,8,2,0,3,1,18,13.3,1
14,14,15,15,2012/11/30,26,CHA,,PHI,L (-6),0,28,3,9,0.333,0,0,,2,2,1.0,2,3,5,6,1,0,1,1,8,9.0,3
15,15,16,16,2012/12/3,26,CHA,,POR,L (-6),0,30,2,9,0.222,0,1,0.0,7,9,0.778,1,3,4,9,0,0,4,1,11,8.2,-1
16,16,17,17,2012/12/5,26,CHA,,NYK,L (-2),0,14,3,7,0.429,0,1,0.0,2,2,1.0,1,4,5,1,0,0,2,0,8,4.9,9
17,17,18,18,2012/12/7,26,CHA,@,MIL,L (-15),0,21,2,6,0.333,0,0,,4,4,1.0,1,4,5,2,2,0,2,2,8,7.1,-18
18,18,19,19,2012/12/8,26,CHA,,SAS,L (-30),0,24,4,12,0.333,0,0,,4,4,1.0,0,0,0,4,1,0,0,0,12,9.0,-22
19,19,20,20,2012/12/10,26,CHA,,GSW,L (-8),0,23,3,8,0.375,2,2,1.0,4,4,1.0,1,0,1,6,0,1,0,1,12,12.8,2
20,20,21,21,2012/12/12,26,CHA,,LAC,L (-6),0,22,3,10,0.3,1,2,0.5,4,5,0.8,2,0,2,3,1,0,1,1,11,7.9,-7
21,21,22,22,2012/12/13,26,CHA,@,ATL,L (-23),0,22,5,8,0.625,2,3,0.667,4,4,1.0,1,2,3,4,0,0,3,4,16,11.9,-8
22,22,23,23,2012/12/15,26,CHA,,ORL,L (-9),0,25,5,10,0.5,0,1,0.0,4,6,0.667,0,1,1,2,0,0,1,1,14,8.5,-6
23,23,24,24,2012/12/18,26,CHA,@,LAL,L (-1),0,29,7,13,0.538,2,3,0.667,4,4,1.0,1,3,4,6,0,0,1,1,20,18.1,-5
24,24,25,25,2012/12/19,26,CHA,@,PHO,L (-17),0,18,1,4,0.25,0,0,,0,0,,0,1,1,4,1,0,3,0,2,0.7,-22
25,25,26,26,2012/12/21,26,CHA,@,GSW,L (-15),0,23,4,10,0.4,3,4,0.75,6,6,1.0,0,1,1,1,0,0,1,3,17,10.4,-13
26,26,27,27,2012/12/22,26,CHA,@,DEN,L (-22),0,29,8,13,0.615,0,1,0.0,7,9,0.778,0,1,1,1,2,0,1,4,23,16.7,-12
27,27,28,28,2012/12/26,26,CHA,,MIA,L (-13),0,36,7,12,0.583,1,3,0.333,4,6,0.667,0,1,1,5,0,0,1,4,19,13.8,-13
28,28,29,29,2012/12/28,26,CHA,@,BRK,L (-16),0,26,6,15,0.4,0,2,0.0,0,2,0.0,1,1,2,2,1,0,2,0,12,4.5,-14
29,29,30,30,2012/12/29,26,CHA,,NOH,L (-3),0,30,1,9,0.111,0,2,0.0,1,2,0.5,0,1,1,5,1,0,1,0,3,0.5,-8
30,30,31,31,2012/12/31,26,CHA,@,CHI,W (+10),0,25,5,9,0.556,1,2,0.5,4,4,1.0,0,2,2,2,1,0,1,1,15,12.3,-11
