,Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
0,0,1,1.0,2009-10-27,31,HOU,@,POR,L (-9),1,28,2,9,0.222,1,4,0.25,3,4,0.75,1,3,4,0,2,0,1,1,8,4.3,-22
1,1,2,2.0,2009-10-28,31,HOU,@,GSW,W (+1),1,33,1,4,0.25,1,3,0.333,6,6,1.0,0,3,3,4,3,2,0,1,9,14.3,-2
2,2,3,3.0,2009-10-31,31,HOU,,POR,W (+4),1,35,1,6,0.167,1,3,0.333,3,4,0.75,3,2,5,5,0,0,1,2,6,6.2,1
3,3,4,4.0,2009-11-02,31,HOU,@,UTA,W (+17),1,33,5,10,0.5,3,5,0.6,0,0,,1,2,3,4,0,1,1,3,13,10.6,36
4,4,5,5.0,2009-11-04,31,HOU,,LAL,L (-1),1,47,4,10,0.4,2,8,0.25,4,4,1.0,3,2,5,0,0,1,1,3,14,9.8,-2
5,5,6,6.0,2009-11-06,31,HOU,,OKC,W (+11),1,35,4,5,0.8,1,2,0.5,0,0,,0,2,2,1,1,1,1,2,9,8.3,4
6,6,7,7.0,2009-11-10,31,HOU,@,DAL,L (-18),1,28,1,8,0.125,1,6,0.167,0,0,,0,1,1,3,1,0,0,1,3,0.8,-24
7,7,8,8.0,2009-11-11,31,HOU,,MEM,W (+25),1,27,1,3,0.333,1,3,0.333,1,1,1.0,0,1,1,4,2,2,0,1,4,8.4,9
8,8,9,9.0,2009-11-13,31,HOU,@,SAC,L (-9),1,37,8,11,0.727,4,6,0.667,3,3,1.0,1,1,2,2,1,2,1,1,23,21.9,-8
9,9,10,10.0,2009-11-15,31,HOU,@,LAL,W (+10),1,18,1,6,0.167,1,5,0.2,0,0,,0,2,2,3,1,0,0,4,3,1.3,-15
10,10,11,11.0,2009-11-17,31,HOU,,PHO,L (-6),1,32,4,8,0.5,1,4,0.25,1,2,0.5,0,3,3,2,0,0,2,3,10,4.7,-4
11,11,12,12.0,2009-11-18,31,HOU,@,MIN,W (+13),1,41,3,5,0.6,2,4,0.5,1,1,1.0,1,3,4,5,2,0,1,2,9,12.0,5
12,12,13,13.0,2009-11-20,31,HOU,@,ATL,L (-2),1,32,2,8,0.25,1,5,0.2,0,0,,0,0,0,1,1,0,1,0,5,0.9,-8
13,13,14,14.0,2009-11-21,31,HOU,,SAC,W (+7),1,29,6,11,0.545,1,4,0.25,1,1,1.0,2,1,3,0,1,1,0,1,14,11.7,3
14,14,15,15.0,2009-11-25,31,HOU,,DAL,L (-31),1,28,3,5,0.6,2,4,0.5,0,1,0.0,1,1,2,1,0,1,2,0,8,5.7,2
15,15,16,16.0,2009-11-27,31,HOU,,SAS,L (-8),1,25,0,2,0.0,0,1,0.0,0,0,,0,3,3,0,0,0,0,2,0,-1.3,-8
16,16,17,17.0,2009-11-29,31,HOU,@,OKC,W (+9),1,35,2,7,0.286,1,3,0.333,2,2,1.0,2,1,3,1,0,1,0,4,7,4.4,4
17,17,18,18.0,2009-12-02,31,HOU,@,LAC,W (+17),1,28,3,6,0.5,2,4,0.5,0,0,,0,3,3,2,1,0,2,1,8,5.9,-1
18,18,19,19.0,2009-12-03,31,HOU,@,GSW,W (+2),1,37,3,6,0.5,0,2,0.0,4,6,0.667,3,7,10,4,1,6,0,1,10,18.0,-1
19,19,20,20.0,2009-12-05,31,HOU,@,POR,L (-1),1,36,2,4,0.5,1,3,0.333,0,0,,0,4,4,1,0,0,1,2,5,3.1,3
20,20,21,21.0,2009-12-09,31,HOU,,CLE,W (+10),1,38,4,11,0.364,4,7,0.571,2,3,0.667,2,2,4,3,3,2,2,4,14,12.4,10
21,21,22,22.0,2009-12-11,31,HOU,@,PHI,W (+5),1,28,1,7,0.143,1,5,0.2,0,0,,0,1,1,2,0,1,0,4,3,-0.7,1
22,22,23,23.0,2009-12-13,31,HOU,@,TOR,L (-13),1,29,1,4,0.25,0,3,0.0,2,2,1.0,0,1,1,2,0,0,2,1,4,0.9,-9
23,23,24,24.0,2009-12-15,31,HOU,,DET,W (+11),1,26,2,4,0.5,0,2,0.0,0,0,,1,3,4,2,0,1,2,1,4,3.3,2
24,24,25,25.0,2009-12-16,31,HOU,@,DEN,L (-10),1,31,4,8,0.5,3,5,0.6,0,0,,1,3,4,4,2,3,0,5,11,13.5,10
25,25,26,26.0,2009-12-18,31,HOU,@,DAL,W (+8),1,33,2,6,0.333,1,4,0.25,0,0,,0,5,5,2,0,1,2,4,5,1.6,-3
26,26,27,27.0,2009-12-19,31,HOU,,OKC,W (+5),1,37,5,7,0.714,3,5,0.6,0,0,,0,3,3,1,0,1,2,1,13,10.0,7
27,27,28,28.0,2009-12-22,31,HOU,,LAC,W (+9),1,41,4,10,0.4,3,6,0.5,0,1,0.0,1,7,8,3,0,1,1,0,11,9.8,4
28,28,29,29.0,2009-12-23,31,HOU,@,ORL,L (-15),1,33,1,4,0.25,1,3,0.333,2,2,1.0,1,4,5,4,1,1,2,1,5,6.6,-11
29,29,30,30.0,2009-12-26,31,HOU,@,NJN,W (+5),1,36,3,4,0.75,2,3,0.667,0,0,,0,2,2,2,1,1,0,2,8,9.3,12
30,30,31,31.0,2009-12-27,31,HOU,@,CLE,L (-25),1,30,2,5,0.4,1,4,0.25,2,3,0.667,0,2,2,3,1,0,2,2,7,4.8,-16
31,31,32,32.0,2009-12-29,31,HOU,,NOH,W (+8),1,43,7,12,0.583,5,8,0.625,1,1,1.0,0,2,2,3,0,1,2,1,20,15.4,4
32,32,33,33.0,2009-12-31,31,HOU,,DAL,W (+3),1,38,4,12,0.333,2,9,0.222,1,1,1.0,2,6,8,5,2,1,1,4,11,11.0,14
33,33,34,34.0,2010-01-02,31,HOU,@,NOH,L (-4),1,36,2,5,0.4,2,4,0.5,0,0,,1,3,4,4,1,0,1,1,6,7.3,-7
