,Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,2,2.0,2017-10-21,22,LAC,,PHO,W (+42),0,7,3,5,0.6,0,0,,2,2,1.0,0,0,0,1,2,0,0,1,8,8.0,14
3,3,4,4.0,2017-10-26,22,LAC,@,POR,W (+1),0,9,1,2,0.5,0,0,,4,4,1.0,1,1,2,1,0,0,0,2,6,5.9,3
4,4,5,5.0,2017-10-28,22,LAC,,DET,L (-8),0,9,1,3,0.333,0,1,0.0,1,2,0.5,2,1,3,0,0,1,0,1,3,2.9,-9
5,5,6,6.0,2017-10-30,22,LAC,,GSW,L (-28),0,17,1,3,0.333,0,0,,0,0,,0,1,1,1,1,0,0,1,2,1.9,-17
6,6,7,7.0,2017-11-01,22,LAC,,DAL,W (+21),0,23,1,4,0.25,0,1,0.0,1,2,0.5,1,0,1,3,0,1,0,4,3,2.1,13
7,7,8,8.0,2017-11-04,22,LAC,,MEM,L (-9),0,10,0,1,0.0,0,0,,1,4,0.25,0,1,1,0,0,1,0,2,1,-0.7,-8
8,8,9,9.0,2017-11-05,22,LAC,,MIA,L (-3),0,12,0,4,0.0,0,2,0.0,2,2,1.0,0,0,0,0,0,0,4,3,2,-6.0,-4
9,9,10,10.0,2017-11-07,22,LAC,@,SAS,L (-13),0,17,3,6,0.5,0,0,,0,1,0.0,1,1,2,1,2,0,1,1,6,4.9,3
10,10,11,11.0,2017-11-10,22,LAC,@,OKC,L (-9),1,23,4,5,0.8,1,1,1.0,1,1,1.0,0,1,1,0,1,2,3,5,10,5.8,-11
11,11,12,12.0,2017-11-11,22,LAC,@,NOP,L (-8),1,32,2,5,0.4,1,2,0.5,2,2,1.0,2,0,2,2,2,0,2,5,7,5.1,-9
12,12,13,13.0,2017-11-13,22,LAC,,PHI,L (-4),1,31,3,7,0.429,1,3,0.333,0,1,0.0,0,2,2,0,0,1,2,2,7,1.4,-13
13,13,14,14.0,2017-11-17,23,LAC,@,CLE,L (-5),1,31,5,9,0.556,3,3,1.0,0,0,,0,1,1,2,0,1,1,4,13,8.5,-8
14,14,15,15.0,2017-11-18,23,LAC,@,CHO,L (-15),1,31,2,5,0.4,1,2,0.5,0,0,,0,0,0,3,2,0,1,4,5,3.8,-3
15,15,16,16.0,2017-11-20,23,LAC,@,NYK,L (-22),0,16,0,1,0.0,0,0,,0,0,,1,0,1,0,0,0,0,3,0,-1.2,-12
16,16,17,17.0,2017-11-22,23,LAC,@,ATL,W (+13),0,7,0,1,0.0,0,1,0.0,0,0,,0,0,0,0,0,0,0,1,0,-1.1,-3
17,17,18,18.0,2017-11-25,23,LAC,@,SAC,W (+2),0,20,1,3,0.333,0,1,0.0,0,0,,0,1,1,0,1,0,0,1,2,1.2,-2
18,18,19,19.0,2017-11-27,23,LAC,,LAL,W (+5),0,12,1,1,1.0,1,1,1.0,0,0,,0,1,1,0,2,0,0,1,3,4.6,-13
19,19,20,20.0,2017-11-30,23,LAC,,UTA,L (-19),0,11,1,2,0.5,1,2,0.5,0,0,,0,1,1,0,0,0,1,0,3,1.3,-5
20,20,21,21.0,2017-12-02,23,LAC,@,DAL,L (-26),0,16,3,6,0.5,1,3,0.333,2,3,0.667,0,0,0,1,1,0,0,1,9,6.9,-14
21,21,22,22.0,2017-12-03,23,LAC,@,MIN,L (-6),0,14,0,2,0.0,0,1,0.0,0,0,,0,2,2,0,0,0,0,6,0,-3.2,2
22,22,23,23.0,2017-12-06,23,LAC,,MIN,L (-6),0,16,2,4,0.5,0,1,0.0,0,1,0.0,1,3,4,0,0,0,1,2,4,1.4,3
23,23,24,24.0,2017-12-09,23,LAC,,WAS,W (+1),1,20,1,3,0.333,0,1,0.0,0,0,,0,2,2,0,1,0,1,1,2,0.5,-15
24,24,25,25.0,2017-12-11,23,LAC,,TOR,W (+5),0,23,0,3,0.0,0,0,,0,0,,1,7,8,3,0,2,1,2,0,2.4,1
25,25,26,26.0,2017-12-13,23,LAC,@,ORL,W (+11),0,7,1,2,0.5,1,1,1.0,0,0,,0,2,2,0,0,0,0,2,3,1.8,2
26,26,27,27.0,2017-12-15,23,LAC,@,WAS,L (-9),1,19,1,3,0.333,0,1,0.0,3,4,0.75,0,2,2,1,1,0,2,2,5,2.4,-4
