,Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,6,7,2.0,2009-11-09,23,TOR,@,SAS,L (-7),0,7,2,2,1.0,0,0,,0,0,,0,1,1,1,0,0,0,1,4,4.0,-3
2,9,10,3.0,2009-11-15,23,TOR,@,PHO,L (-1),0,8,2,2,1.0,0,0,,0,0,,0,2,2,1,0,0,0,1,4,4.3,1
3,10,11,4.0,2009-11-17,23,TOR,@,DEN,L (-18),0,27,6,14,0.429,0,1,0.0,0,0,,2,0,2,2,1,1,1,3,12,6.9,-4
4,11,12,5.0,2009-11-18,23,TOR,@,UTA,L (-13),0,5,0,3,0.0,0,1,0.0,0,0,,0,2,2,0,0,0,0,1,0,-1.9,-1
5,12,13,6.0,2009-11-20,23,TOR,,MIA,W (+7),0,7,2,4,0.5,0,0,,0,0,,0,0,0,0,0,0,0,1,4,1.6,-9
6,13,14,7.0,2009-11-22,23,TOR,,ORL,L (-8),0,20,4,9,0.444,0,1,0.0,0,0,,1,3,4,0,0,0,2,3,8,1.7,5
7,15,16,8.0,2009-11-25,23,TOR,@,CHA,L (-35),0,11,0,3,0.0,0,0,,0,0,,1,0,1,0,0,1,2,0,0,-2.7,-17
10,19,20,11.0,2009-12-02,23,TOR,@,ATL,L (-31),0,29,3,11,0.273,0,1,0.0,1,4,0.25,1,2,3,2,2,1,0,2,7,3.9,-16
11,21,22,12.0,2009-12-05,23,TOR,@,CHI,W (+32),0,7,0,3,0.0,0,1,0.0,0,0,,0,1,1,1,1,0,0,0,0,-0.1,0
12,23,24,13.0,2009-12-09,23,TOR,@,MIL,L (-22),0,19,5,6,0.833,0,1,0.0,2,2,1.0,0,0,0,2,0,1,0,2,12,11.1,-10
13,24,25,14.0,2009-12-11,23,TOR,,ATL,L (-22),0,18,5,9,0.556,0,0,,0,0,,0,1,1,0,0,0,0,2,10,5.2,-2
14,25,26,15.0,2009-12-13,23,TOR,,HOU,W (+13),0,29,5,10,0.5,0,1,0.0,1,1,1.0,1,3,4,2,1,1,1,3,11,8.5,2
15,26,27,16.0,2009-12-15,23,TOR,@,MIA,L (-20),0,25,3,5,0.6,0,0,,0,0,,0,3,3,3,1,1,4,0,6,4.4,-3
16,27,28,17.0,2009-12-16,23,TOR,@,ORL,L (-19),0,14,4,8,0.5,0,0,,0,0,,0,1,1,1,2,0,1,2,8,5.2,-6
17,28,29,18.0,2009-12-18,23,TOR,,NJN,W (+23),0,23,5,8,0.625,0,0,,0,0,,1,3,4,4,0,0,1,6,10,7.4,16
18,29,30,19.0,2009-12-20,23,TOR,,NOH,W (+6),0,30,3,9,0.333,0,0,,1,4,0.25,2,3,5,5,1,1,0,2,7,7.4,11
19,30,31,20.0,2009-12-23,23,TOR,@,DET,W (+30),0,22,3,7,0.429,0,1,0.0,0,0,,1,7,8,3,1,1,2,1,6,6.5,23
20,31,32,21.0,2009-12-27,23,TOR,,DET,W (+7),0,11,3,5,0.6,0,0,,0,0,,1,1,2,1,1,1,0,3,6,5.9,4
21,32,33,22.0,2009-12-30,23,TOR,,CHA,W (+4),0,23,2,10,0.2,0,0,,5,6,0.833,1,1,2,3,1,2,1,3,9,5.7,3
22,33,34,23.0,2010-01-02,23,TOR,@,BOS,L (-7),0,13,2,5,0.4,0,0,,2,2,1.0,1,2,3,1,1,0,0,4,6,4.7,-12
23,34,35,24.0,2010-01-03,23,TOR,,SAS,W (+5),0,16,1,3,0.333,0,0,,0,0,,1,3,4,3,0,0,1,2,2,2.2,-3
24,35,36,25.0,2010-01-06,23,TOR,@,ORL,W (+5),0,11,2,2,1.0,0,0,,0,0,,0,1,1,0,0,0,0,1,4,3.3,-3
25,36,37,26.0,2010-01-08,23,TOR,@,PHI,W (+2),0,19,2,6,0.333,0,0,,0,0,,0,3,3,1,0,0,1,3,4,0.0,7
26,37,38,27.0,2010-01-10,23,TOR,,BOS,L (-7),0,8,0,1,0.0,0,0,,1,2,0.5,0,1,1,1,0,1,0,1,1,1.2,-2
27,38,39,28.0,2010-01-11,23,TOR,@,IND,L (-4),0,12,3,5,0.6,0,0,,1,3,0.333,0,3,3,1,0,0,0,3,7,4.3,8
28,39,40,29.0,2010-01-15,23,TOR,@,NYK,W (+8),0,24,3,5,0.6,0,0,,0,0,,0,2,2,1,0,0,0,2,6,4.2,10
29,40,41,30.0,2010-01-17,23,TOR,,DAL,W (+22),0,9,1,4,0.25,0,0,,0,0,,0,0,0,0,0,1,1,2,2,-1.5,5
30,42,43,31.0,2010-01-20,23,TOR,@,MIL,L (-6),0,6,1,2,0.5,0,0,,0,0,,1,1,2,0,0,0,0,0,2,2.0,4
32,45,46,33.0,2010-01-27,23,TOR,,MIA,W (+8),1,26,4,9,0.444,0,0,,2,3,0.667,1,0,1,3,0,0,1,2,10,5.9,9
33,46,47,34.0,2010-01-28,23,TOR,@,NYK,W (+2),1,19,3,4,0.75,0,0,,0,0,,3,1,4,1,1,0,3,0,6,5.5,-13
34,47,48,35.0,2010-01-31,23,TOR,,IND,W (+15),1,32,5,8,0.625,0,1,0.0,3,4,0.75,0,6,6,3,0,0,3,2,13,9.1,1
35,48,49,36.0,2010-02-02,23,TOR,@,IND,L (-15),1,24,0,3,0.0,0,0,,0,0,,2,0,2,1,0,0,3,3,0,-4.2,-17
36,49,50,37.0,2010-02-03,23,TOR,,NJN,W (+9),1,40,7,11,0.636,0,0,,0,0,,4,7,11,4,1,0,4,2,14,13.0,16
37,50,51,38.0,2010-02-07,23,TOR,,SAC,W (+11),0,12,2,4,0.5,0,0,,0,0,,0,1,1,0,2,1,0,0,4,5.0,2
38,51,52,39.0,2010-02-10,23,TOR,,PHI,W (+11),1,30,6,11,0.545,1,1,1.0,1,1,1.0,0,3,3,0,1,0,1,1,14,9.2,19
39,52,53,40.0,2010-02-17,23,TOR,,MEM,L (-7),0,27,5,7,0.714,0,0,,0,0,,0,2,2,3,0,0,0,3,10,8.6,18
40,53,54,41.0,2010-02-19,23,TOR,@,NJN,W (+17),0,5,0,1,0.0,0,0,,0,0,,0,0,0,0,0,0,1,1,0,-2.1,-1
41,54,55,42.0,2010-02-20,23,TOR,,WAS,W (+5),0,11,1,2,0.5,0,0,,2,2,1.0,0,1,1,0,0,0,1,0,4,2.3,3
42,55,56,43.0,2010-02-24,23,TOR,,POR,L (-14),0,13,1,3,0.333,0,0,,1,2,0.5,0,1,1,0,0,1,2,1,3,-0.5,-4
43,56,57,44.0,2010-02-26,23,TOR,,CLE,L (-8),0,16,5,7,0.714,0,0,,1,2,0.5,0,1,1,1,0,0,0,0,11,8.7,2
44,57,58,45.0,2010-02-28,23,TOR,@,OKC,L (-20),0,26,5,11,0.455,0,1,0.0,4,4,1.0,0,0,0,0,0,1,2,5,14,5.0,-5
45,58,59,46.0,2010-03-01,23,TOR,@,HOU,L (-24),0,23,4,8,0.5,0,0,,0,0,,0,1,1,0,1,0,1,1,8,3.9,-18
46,59,60,47.0,2010-03-05,23,TOR,,NYK,W (+6),0,28,9,16,0.563,0,0,,2,2,1.0,2,7,9,2,1,1,0,0,20,19.0,4
47,60,61,48.0,2010-03-07,23,TOR,,PHI,L (-13),1,25,5,7,0.714,0,0,,0,0,,0,3,3,1,0,0,3,4,10,4.1,-19
48,61,62,49.0,2010-03-09,23,TOR,@,LAL,L (-2),0,16,3,5,0.6,0,1,0.0,0,0,,0,1,1,2,0,0,0,3,6,4.2,-3
49,62,63,50.0,2010-03-10,23,TOR,@,SAC,L (-23),0,16,2,3,0.667,0,0,,0,0,,1,1,2,2,1,0,1,1,4,4.7,-2
50,63,64,51.0,2010-03-13,23,TOR,@,GSW,L (-12),0,22,5,10,0.5,0,1,0.0,0,0,,2,2,4,1,0,0,2,3,10,4.5,-5
51,64,65,52.0,2010-03-14,23,TOR,@,POR,L (-11),0,22,1,3,0.333,0,0,,0,0,,1,5,6,1,0,0,0,3,2,2.0,-8
52,65,66,53.0,2010-03-17,23,TOR,,ATL,W (+1),0,20,4,7,0.571,0,0,,0,0,,0,2,2,1,0,0,0,1,8,5.6,5
53,66,67,54.0,2010-03-19,23,TOR,,OKC,L (-26),0,30,4,8,0.5,0,0,,0,0,,0,3,3,3,1,0,2,4,8,4.4,-6
54,67,68,55.0,2010-03-20,23,TOR,@,NJN,W (+10),0,21,3,4,0.75,0,0,,0,0,,1,1,2,0,0,0,0,2,6,4.6,-1
55,68,69,56.0,2010-03-22,23,TOR,@,MIN,W (+6),0,22,6,8,0.75,0,0,,1,2,0.5,0,3,3,3,0,0,1,0,13,11.4,-2
56,69,70,57.0,2010-03-24,23,TOR,,UTA,L (-26),0,20,2,6,0.333,0,0,,2,4,0.5,1,5,6,2,0,2,2,0,6,4.8,-9
57,70,71,58.0,2010-03-26,23,TOR,,DEN,L (-1),1,27,5,8,0.625,0,0,,4,4,1.0,1,4,5,2,2,0,2,3,14,12.5,-1
58,71,72,59.0,2010-03-28,23,TOR,@,MIA,L (-3),1,20,3,6,0.5,0,0,,0,0,,1,1,2,0,1,0,1,2,6,3.2,5
59,72,73,60.0,2010-03-29,23,TOR,@,CHA,W (+2),1,17,3,5,0.6,0,0,,0,2,0.0,0,2,2,1,0,0,0,1,6,3.8,-2
60,73,74,61.0,2010-03-31,23,TOR,,LAC,W (+22),1,31,8,8,1.0,1,1,1.0,0,0,,1,4,5,4,1,1,3,2,17,17.2,27
61,74,75,62.0,2010-04-03,23,TOR,@,PHI,W (+5),1,25,9,11,0.818,0,0,,0,0,,1,4,5,2,1,1,0,1,18,18.5,-6
62,75,76,63.0,2010-04-04,23,TOR,,GSW,L (-1),1,33,2,11,0.182,0,0,,0,0,,1,4,5,2,3,1,1,3,4,1.9,-8
63,76,77,64.0,2010-04-06,23,TOR,@,CLE,L (-12),1,33,5,10,0.5,0,0,,0,0,,0,4,4,5,1,0,1,1,10,9.3,-7
64,77,78,65.0,2010-04-07,23,TOR,,BOS,L (-11),1,36,8,13,0.615,0,0,,5,5,1.0,1,4,5,3,1,1,1,4,21,18.2,-10
65,78,79,66.0,2010-04-09,23,TOR,@,ATL,L (-6),1,28,8,16,0.5,0,0,,2,3,0.667,1,2,3,0,0,0,2,3,18,7.7,-29
66,79,80,67.0,2010-04-11,23,TOR,,CHI,L (-16),1,37,9,22,0.409,0,1,0.0,0,0,,2,3,5,2,2,1,0,2,18,11.8,-12
67,80,81,68.0,2010-04-12,23,TOR,@,DET,W (+14),1,40,3,7,0.429,0,0,,0,0,,0,6,6,3,1,1,1,2,6,6.1,17
68,81,82,69.0,2010-04-14,23,TOR,,NYK,W (+18),1,33,9,12,0.75,0,0,,0,0,,0,5,5,4,3,0,2,4,18,16.9,5
69,82,1,1.0,2010-10-27,24,TOR,,NYK,L (-5),0,20,2,6,0.333,0,1,0.0,2,2,1.0,0,0,0,2,0,1,1,1,6,3.3,-1
70,83,2,2.0,2010-10-29,24,TOR,,CLE,W (+20),0,21,5,10,0.5,1,2,0.5,2,2,1.0,0,3,3,2,1,0,4,2,13,6.5,-1
71,84,3,3.0,2010-11-01,24,TOR,@,SAC,L (-3),0,18,3,10,0.3,0,0,,0,0,,1,2,3,2,1,0,0,2,6,3.1,-10
72,85,4,4.0,2010-11-03,24,TOR,@,UTA,L (-17),0,27,7,13,0.538,0,1,0.0,9,10,0.9,1,1,2,1,2,0,1,3,23,17.8,-12
73,86,5,5.0,2010-11-05,24,TOR,@,LAL,L (-5),0,6,2,5,0.4,0,0,,1,1,1.0,0,0,0,0,0,0,0,0,5,2.3,-1
74,88,7,6.0,2010-11-08,24,TOR,,GSW,L (-7),0,23,5,9,0.556,0,0,,2,2,1.0,1,5,6,2,2,0,2,2,12,10.5,-2
