,Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
2,3,4,3.0,2017-10-23,21,ATL,@,MIA,L (-11),0,5,0,0,,0,0,,0,0,,0,1,1,0,0,0,1,0,0,-0.7,-8
4,8,9,5.0,2017-11-03,21,ATL,,HOU,L (-15),0,18,3,6,0.5,2,4,0.5,2,2,1.0,0,1,1,0,0,0,3,1,10,3.9,0
5,12,13,6.0,2017-11-11,21,ATL,@,WAS,L (-19),0,7,0,1,0.0,0,0,,0,0,,0,0,0,1,0,0,0,0,0,0.0,3
6,19,20,7.0,2017-11-25,21,ATL,,TOR,L (-34),0,12,2,6,0.333,1,4,0.25,1,2,0.5,1,2,3,0,0,0,0,0,6,3.5,7
7,22,23,8.0,2017-12-04,21,ATL,,BRK,L (-20),0,5,1,1,1.0,1,1,1.0,0,0,,0,2,2,1,0,0,0,0,3,4.0,4
9,27,28,10.0,2017-12-14,21,ATL,,DET,L (-14),0,10,1,3,0.333,1,2,0.5,0,0,,0,0,0,0,1,1,1,0,3,2.0,7
11,37,38,12.0,2018-01-05,21,ATL,@,POR,L (-21),0,11,2,6,0.333,1,1,1.0,3,4,0.75,0,2,2,0,1,0,0,0,8,5.8,2
12,38,39,13.0,2018-01-07,21,ATL,@,LAL,L (-19),0,9,2,5,0.4,2,4,0.5,0,0,,0,1,1,2,0,0,0,1,6,4.6,-6
13,39,40,14.0,2018-01-08,21,ATL,@,LAC,L (-1),0,6,0,2,0.0,0,2,0.0,0,0,,1,1,2,0,0,0,0,1,0,-0.8,-1
14,40,41,15.0,2018-01-10,21,ATL,@,DEN,W (+13),0,11,0,3,0.0,0,1,0.0,0,0,,0,1,1,0,0,0,0,2,0,-2.6,11
15,41,42,16.0,2018-01-12,21,ATL,,BRK,L (-5),0,14,3,7,0.429,3,5,0.6,0,0,,1,1,2,0,0,0,1,2,9,4.5,-7
16,42,43,17.0,2018-01-15,21,ATL,,SAS,W (+3),0,14,2,4,0.5,1,2,0.5,0,0,,0,3,3,3,0,0,0,1,5,5.6,3
17,43,44,18.0,2018-01-17,21,ATL,,NOP,W (+1),0,6,0,3,0.0,0,2,0.0,0,0,,0,1,1,0,0,0,0,0,0,-1.8,-5
