,Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
0,0,1,1.0,2014-10-28,22,HOU,@,LAL,W (+18),0,24,1,2,0.5,0,0,,0,0,,0,2,2,0,0,0,0,4,2,0.0,4
1,1,2,2.0,2014-10-29,22,HOU,@,UTA,W (+11),0,16,1,5,0.2,0,0,,0,0,,0,2,2,0,1,0,0,1,2,0.1,4
3,5,6,4.0,2014-11-06,22,HOU,,SAS,W (+17),0,9,0,0,,0,0,,0,0,,1,2,3,0,0,0,2,3,0,-1.9,-14
4,6,7,5.0,2014-11-08,22,HOU,,GSW,L (-11),1,15,1,3,0.333,0,0,,0,2,0.0,3,2,5,0,0,0,0,1,2,1.8,-3
5,7,8,6.0,2014-11-12,22,HOU,@,MIN,W (+12),0,17,5,6,0.833,0,0,,0,0,,4,2,6,0,0,0,1,3,10,9.0,4
6,8,9,7.0,2014-11-14,22,HOU,,PHI,W (+1),0,7,0,1,0.0,0,0,,1,2,0.5,1,1,2,1,0,0,0,4,1,0.0,-5
7,9,10,8.0,2014-11-16,22,HOU,@,OKC,W (+4),0,13,1,3,0.333,0,0,,0,0,,4,4,8,0,0,0,2,2,2,1.5,0
8,10,11,9.0,2014-11-17,22,HOU,@,MEM,L (-26),0,20,4,5,0.8,0,0,,0,1,0.0,4,3,7,0,0,0,1,1,8,8.0,-14
9,11,12,10.0,2014-11-19,22,HOU,,LAL,L (-6),1,35,2,6,0.333,0,0,,1,2,0.5,3,6,9,1,1,0,1,2,5,5.0,11
10,12,13,11.0,2014-11-22,23,HOU,,DAL,W (+3),1,14,1,3,0.333,0,0,,1,2,0.5,2,5,7,0,0,0,2,3,3,0.6,2
11,13,14,12.0,2014-11-24,23,HOU,,NYK,W (+5),1,17,3,5,0.6,0,0,,1,2,0.5,2,3,5,0,1,0,1,1,7,6.2,-1
12,14,15,13.0,2014-11-26,23,HOU,,SAC,W (+13),1,15,1,1,1.0,0,0,,0,0,,3,3,6,1,0,0,0,3,2,4.2,3
13,15,16,14.0,2014-11-28,23,HOU,,LAC,L (-17),1,27,4,7,0.571,0,1,0.0,3,4,0.75,2,7,9,0,1,1,1,2,11,10.7,-9
14,16,17,15.0,2014-11-29,23,HOU,@,MIL,W (+14),1,21,4,6,0.667,0,0,,0,0,,3,2,5,1,0,0,0,3,8,7.6,8
15,17,18,16.0,2014-12-03,23,HOU,,MEM,W (+9),1,23,5,9,0.556,0,0,,0,0,,9,2,11,0,0,0,0,3,10,11.4,17
16,18,19,17.0,2014-12-05,23,HOU,@,MIN,W (+2),1,17,2,3,0.667,0,0,,2,4,0.5,0,4,4,1,0,0,3,3,6,1.6,8
17,19,20,18.0,2014-12-06,23,HOU,,PHO,W (+5),1,17,3,5,0.6,0,0,,0,0,,8,2,10,1,0,0,1,5,6,7.6,6
18,20,21,19.0,2014-12-10,23,HOU,@,GSW,L (-12),1,20,3,3,1.0,0,0,,0,0,,2,4,6,1,0,0,0,1,6,8.0,-2
19,21,22,20.0,2014-12-11,23,HOU,@,SAC,W (+4),1,16,2,5,0.4,0,0,,0,0,,1,4,5,1,0,0,1,4,4,1.3,1
