,Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
0,0,1,1.0,2019-10-22,22,TOR,,NOP,W (+8),0,15,2,6,0.333,1,3,0.333,0,0,,2,3,5,2,2,0,0,2,5,6.5,0
1,1,2,2.0,2019-10-25,22,TOR,@,BOS,L (-6),0,9,1,4,0.25,1,3,0.333,0,0,,0,2,2,0,0,0,0,3,3,0.0,1
2,2,3,3.0,2019-10-26,22,TOR,@,CHI,W (+24),0,12,0,1,0.0,0,0,,4,4,1.0,0,3,3,2,0,1,1,1,4,4.9,-6
5,5,6,6.0,2019-11-02,22,TOR,@,MIL,L (-10),0,9,1,2,0.5,0,0,,0,0,,1,1,2,0,1,0,0,1,2,2.6,6
6,6,7,7.0,2019-11-06,22,TOR,,SAC,W (+4),0,7,0,0,,0,0,,0,0,,0,1,1,1,0,0,1,5,0,-2.0,2
7,7,8,8.0,2019-11-08,22,TOR,@,NOP,W (+18),0,16,0,1,0.0,0,1,0.0,0,0,,0,1,1,1,1,0,1,2,0,-0.5,1
8,8,9,9.0,2019-11-10,22,TOR,@,LAL,W (+9),0,17,5,8,0.625,3,5,0.6,0,0,,1,4,5,3,0,0,1,1,13,12.0,13
9,9,10,10.0,2019-11-11,22,TOR,@,LAC,L (-10),0,17,2,4,0.5,1,2,0.5,0,0,,0,1,1,2,1,1,0,1,5,6.0,2
10,10,11,11.0,2019-11-13,22,TOR,@,POR,W (+8),0,31,5,10,0.5,3,6,0.5,2,2,1.0,0,6,6,1,0,0,1,2,15,10.7,19
11,11,12,12.0,2019-11-16,22,TOR,@,DAL,L (-8),0,16,1,6,0.167,0,3,0.0,0,0,,0,4,4,4,1,0,0,0,2,3.2,0
12,12,13,13.0,2019-11-18,22,TOR,,CHO,W (+36),0,21,5,7,0.714,4,5,0.8,2,2,1.0,0,1,1,7,1,0,2,5,16,15.3,11
13,13,14,14.0,2019-11-20,22,TOR,,ORL,W (+16),0,27,7,10,0.7,3,5,0.6,2,2,1.0,1,7,8,5,0,1,1,2,19,20.0,22
14,14,15,15.0,2019-11-23,22,TOR,@,ATL,W (+3),0,17,2,6,0.333,1,3,0.333,1,1,1.0,0,3,3,1,0,1,1,3,6,2.7,1
15,15,16,16.0,2019-11-25,22,TOR,,PHI,W (+5),0,21,5,8,0.625,1,4,0.25,0,0,,2,1,3,1,0,0,1,3,11,7.6,-9
16,16,17,17.0,2019-11-27,22,TOR,,NYK,W (+28),0,29,6,13,0.462,3,8,0.375,0,0,,3,1,4,5,0,0,0,3,15,13.0,24
17,17,18,18.0,2019-11-29,22,TOR,@,ORL,W (+7),0,15,2,4,0.5,0,1,0.0,0,0,,0,5,5,1,1,0,0,3,4,4.0,0
18,18,19,19.0,2019-12-01,22,TOR,,UTA,W (+20),0,23,5,7,0.714,2,3,0.667,1,2,0.5,1,3,4,3,0,1,3,1,13,10.7,12
19,19,20,20.0,2019-12-03,22,TOR,,MIA,L (-11),0,15,0,3,0.0,0,2,0.0,2,2,1.0,0,3,3,1,0,0,1,1,2,0.1,12
20,20,21,21.0,2019-12-05,22,TOR,,HOU,L (-10),0,14,2,6,0.333,2,5,0.4,0,0,,1,2,3,0,1,1,1,1,6,4.2,-13
