,Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
0,0,1,1.0,2011-12-26,29,TOR,@,CLE,W (+8),0,22,5,14,0.357,1,3,0.333,3,3,1.0,0,0,0,4,0,0,2,4,14,5.4,-6
1,1,2,2.0,2011-12-28,29,TOR,,IND,L (-5),0,20,4,9,0.444,0,1,0.0,1,1,1.0,2,0,2,0,0,0,1,1,9,4.3,-3
2,2,3,3.0,2011-12-30,29,TOR,@,DAL,L (-13),0,31,8,15,0.533,2,3,0.667,2,3,0.667,0,2,2,3,1,0,4,3,20,10.8,-8
3,3,4,4.0,2012-01-01,29,TOR,@,ORL,L (-6),0,27,3,8,0.375,0,1,0.0,3,4,0.75,0,2,2,1,0,0,4,6,9,-0.9,-17
4,4,5,5.0,2012-01-02,29,TOR,@,NYK,W (+5),0,13,2,5,0.4,0,1,0.0,6,7,0.857,0,4,4,0,0,0,1,1,10,6.7,11
5,5,6,6.0,2012-01-04,29,TOR,,CLE,W (+15),0,15,1,4,0.25,1,3,0.333,0,0,,0,0,0,1,0,0,0,2,3,0.5,-1
6,6,7,7.0,2012-01-06,29,TOR,,NJN,L (-12),0,15,1,5,0.2,0,1,0.0,0,0,,0,0,0,0,1,0,2,3,2,-3.3,-9
7,7,8,8.0,2012-01-07,29,TOR,@,PHI,L (-35),0,13,1,7,0.143,0,1,0.0,1,1,1.0,0,2,2,1,0,0,1,2,3,-2.0,-12
8,8,9,9.0,2012-01-09,29,TOR,,MIN,W (+10),0,21,2,7,0.286,0,2,0.0,9,9,1.0,2,1,3,1,2,0,3,3,13,9.1,4
9,9,10,10.0,2012-01-10,29,TOR,@,WAS,L (-15),0,21,5,11,0.455,2,5,0.4,0,0,,1,0,1,1,0,0,4,1,12,3.3,-6
10,10,11,11.0,2012-01-11,29,TOR,,SAC,L (-7),0,29,11,18,0.611,2,5,0.4,0,0,,0,1,1,2,1,0,2,3,24,15.3,-5
11,11,12,12.0,2012-01-13,29,TOR,,IND,L (-5),0,25,9,17,0.529,1,2,0.5,1,3,0.333,3,2,5,0,1,1,3,3,20,11.1,-2
12,12,13,13.0,2012-01-14,29,TOR,@,CHI,L (-13),0,34,7,20,0.35,1,2,0.5,0,1,0.0,2,4,6,1,0,0,0,0,15,6.7,-5
13,13,14,14.0,2012-01-16,29,TOR,@,ATL,L (-9),0,30,8,15,0.533,2,3,0.667,4,5,0.8,1,3,4,1,0,0,1,2,22,14.8,-1
14,14,15,15.0,2012-01-18,29,TOR,@,BOS,L (-23),0,21,3,7,0.429,0,2,0.0,0,0,,0,1,1,0,0,1,1,0,6,2.3,-4
15,15,16,16.0,2012-01-20,29,TOR,,POR,L (-10),0,27,5,16,0.313,1,5,0.2,6,8,0.75,1,0,1,2,2,0,1,2,17,9.3,-6
16,16,17,17.0,2012-01-22,29,TOR,@,LAC,L (-12),0,24,7,12,0.583,3,4,0.75,2,2,1.0,0,1,1,1,3,0,0,5,19,15.4,4
17,17,18,18.0,2012-01-24,29,TOR,@,PHO,W (+3),0,31,7,14,0.5,3,3,1.0,2,2,1.0,0,2,2,0,1,1,1,1,19,12.9,-1
18,18,19,19.0,2012-01-25,29,TOR,@,UTA,W (+5),0,26,6,9,0.667,0,0,,1,2,0.5,1,2,3,2,0,0,0,4,13,9.8,10
19,19,20,20.0,2012-01-27,29,TOR,@,DEN,L (-15),0,23,7,13,0.538,1,2,0.5,4,5,0.8,0,0,0,3,2,0,1,1,19,15.0,-8
20,21,22,21.0,2012-01-31,29,TOR,,ATL,L (-23),0,17,2,8,0.25,0,4,0.0,0,0,,0,3,3,0,0,0,3,3,4,-4.1,-11
21,22,23,22.0,2012-02-01,29,TOR,@,BOS,L (-36),0,21,2,9,0.222,0,1,0.0,0,0,,0,2,2,6,2,0,1,2,4,3.5,-11
22,23,24,23.0,2012-02-03,29,TOR,,WAS,W (+17),0,28,8,17,0.471,0,3,0.0,3,3,1.0,1,1,2,0,3,2,1,2,19,13.9,24
23,24,25,24.0,2012-02-05,29,TOR,@,MIA,L (-6),0,12,1,8,0.125,0,4,0.0,0,0,,0,0,0,3,0,0,2,2,2,-3.9,5
24,25,26,25.0,2012-02-06,29,TOR,@,WAS,L (-3),0,10,0,4,0.0,0,1,0.0,2,2,1.0,0,0,0,1,2,0,1,2,2,0.1,-8
25,26,27,26.0,2012-02-08,29,TOR,,MIL,L (-6),0,14,4,8,0.5,1,1,1.0,2,2,1.0,0,0,0,2,0,0,2,0,11,6.4,-4
26,27,28,27.0,2012-02-10,29,TOR,,BOS,W (+12),0,27,2,6,0.333,1,3,0.333,2,3,0.667,0,1,1,1,2,0,2,3,7,3.0,-9
27,28,29,28.0,2012-02-12,29,TOR,,LAL,L (-2),0,16,4,11,0.364,0,0,,4,4,1.0,0,0,0,0,2,0,1,1,12,6.5,3
28,29,30,29.0,2012-02-14,29,TOR,,NYK,L (-3),0,31,5,13,0.385,0,2,0.0,3,3,1.0,2,3,5,1,1,0,3,4,13,5.3,-7
29,30,31,30.0,2012-02-15,29,TOR,,SAS,L (-7),0,16,3,9,0.333,1,3,0.333,0,0,,0,2,2,2,0,0,2,1,7,1.5,1
30,31,32,31.0,2012-02-17,29,TOR,,CHA,L (-7),0,24,6,14,0.429,0,4,0.0,4,5,0.8,0,1,1,1,1,1,3,3,16,6.7,-8
31,32,33,32.0,2012-02-22,29,TOR,,DET,W (+10),0,21,7,14,0.5,1,2,0.5,2,2,1.0,1,1,2,4,2,0,2,0,17,13.8,2
32,33,34,33.0,2012-02-28,29,TOR,@,HOU,L (-3),0,26,5,9,0.556,1,3,0.333,0,0,,0,3,3,1,1,0,1,4,11,6.7,9
33,34,35,34.0,2012-02-29,29,TOR,@,NOH,W (+11),0,23,5,8,0.625,1,1,1.0,4,4,1.0,0,2,2,3,0,0,1,3,15,11.9,22
34,35,36,35.0,2012-03-02,29,TOR,,MEM,L (-3),0,20,6,9,0.667,1,3,0.333,0,0,,0,2,2,2,0,0,2,3,13,7.9,9
35,36,37,36.0,2012-03-04,29,TOR,,GSW,W (+8),0,32,7,16,0.438,3,5,0.6,1,2,0.5,0,0,0,1,1,0,1,1,18,9.5,7
