,Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
0,0,1,1.0,2018-10-17,20,ORL,,MIA,W (+3),0,25,6,8,0.75,1,2,0.5,0,2,0.0,4,3,7,0,0,2,0,1,13,13.7,13
1,1,2,2.0,2018-10-19,20,ORL,,CHO,L (-32),0,19,0,4,0.0,0,2,0.0,0,0,,0,5,5,2,0,1,1,0,0,-0.2,-20
2,2,3,3.0,2018-10-20,20,ORL,@,PHI,L (-1),0,14,2,4,0.5,1,2,0.5,0,0,,1,0,1,2,0,3,1,2,5,5.4,-25
3,3,4,4.0,2018-10-22,20,ORL,@,BOS,W (+3),0,19,0,3,0.0,0,2,0.0,0,0,,0,5,5,1,1,2,0,1,0,2.1,0
4,4,5,5.0,2018-10-25,20,ORL,,POR,L (-14),0,20,4,5,0.8,0,1,0.0,0,0,,2,5,7,2,0,1,1,1,8,9.7,-9
5,5,6,6.0,2018-10-27,20,ORL,@,MIL,L (-22),0,23,2,5,0.4,2,3,0.667,1,2,0.5,1,5,6,0,0,0,0,1,7,5.7,-17
6,6,7,7.0,2018-10-30,20,ORL,,SAC,L (-8),0,24,3,4,0.75,1,1,1.0,0,1,0.0,0,7,7,1,1,5,2,3,7,9.1,-1
7,7,8,8.0,2018-11-02,20,ORL,,LAC,L (-25),0,20,3,6,0.5,0,3,0.0,1,2,0.5,2,3,5,3,0,0,0,0,7,8.0,-20
8,8,9,9.0,2018-11-04,20,ORL,@,SAS,W (+7),0,16,6,11,0.545,0,1,0.0,0,0,,5,6,11,1,0,1,0,4,12,11.8,0
9,9,10,10.0,2018-11-05,20,ORL,,CLE,W (+2),0,21,3,7,0.429,0,2,0.0,0,0,,2,4,6,1,1,1,0,2,6,6.5,7
10,10,11,11.0,2018-11-07,20,ORL,,DET,L (-7),0,14,1,2,0.5,0,1,0.0,0,0,,0,2,2,0,0,2,3,2,2,-0.8,-16
11,11,12,12.0,2018-11-09,20,ORL,,WAS,W (+9),0,17,7,8,0.875,1,1,1.0,0,0,,2,0,2,3,0,2,1,5,15,14.1,-3
12,12,13,13.0,2018-11-11,20,ORL,@,NYK,W (+26),0,18,5,11,0.455,1,3,0.333,4,5,0.8,0,8,8,0,0,2,0,4,15,11.1,12
13,13,14,14.0,2018-11-12,20,ORL,@,WAS,L (-8),0,11,0,1,0.0,0,0,,0,0,,0,0,0,1,0,1,0,5,0,-1.3,-7
14,14,15,15.0,2018-11-14,20,ORL,,PHI,W (+5),0,9,2,6,0.333,0,1,0.0,0,0,,1,3,4,0,0,0,0,2,4,1.4,-16
15,15,16,16.0,2018-11-17,20,ORL,,LAL,W (+13),0,15,3,6,0.5,0,3,0.0,2,2,1.0,0,1,1,1,0,1,1,3,8,4.5,3
16,16,17,17.0,2018-11-18,20,ORL,,NYK,W (+14),0,16,2,6,0.333,0,2,0.0,0,0,,1,1,2,2,0,1,1,3,4,1.5,0
17,17,18,18.0,2018-11-20,20,ORL,,TOR,L (-2),0,14,2,3,0.667,1,2,0.5,2,2,1.0,3,2,5,1,1,0,1,0,7,9.1,-10
18,18,19,19.0,2018-11-23,20,ORL,@,DEN,L (-25),0,15,3,7,0.429,1,2,0.5,0,0,,0,2,2,2,0,0,1,3,7,3.1,-18
19,19,20,20.0,2018-11-25,20,ORL,@,LAL,W (+4),0,12,2,4,0.5,1,1,1.0,0,0,,1,3,4,0,2,1,0,2,5,6.5,-12
20,20,21,21.0,2018-11-26,20,ORL,@,GSW,L (-6),0,15,4,6,0.667,2,2,1.0,1,1,1.0,2,4,6,1,0,1,0,1,11,12.0,2
21,21,22,22.0,2018-11-28,20,ORL,@,POR,L (-3),0,19,3,6,0.5,1,2,0.5,1,1,1.0,1,2,3,0,0,2,0,2,8,6.9,2
22,22,23,23.0,2018-11-30,20,ORL,@,PHO,W (+14),0,16,1,5,0.2,0,1,0.0,0,0,,3,2,5,1,1,2,1,2,2,2.9,-1
23,23,24,24.0,2018-12-04,20,ORL,@,MIA,W (+15),0,15,2,4,0.5,0,0,,0,2,0.0,2,0,2,0,0,1,3,2,4,-0.5,-16
24,24,25,25.0,2018-12-05,20,ORL,,DEN,L (-6),0,16,4,6,0.667,3,3,1.0,0,0,,1,5,6,2,1,1,1,4,11,11.1,3
25,25,26,26.0,2018-12-07,20,ORL,,IND,L (-22),0,18,2,9,0.222,0,4,0.0,0,0,,1,6,7,1,0,1,0,1,4,2.0,-17
26,27,28,27.0,2018-12-13,20,ORL,,CHI,W (+6),0,15,3,6,0.5,1,2,0.5,1,2,0.5,2,4,6,2,0,1,1,1,8,7.9,9
27,28,29,28.0,2018-12-15,20,ORL,,UTA,W (+7),0,18,3,7,0.429,1,3,0.333,2,2,1.0,1,3,4,2,0,4,2,3,9,7.9,4
28,29,30,29.0,2018-12-19,20,ORL,,SAS,L (-39),1,26,2,7,0.286,0,3,0.0,3,6,0.5,3,5,8,2,2,2,1,3,7,7.9,-23
29,30,31,30.0,2018-12-21,20,ORL,@,CHI,L (-10),0,11,0,3,0.0,0,1,0.0,1,4,0.25,0,2,2,0,0,0,0,1,1,-2.1,-13
30,31,32,31.0,2018-12-23,20,ORL,,MIA,L (-24),0,15,2,4,0.5,0,0,,3,6,0.5,1,4,5,1,0,2,1,3,7,5.6,3
31,32,33,32.0,2018-12-26,20,ORL,,PHO,L (-2),0,14,1,5,0.2,0,2,0.0,0,0,,1,4,5,0,0,0,2,2,2,-2.0,-3
32,33,34,33.0,2018-12-28,20,ORL,,TOR,W (+29),0,11,3,5,0.6,0,0,,1,2,0.5,1,3,4,0,0,1,2,4,7,3.0,-7
33,34,35,34.0,2018-12-30,20,ORL,,DET,W (+2),0,14,2,7,0.286,0,3,0.0,0,0,,2,4,6,0,2,0,1,2,4,2.7,-3
34,35,36,35.0,2018-12-31,20,ORL,@,CHO,L (-25),0,18,2,5,0.4,0,1,0.0,1,2,0.5,3,9,12,0,0,2,0,5,5,6.1,-15
35,36,37,36.0,2019-01-02,20,ORL,@,CHI,W (+28),0,20,4,7,0.571,0,1,0.0,2,3,0.667,2,3,5,0,0,3,2,1,10,8.3,10
36,37,38,37.0,2019-01-04,20,ORL,@,MIN,L (-17),0,17,2,2,1.0,0,0,,1,3,0.333,0,3,3,0,0,3,0,3,5,5.4,-5
37,38,39,38.0,2019-01-06,20,ORL,@,LAC,L (-10),0,14,3,4,0.75,0,0,,2,3,0.667,3,7,10,0,0,2,3,2,8,7.8,-3
38,39,40,39.0,2019-01-07,20,ORL,@,SAC,L (-16),0,13,0,3,0.0,0,1,0.0,0,0,,0,5,5,0,0,0,1,2,0,-2.4,-17
39,44,45,40.0,2019-01-18,20,ORL,,BRK,L (-2),0,15,4,6,0.667,1,2,0.5,0,0,,0,4,4,1,0,1,2,1,9,6.6,11
40,45,46,41.0,2019-01-19,20,ORL,,MIL,L (-10),0,18,2,3,0.667,0,0,,1,3,0.333,1,5,6,1,0,1,1,0,5,5.5,-9
41,46,47,42.0,2019-01-21,20,ORL,@,ATL,W (+19),0,13,3,3,1.0,0,0,,2,2,1.0,1,1,2,0,1,1,2,1,8,7.4,11
42,47,48,43.0,2019-01-23,20,ORL,@,BRK,L (-4),0,15,2,4,0.5,1,2,0.5,2,2,1.0,2,4,6,0,0,2,1,2,7,7.2,-13
43,48,49,44.0,2019-01-25,20,ORL,,WAS,L (-4),0,17,3,5,0.6,0,0,,0,0,,2,7,9,2,0,3,1,0,6,9.7,5
44,49,50,45.0,2019-01-27,20,ORL,@,HOU,L (-5),0,14,0,2,0.0,0,0,,0,0,,0,0,0,0,0,0,1,3,0,-3.6,-8
45,50,51,46.0,2019-01-29,20,ORL,,OKC,L (-9),0,14,3,5,0.6,1,2,0.5,2,2,1.0,3,3,6,0,0,0,0,2,9,8.9,-16
46,51,52,47.0,2019-01-31,20,ORL,,IND,W (+7),0,13,1,3,0.333,0,0,,1,1,1.0,1,5,6,0,0,2,1,5,3,1.9,9
47,52,1,1.0,2019-10-23,21,ORL,,CLE,W (+9),0,14,3,5,0.6,1,3,0.333,0,0,,1,6,7,1,1,0,0,1,7,8.5,7
48,53,2,2.0,2019-10-26,21,ORL,@,ATL,L (-4),0,14,1,3,0.333,0,1,0.0,0,0,,1,4,5,0,0,1,1,0,2,1.9,2
49,54,3,3.0,2019-10-28,21,ORL,@,TOR,L (-9),0,13,2,7,0.286,1,2,0.5,0,0,,0,2,2,1,0,0,1,3,5,0.0,1
50,55,4,4.0,2019-10-30,21,ORL,,NYK,W (+12),0,14,4,7,0.571,1,2,0.5,0,0,,1,2,3,0,0,0,0,1,9,6.6,-12
