,Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
0,0,1,1.0,2009-10-28,22,NJN,@,MIN,L (-2),0,31,6,14,0.429,0,2,0.0,3,3,1.0,2,8,10,1,0,0,5,2,15,6.3,-2
1,1,2,2.0,2009-10-30,22,NJN,,ORL,L (-10),0,20,3,8,0.375,1,4,0.25,1,2,0.5,0,3,3,1,2,0,2,2,8,4.0,-7
2,2,3,3.0,2009-10-31,22,NJN,@,WAS,L (-19),0,28,3,12,0.25,2,3,0.667,1,2,0.5,1,2,3,2,0,0,0,1,9,3.7,-13
3,3,4,4.0,2009-11-02,22,NJN,@,CHA,L (-11),0,24,4,9,0.444,1,1,1.0,2,3,0.667,0,4,4,1,0,0,1,4,11,5.2,-10
4,4,5,5.0,2009-11-04,22,NJN,,DEN,L (-28),0,28,6,13,0.462,1,1,1.0,0,0,,2,4,6,1,1,0,2,1,13,8.2,-19
5,5,6,6.0,2009-11-06,22,NJN,@,PHI,L (-3),0,31,3,10,0.3,0,1,0.0,0,0,,0,2,2,9,0,0,2,1,6,4.7,-3
6,6,7,7.0,2009-11-07,22,NJN,,BOS,L (-10),0,30,4,14,0.286,0,1,0.0,0,3,0.0,1,8,9,2,1,0,4,2,8,-0.7,-11
7,7,8,8.0,2009-11-11,22,NJN,,PHI,L (-3),1,38,5,15,0.333,0,3,0.0,0,0,,0,12,12,2,0,0,2,4,10,2.9,-10
8,8,9,9.0,2009-11-13,22,NJN,@,ORL,L (-16),0,37,3,17,0.176,1,5,0.2,4,4,1.0,0,12,12,1,0,0,1,2,11,2.8,-9
9,9,10,10.0,2009-11-14,22,NJN,@,MIA,L (-1),1,27,3,11,0.273,2,4,0.5,0,2,0.0,0,3,3,2,0,0,1,1,8,1.6,6
10,10,11,11.0,2009-11-17,22,NJN,,IND,L (-8),1,23,3,7,0.429,0,2,0.0,1,2,0.5,0,2,2,0,0,0,2,1,7,1.1,-17
