,Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
0,0,1,1.0,2020-12-26,23,HOU,@,POR,L (-2),0,10,0,1,0.0,0,1,0.0,0,0,,1,2,3,3,0,0,1,3,0,0.5,4
1,1,2,2.0,2020-12-28,23,HOU,@,DEN,L (-13),0,8,1,3,0.333,0,2,0.0,3,5,0.6,0,0,0,1,0,0,2,2,5,0.4,0
3,5,15,4.0,2021-01-23,23,HOU,@,DAL,W (+25),0,5,1,2,0.5,1,2,0.5,2,2,1.0,0,1,1,0,1,1,1,0,5,5.0,7
4,6,29,5.0,2021-03-12,24,CLE,@,NOP,L (-34),0,5,1,2,0.5,1,1,1.0,0,0,,0,1,1,0,0,0,0,1,3,1.9,3
5,7,30,6.0,2021-03-14,24,CLE,@,ATL,L (-18),0,6,2,3,0.667,0,0,,2,2,1.0,0,0,0,0,0,0,0,0,6,4.7,3
6,10,33,7.0,2021-03-19,24,CLE,,SAS,L (-6),0,16,3,5,0.6,1,3,0.333,0,0,,0,0,0,3,1,0,0,2,7,7.0,16
8,13,36,9.0,2021-03-24,24,CLE,@,CHI,W (+9),0,11,2,5,0.4,1,2,0.5,0,0,,1,1,2,2,0,1,0,0,5,5.4,7
9,14,37,10.0,2021-03-26,24,CLE,@,LAL,L (-14),0,20,0,7,0.0,0,4,0.0,5,6,0.833,0,3,3,2,2,1,2,0,5,2.7,-5
10,15,38,11.0,2021-03-27,24,CLE,@,SAC,L (-2),1,31,2,8,0.25,1,3,0.333,2,2,1.0,0,1,1,1,2,2,0,2,7,5.8,8
11,16,39,12.0,2021-03-29,24,CLE,@,UTA,L (-39),0,27,1,5,0.2,0,3,0.0,3,4,0.75,0,4,4,0,1,0,1,4,5,1.1,-24
13,19,42,14.0,2021-04-05,24,CLE,@,SAS,W (+24),0,5,1,2,0.5,0,1,0.0,0,0,,1,1,2,0,0,0,2,1,2,-0.4,-8
19,29,52,20.0,2021-04-25,24,CLE,@,WAS,L (-9),0,5,0,1,0.0,0,1,0.0,0,0,,0,1,1,0,0,0,0,0,0,-0.4,0
20,30,53,21.0,2021-04-26,24,CLE,@,TOR,L (-16),0,16,3,5,0.6,3,4,0.75,0,0,,1,0,1,0,1,0,2,3,9,5.2,-1
21,31,54,22.0,2021-04-28,24,CLE,,ORL,L (-5),0,14,1,6,0.167,1,4,0.25,0,2,0.0,0,4,4,2,0,1,0,0,3,1.7,-4
22,32,55,23.0,2021-04-30,24,CLE,,WAS,L (-29),0,6,1,2,0.5,1,1,1.0,1,2,0.5,0,0,0,0,0,0,0,0,4,2.6,-3
23,33,56,24.0,2021-05-01,24,CLE,,MIA,L (-17),0,11,1,2,0.5,0,1,0.0,0,0,,1,0,1,2,0,1,3,2,2,0.0,-3
25,35,58,26.0,2021-05-05,24,CLE,,POR,L (-36),0,14,2,3,0.667,2,3,0.667,2,2,1.0,0,0,0,2,0,0,0,1,8,7.7,-13
26,36,59,27.0,2021-05-07,24,CLE,@,DAL,L (-20),0,24,2,3,0.667,1,2,0.5,0,0,,2,2,4,0,1,0,1,4,5,4.1,-8
27,37,60,28.0,2021-05-09,24,CLE,,DAL,L (-27),0,23,4,6,0.667,2,2,1.0,3,4,0.75,0,3,3,1,0,2,3,1,13,9.6,-19
28,38,61,29.0,2021-05-10,24,CLE,,IND,L (-9),0,34,2,8,0.25,0,4,0.0,1,2,0.5,0,6,6,3,1,1,1,4,5,2.8,-1
29,39,62,30.0,2021-05-12,24,CLE,,BOS,W (+8),0,34,2,7,0.286,0,3,0.0,1,2,0.5,0,10,10,3,0,0,0,2,5,4.8,7
30,40,63,31.0,2021-05-14,24,CLE,@,WAS,L (-15),0,23,3,8,0.375,0,3,0.0,0,0,,0,1,1,3,2,0,0,3,6,4.8,-25
31,41,64,32.0,2021-05-16,24,CLE,@,BRK,L (-14),0,31,4,8,0.5,1,5,0.2,5,9,0.556,1,3,4,0,3,0,0,2,14,12.2,6
