,Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
0,0,1,1.0,2018-10-17,20,ATL,@,NYK,L (-19),1,33,5,14,0.357,1,5,0.2,3,4,0.75,0,6,6,5,0,0,4,4,14,5.5,-20
1,1,2,2.0,2018-10-19,20,ATL,@,MEM,L (-14),1,33,7,18,0.389,4,9,0.444,2,3,0.667,1,1,2,9,1,1,3,2,20,15.0,-11
2,2,3,3.0,2018-10-21,20,ATL,@,CLE,W (+22),1,38,13,23,0.565,6,14,0.429,3,3,1.0,0,2,2,11,1,0,1,2,35,31.6,19
3,3,4,4.0,2018-10-24,20,ATL,,DAL,W (+7),1,26,3,12,0.25,1,3,0.333,10,13,0.769,1,3,4,5,0,1,5,4,17,7.8,-6
4,4,5,5.0,2018-10-27,20,ATL,,CHI,L (-12),1,30,3,12,0.25,0,6,0.0,7,9,0.778,1,2,3,4,2,0,5,0,13,6.1,-21
5,5,6,6.0,2018-10-29,20,ATL,@,PHI,L (-21),1,29,5,13,0.385,1,6,0.167,0,0,,0,2,2,8,0,0,0,1,11,9.7,-14
6,6,7,7.0,2018-10-30,20,ATL,@,CLE,L (-22),1,31,9,13,0.692,3,4,0.75,3,5,0.6,0,1,1,4,0,0,3,2,24,17.0,-29
7,7,8,8.0,2018-11-01,20,ATL,,SAC,L (-31),1,27,6,13,0.462,0,1,0.0,2,3,0.667,0,3,3,10,0,0,8,3,14,5.6,-11
8,8,9,9.0,2018-11-03,20,ATL,,MIA,W (+5),1,31,9,19,0.474,2,8,0.25,4,5,0.8,2,4,6,15,0,1,5,0,24,22.7,5
9,9,10,10.0,2018-11-06,20,ATL,@,CHO,L (-11),1,30,8,19,0.421,0,7,0.0,2,2,1.0,1,2,3,10,0,0,6,0,18,10.2,-15
10,10,11,11.0,2018-11-07,20,ATL,,NYK,L (-5),1,31,6,19,0.316,1,7,0.143,2,2,1.0,1,4,5,8,0,0,2,2,15,8.8,3
11,11,12,12.0,2018-11-09,20,ATL,,DET,L (-15),1,23,4,9,0.444,0,3,0.0,8,8,1.0,1,3,4,5,0,0,6,1,16,10.0,-18
12,12,13,13.0,2018-11-11,20,ATL,@,LAL,L (-1),1,35,8,18,0.444,4,8,0.5,0,0,,1,1,2,12,1,1,4,2,20,16.9,15
