,Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,2,3,2.0,2012-11-03,21,POR,@,HOU,W (+10),0,15,2,7,0.286,1,3,0.333,0,0,,1,3,4,1,1,1,2,1,5,2.5,-6
6,9,10,7.0,2012-11-18,21,POR,,CHI,W (+8),0,9,1,4,0.25,0,0,,0,0,,2,1,3,0,0,0,0,1,2,0.9,1
7,10,11,8.0,2012-11-21,21,POR,@,PHO,L (-27),0,6,0,3,0.0,0,1,0.0,2,2,1.0,0,2,2,0,0,0,0,0,2,0.5,-4
8,11,12,9.0,2012-11-23,21,POR,,MIN,W (+8),0,6,0,2,0.0,0,2,0.0,0,0,,0,1,1,1,0,0,1,1,0,-1.8,-5
9,12,13,10.0,2012-11-25,21,POR,@,BRK,L (-13),0,9,1,3,0.333,0,0,,0,0,,1,1,2,1,1,0,1,0,2,2.0,3
10,13,14,11.0,2012-11-26,21,POR,@,DET,L (-7),0,21,5,8,0.625,1,2,0.5,1,2,0.5,0,1,1,0,2,0,0,1,12,9.9,-3
11,14,15,12.0,2012-11-28,21,POR,@,WAS,L (-2),0,8,1,4,0.25,0,1,0.0,0,0,,1,1,2,0,0,0,0,0,2,0.6,-6
12,15,16,13.0,2012-11-30,21,POR,@,BOS,L (-18),0,17,1,5,0.2,0,1,0.0,1,2,0.5,1,2,3,4,2,0,3,1,3,2.2,-5
13,16,17,14.0,2012-12-01,21,POR,@,CLE,W (+1),0,13,3,5,0.6,1,3,0.333,0,0,,0,1,1,0,1,1,2,1,7,4.3,-14
14,17,18,15.0,2012-12-03,21,POR,@,CHA,W (+6),0,12,3,5,0.6,1,2,0.5,0,2,0.0,0,1,1,0,1,0,2,1,7,2.8,-8
15,18,19,16.0,2012-12-05,21,POR,@,IND,L (-7),0,14,0,3,0.0,0,2,0.0,0,0,,0,1,1,0,0,0,2,1,0,-4.2,-5
16,20,21,17.0,2012-12-10,21,POR,,TOR,W (+18),0,12,0,1,0.0,0,0,,0,0,,0,0,0,0,0,0,0,1,0,-1.1,-8
17,21,22,18.0,2012-12-13,21,POR,,SAS,W (+8),0,6,1,2,0.5,0,1,0.0,0,0,,0,0,0,0,0,0,0,0,2,1.0,-2
18,22,23,19.0,2012-12-16,21,POR,,NOH,W (+1),0,7,1,6,0.167,0,1,0.0,0,0,,2,0,2,1,0,0,0,0,2,0.3,5
21,25,26,22.0,2012-12-23,21,POR,@,SAC,L (-12),0,21,3,6,0.5,1,2,0.5,0,0,,2,3,5,3,1,0,1,2,7,7.6,-1
22,26,27,23.0,2012-12-26,21,POR,,SAC,W (+18),0,26,6,9,0.667,0,1,0.0,2,2,1.0,1,0,1,1,0,0,1,1,14,10.1,6
23,27,28,24.0,2012-12-28,21,POR,@,LAL,L (-17),0,24,5,10,0.5,0,1,0.0,1,2,0.5,0,6,6,0,1,2,0,4,11,8.2,-2
24,28,29,25.0,2012-12-29,21,POR,,PHI,W (+4),0,17,0,4,0.0,0,1,0.0,0,0,,0,2,2,1,0,0,1,1,0,-2.9,9
25,29,30,26.0,2013-01-01,21,POR,@,NYK,W (+5),0,5,0,1,0.0,0,1,0.0,0,0,,0,0,0,0,0,0,0,0,0,-0.7,3
26,30,31,27.0,2013-01-02,21,POR,@,TOR,L (-23),0,9,0,1,0.0,0,0,,0,0,,0,0,0,1,0,0,2,0,0,-2.0,-11
27,31,32,28.0,2013-01-04,21,POR,@,MEM,W (+2),0,10,2,3,0.667,0,1,0.0,0,0,,1,0,1,1,0,0,0,0,4,4.1,-8
28,35,36,29.0,2013-01-11,22,POR,@,GSW,L (-6),0,8,0,1,0.0,0,1,0.0,0,0,,0,0,0,1,0,0,0,0,0,0.0,-9
29,36,37,30.0,2013-01-13,22,POR,,OKC,L (-4),0,9,1,3,0.333,0,0,,0,0,,0,1,1,0,0,1,0,1,2,0.9,2
30,37,38,31.0,2013-01-15,22,POR,@,DEN,L (-4),0,17,3,7,0.429,0,2,0.0,1,2,0.5,1,2,3,1,0,0,1,2,7,3.1,-2
31,38,39,32.0,2013-01-16,22,POR,,CLE,L (-5),0,15,0,4,0.0,0,1,0.0,1,2,0.5,1,1,2,1,1,0,0,1,1,0.1,-6
32,39,40,33.0,2013-01-19,22,POR,,MIL,L (-6),0,6,1,1,1.0,0,0,,0,1,0.0,0,0,0,0,0,0,1,1,2,-0.1,1
33,40,41,34.0,2013-01-21,22,POR,,WAS,L (-3),0,11,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,6
34,41,42,35.0,2013-01-23,22,POR,,IND,W (+20),0,21,3,7,0.429,0,0,,2,2,1.0,1,3,4,1,0,1,2,0,8,5.3,18
35,42,43,36.0,2013-01-26,22,POR,,LAC,W (+1),0,16,2,4,0.5,1,2,0.5,0,0,,0,3,3,0,1,0,1,1,5,3.5,3
36,43,44,37.0,2013-01-27,22,POR,@,LAC,L (-13),0,15,2,5,0.4,0,1,0.0,4,4,1.0,1,2,3,0,2,1,2,1,8,6.9,-4
37,44,45,38.0,2013-01-29,22,POR,,DAL,W (+2),0,6,1,2,0.5,0,0,,0,0,,2,1,3,0,0,0,2,2,2,-0.1,-9
38,45,46,39.0,2013-02-01,22,POR,@,UTA,L (-9),0,6,1,2,0.5,0,0,,0,0,,1,1,2,0,0,0,0,1,2,1.6,-2
39,46,47,40.0,2013-02-02,22,POR,,UTA,W (+6),0,16,3,6,0.5,0,1,0.0,1,2,0.5,0,3,3,2,0,1,0,0,7,6.6,3
40,47,48,41.0,2013-02-04,22,POR,@,MIN,W (+2),0,6,1,4,0.25,0,1,0.0,0,0,,1,0,1,0,0,0,0,0,2,0.3,-5
41,48,49,42.0,2013-02-06,22,POR,@,DAL,L (-6),0,9,1,3,0.333,0,0,,0,0,,0,1,1,0,0,0,0,0,2,0.6,-1
42,49,50,43.0,2013-02-08,22,POR,@,HOU,L (-15),0,8,0,1,0.0,0,1,0.0,1,2,0.5,0,1,1,1,0,0,0,0,1,0.9,2
43,50,51,44.0,2013-02-10,22,POR,@,ORL,L (-6),0,7,1,2,0.5,0,0,,0,0,,0,0,0,0,1,0,0,0,2,2.0,-2
44,52,53,45.0,2013-02-13,22,POR,@,NOH,L (-36),0,26,4,12,0.333,0,2,0.0,1,1,1.0,0,4,4,1,0,0,3,1,9,0.7,-27
45,53,54,46.0,2013-02-19,22,POR,,PHO,L (-4),0,7,1,4,0.25,0,1,0.0,0,0,,0,0,0,1,2,0,0,0,2,2.3,-4
46,54,55,47.0,2013-02-22,22,POR,@,LAL,L (-4),0,19,2,7,0.286,0,1,0.0,1,1,1.0,0,5,5,0,0,0,1,0,5,1.4,-4
47,55,56,48.0,2013-02-24,22,POR,,BOS,W (+6),0,7,1,2,0.5,0,0,,0,0,,0,1,1,0,0,0,1,1,2,-0.1,-1
49,57,58,50.0,2013-03-02,22,POR,,MIN,W (+15),0,16,0,7,0.0,0,2,0.0,0,0,,1,0,1,1,1,0,0,2,0,-3.3,-4
51,59,60,52.0,2013-03-06,22,POR,@,MEM,L (-6),0,5,0,0,,0,0,,1,2,0.5,0,0,0,0,0,0,1,0,1,-0.4,4
53,61,62,54.0,2013-03-10,22,POR,@,NOH,L (-2),0,10,2,4,0.5,0,0,,0,0,,0,1,1,1,0,0,0,0,4,3.0,-7
54,62,63,55.0,2013-03-12,22,POR,,MEM,L (-5),0,11,1,3,0.333,0,1,0.0,1,2,0.5,1,0,1,1,0,0,0,1,3,1.9,-6
55,63,64,56.0,2013-03-14,22,POR,,NYK,W (+15),0,10,3,4,0.75,0,1,0.0,1,1,1.0,0,4,4,1,0,0,1,1,7,5.9,-7
56,64,65,57.0,2013-03-16,22,POR,,DET,W (+11),0,10,1,3,0.333,0,0,,0,0,,1,1,2,1,1,0,0,2,2,2.2,0
57,65,66,58.0,2013-03-18,22,POR,@,PHI,L (-1),0,5,0,1,0.0,0,1,0.0,0,0,,0,2,2,0,0,0,1,0,0,-1.1,-6
