,Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
0,0,1,1.0,2012-10-30,22,CLE,,WAS,W (+10),0,15,2,4,0.5,0,0,,1,2,0.5,0,2,2,0,1,1,0,2,5,4.1,4
1,1,2,2.0,2012-11-02,22,CLE,,CHI,L (-29),0,14,3,5,0.6,0,0,,2,5,0.4,2,0,2,0,2,0,1,4,8,5.3,-7
2,2,3,3.0,2012-11-03,22,CLE,@,MIL,L (-3),0,21,1,5,0.2,0,0,,0,2,0.0,2,5,7,1,0,0,0,1,2,1.3,-18
3,3,4,4.0,2012-11-05,22,CLE,@,LAC,W (+7),0,24,6,10,0.6,0,0,,3,6,0.5,4,3,7,2,1,0,3,3,15,11.1,1
4,8,9,5.0,2012-11-17,22,CLE,,DAL,L (-8),0,26,1,4,0.25,0,0,,1,2,0.5,0,2,2,1,0,1,2,2,3,-0.6,-10
5,9,10,6.0,2012-11-18,22,CLE,@,PHI,L (-7),0,28,3,5,0.6,0,0,,0,0,,3,4,7,1,1,1,1,4,6,6.8,-5
6,10,11,7.0,2012-11-21,22,CLE,,PHI,W (+9),0,21,1,7,0.143,0,0,,0,0,,3,3,6,1,0,0,1,3,2,-1.0,3
7,11,12,8.0,2012-11-23,22,CLE,@,ORL,L (-4),0,30,4,9,0.444,0,0,,5,8,0.625,3,6,9,0,1,0,1,5,13,9.0,-5
8,12,13,9.0,2012-11-24,22,CLE,@,MIA,L (-2),0,21,2,6,0.333,0,0,,1,2,0.5,2,0,2,1,0,0,1,3,5,1.1,4
9,13,14,10.0,2012-11-26,22,CLE,@,MEM,L (-6),0,13,0,1,0.0,0,0,,0,0,,0,4,4,0,0,0,1,5,0,-2.5,5
10,14,15,11.0,2012-11-27,22,CLE,,PHO,L (-13),0,20,1,4,0.25,0,0,,0,0,,0,2,2,0,0,0,0,2,2,-0.6,-17
11,15,16,12.0,2012-11-30,22,CLE,@,ATL,W (+2),0,25,4,6,0.667,0,0,,2,2,1.0,2,1,3,2,0,2,2,4,10,8.3,10
12,16,17,13.0,2012-12-01,22,CLE,,POR,L (-1),0,31,6,11,0.545,0,0,,2,2,1.0,4,6,10,2,0,2,1,1,14,14.7,10
13,17,18,14.0,2012-12-03,22,CLE,@,DET,L (-10),0,20,4,8,0.5,0,0,,0,0,,2,2,4,1,0,1,3,3,8,3.2,-5
14,18,19,15.0,2012-12-05,22,CLE,,CHI,L (-10),0,25,4,12,0.333,0,0,,2,2,1.0,3,4,7,0,1,0,1,2,10,5.7,-1
15,19,20,16.0,2012-12-07,22,CLE,@,MIN,L (-18),0,15,2,6,0.333,0,0,,1,1,1.0,4,3,7,2,1,0,0,5,5,5.7,0
16,20,21,17.0,2012-12-08,22,CLE,,DET,L (-7),0,29,6,11,0.545,0,1,0.0,1,2,0.5,5,3,8,0,0,3,2,3,13,10.6,-9
17,21,22,18.0,2012-12-11,22,CLE,,LAL,W (+6),0,27,2,6,0.333,0,0,,2,2,1.0,1,5,6,3,2,0,0,3,6,7.7,2
18,22,23,19.0,2012-12-12,22,CLE,@,IND,L (-15),0,17,3,3,1.0,0,0,,2,2,1.0,2,1,3,0,0,0,0,6,8,6.4,-14
19,23,24,20.0,2012-12-14,22,CLE,,MIL,L (-4),0,32,2,7,0.286,0,0,,2,2,1.0,0,3,3,1,1,2,4,2,6,1.1,7
20,24,25,21.0,2012-12-15,22,CLE,@,NYK,L (-1),0,15,4,5,0.8,0,0,,0,0,,2,4,6,0,0,0,2,3,8,5.5,-6
21,25,26,22.0,2012-12-18,22,CLE,,TOR,L (-14),0,16,1,2,0.5,0,0,,0,0,,0,2,2,0,1,0,1,1,2,1.2,-11
22,26,27,23.0,2012-12-19,22,CLE,@,BOS,L (-12),1,36,9,15,0.6,0,0,,2,3,0.667,2,1,3,2,1,0,0,3,20,15.6,-17
23,27,28,24.0,2012-12-21,22,CLE,,IND,L (-10),1,35,5,13,0.385,0,0,,2,2,1.0,1,6,7,1,0,2,3,3,12,5.3,-13
24,28,29,25.0,2012-12-22,22,CLE,@,MIL,W (+12),1,34,4,14,0.286,0,0,,3,3,1.0,4,6,10,0,1,0,0,6,11,6.0,-2
25,29,30,26.0,2012-12-26,22,CLE,@,WAS,W (+3),1,36,3,10,0.3,0,0,,0,0,,3,4,7,2,1,2,4,3,6,2.1,9
26,30,31,27.0,2012-12-28,22,CLE,,ATL,L (-8),1,37,5,11,0.455,0,0,,2,2,1.0,3,4,7,1,1,1,4,5,12,6.0,-16
27,31,32,28.0,2012-12-29,22,CLE,@,BRK,L (-3),1,27,6,14,0.429,0,0,,0,0,,4,3,7,1,0,0,2,6,12,4.6,-20
28,32,33,29.0,2013-01-02,22,CLE,,SAC,L (-3),1,36,3,7,0.429,0,0,,2,2,1.0,3,5,8,0,0,2,3,2,8,5.5,-5
29,33,34,30.0,2013-01-04,22,CLE,@,CHA,W (+2),1,30,3,8,0.375,0,0,,3,6,0.5,1,4,5,2,0,3,1,4,9,6.2,-2
30,34,35,31.0,2013-01-05,22,CLE,,HOU,L (-8),1,37,4,9,0.444,0,0,,4,4,1.0,1,4,5,5,3,1,0,3,12,15.2,0
31,35,36,32.0,2013-01-07,22,CLE,@,CHI,L (-26),1,35,2,8,0.25,0,0,,2,4,0.5,2,4,6,3,0,2,2,3,6,3.3,-25
32,36,37,33.0,2013-01-09,22,CLE,,ATL,W (+16),1,37,3,8,0.375,0,0,,5,6,0.833,2,10,12,3,0,0,2,3,11,9.5,9
33,37,38,34.0,2013-01-11,22,CLE,@,DEN,L (-7),1,33,1,6,0.167,0,0,,0,0,,3,5,8,1,2,3,2,4,2,3.0,-12
