,Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
0,0,45,1.0,2020-01-22,19,NOP,,SAS,L (-4),1,18,8,11,0.727,4,4,1.0,2,4,0.5,2,5,7,3,0,0,5,1,22,16.3,3
1,1,46,2.0,2020-01-24,19,NOP,,DEN,L (-7),1,21,7,9,0.778,0,1,0.0,1,4,0.25,1,5,6,0,1,1,1,1,15,12.8,16
2,2,47,3.0,2020-01-26,19,NOP,,BOS,W (+15),1,27,9,16,0.563,0,1,0.0,3,8,0.375,7,4,11,2,1,0,4,4,21,14.3,2
3,3,48,4.0,2020-01-28,19,NOP,@,CLE,W (+14),1,30,7,13,0.538,0,0,,0,1,0.0,2,7,9,1,0,0,0,1,14,11.1,5
4,4,49,5.0,2020-01-31,19,NOP,,MEM,W (+28),1,29,9,15,0.6,0,0,,6,8,0.75,4,2,6,3,0,0,1,2,24,20.0,25
5,5,50,6.0,2020-02-02,19,NOP,@,HOU,L (-8),1,33,8,14,0.571,0,0,,5,7,0.714,5,5,10,1,1,1,3,2,21,17.2,3
6,6,51,7.0,2020-02-04,19,NOP,,MIL,L (-12),1,32,5,19,0.263,0,3,0.0,10,14,0.714,4,3,7,5,1,0,4,3,20,10.1,-11
7,7,52,8.0,2020-02-06,19,NOP,@,CHI,W (+6),1,25,9,11,0.818,0,0,,3,5,0.6,1,3,4,1,2,1,5,0,21,16.1,11
8,9,54,9.0,2020-02-11,19,NOP,,POR,W (+21),1,28,10,17,0.588,0,1,0.0,11,14,0.786,6,3,9,5,1,0,2,1,31,29.1,25
9,10,55,10.0,2020-02-13,19,NOP,,OKC,L (-5),1,31,11,19,0.579,0,1,0.0,10,13,0.769,3,3,6,1,0,1,3,2,32,22.5,-5
10,11,56,11.0,2020-02-21,19,NOP,@,POR,W (+13),1,29,10,17,0.588,0,0,,5,10,0.5,1,3,4,3,1,0,0,1,25,19.4,0
11,12,57,12.0,2020-02-23,19,NOP,@,GSW,W (+14),1,33,13,20,0.65,1,1,1.0,1,6,0.167,6,1,7,2,0,1,1,1,28,22.4,20
12,13,58,13.0,2020-02-25,19,NOP,@,LAL,L (-9),1,33,8,18,0.444,0,0,,13,19,0.684,2,4,6,3,1,0,3,2,29,19.1,-7
13,14,59,14.0,2020-02-28,19,NOP,,CLE,W (+12),1,30,11,16,0.688,0,0,,2,2,1.0,1,2,3,2,2,0,4,2,24,17.1,21
14,15,60,15.0,2020-03-01,19,NOP,,LAL,L (-8),1,33,12,16,0.75,0,0,,11,13,0.846,2,5,7,0,0,0,6,2,35,23.9,-10
15,16,61,16.0,2020-03-03,19,NOP,,MIN,L (-5),1,33,10,19,0.526,0,0,,5,9,0.556,3,5,8,3,4,1,1,4,25,21.9,0
16,17,62,17.0,2020-03-04,19,NOP,@,DAL,L (-4),1,35,9,18,0.5,0,0,,3,5,0.6,2,4,6,3,0,0,2,2,21,13.1,1
17,18,63,18.0,2020-03-06,19,NOP,,MIA,W (+6),1,32,7,9,0.778,0,0,,3,4,0.75,2,4,6,2,1,2,3,1,17,16.1,1
18,19,64,19.0,2020-03-08,19,NOP,@,MIN,W (+13),1,32,9,15,0.6,1,1,1.0,4,6,0.667,1,6,7,1,0,1,3,0,23,16.2,20
19,20,65,20.0,2020-07-30,20,NOP,,UTA,L (-2),1,15,6,8,0.75,0,0,,1,1,1.0,0,0,0,1,0,0,2,3,13,7.3,-16
20,21,66,21.0,2020-08-01,20,NOP,@,LAC,L (-23),1,14,3,7,0.429,0,0,,1,2,0.5,1,4,5,0,0,0,3,2,7,1.0,-17
21,22,67,22.0,2020-08-03,20,NOP,,MEM,W (+10),1,25,9,21,0.429,0,1,0.0,5,10,0.5,3,4,7,5,0,0,2,2,23,13.9,8
22,23,68,23.0,2020-08-06,20,NOP,@,SAC,L (-15),1,22,10,12,0.833,0,0,,4,7,0.571,0,2,2,2,0,0,0,0,24,20.4,-12
23,25,70,24.0,2020-08-09,20,NOP,,SAS,L (-9),1,27,10,20,0.5,0,0,,5,6,0.833,5,2,7,1,0,0,1,3,25,17.2,-21
24,26,1,1.0,2020-12-23,20,NOP,@,TOR,W (+14),1,30,7,9,0.778,0,0,,1,4,0.25,4,6,10,3,1,1,6,3,15,11.5,6
25,27,2,2.0,2020-12-25,20,NOP,@,MIA,L (-13),1,38,11,20,0.55,0,1,0.0,10,15,0.667,4,10,14,1,1,0,3,1,32,24.5,-13
26,28,3,3.0,2020-12-27,20,NOP,,SAS,W (+3),1,38,7,22,0.318,0,1,0.0,4,7,0.571,5,6,11,0,5,1,1,3,18,13.0,-1
27,29,4,4.0,2020-12-29,20,NOP,@,PHO,L (-25),1,29,9,13,0.692,0,0,,2,6,0.333,1,1,2,0,1,0,1,1,20,13.5,-27
28,30,5,5.0,2020-12-31,20,NOP,@,OKC,W (+33),1,17,4,6,0.667,0,0,,4,6,0.667,4,1,5,1,0,0,3,4,12,7.8,8
29,31,6,6.0,2021-01-02,20,NOP,,TOR,W (+4),1,33,7,12,0.583,0,0,,7,10,0.7,2,5,7,1,0,1,3,2,21,14.7,8
30,32,7,7.0,2021-01-04,20,NOP,,IND,L (-2),1,35,9,19,0.474,0,0,,6,8,0.75,4,6,10,2,1,1,3,2,24,17.4,18
31,33,8,8.0,2021-01-06,20,NOP,,OKC,L (-1),1,32,12,17,0.706,0,0,,5,6,0.833,3,3,6,1,3,0,2,3,29,25.0,-9
32,34,9,9.0,2021-01-08,20,NOP,,CHO,L (-8),1,34,12,22,0.545,0,0,,2,4,0.5,6,2,8,3,0,0,3,1,26,18.1,-4
33,36,11,10.0,2021-01-15,20,NOP,@,LAL,L (-17),1,34,9,19,0.474,0,0,,3,6,0.5,3,9,12,4,0,1,4,3,21,13.2,-15
34,37,12,11.0,2021-01-17,20,NOP,@,SAC,W (+5),1,35,13,15,0.867,0,0,,5,5,1.0,1,5,6,2,0,0,2,4,31,25.7,14
35,38,13,12.0,2021-01-19,20,NOP,@,UTA,L (-16),1,35,14,19,0.737,0,1,0.0,4,6,0.667,1,4,5,3,1,0,2,4,32,24.9,-8
36,39,14,13.0,2021-01-21,20,NOP,@,UTA,L (-11),1,34,9,14,0.643,1,1,1.0,8,10,0.8,3,0,3,2,0,0,1,0,27,22.5,-21
37,40,15,14.0,2021-01-23,20,NOP,@,MIN,L (-10),1,38,6,16,0.375,0,1,0.0,7,9,0.778,4,7,11,3,1,1,2,3,19,14.9,-4
38,41,16,15.0,2021-01-27,20,NOP,,WAS,W (+18),1,33,12,16,0.75,0,1,0.0,8,11,0.727,1,1,2,2,2,1,2,3,32,26.3,4
39,42,17,16.0,2021-01-29,20,NOP,,MIL,W (+5),1,34,7,13,0.538,0,0,,7,10,0.7,1,8,9,7,1,1,2,2,21,20.4,10
40,43,18,17.0,2021-01-30,20,NOP,,HOU,L (-14),1,29,11,19,0.579,1,2,0.5,3,6,0.5,2,5,7,4,0,1,4,3,26,17.1,-14
41,44,19,18.0,2021-02-01,20,NOP,,SAC,L (-9),1,31,6,13,0.462,1,2,0.5,4,4,1.0,2,6,8,2,2,3,4,3,17,13.8,-13
42,45,20,19.0,2021-02-03,20,NOP,,PHO,W (+22),1,32,12,14,0.857,1,1,1.0,3,4,0.75,3,4,7,6,1,0,0,2,28,30.3,37
43,46,21,20.0,2021-02-05,20,NOP,@,IND,W (+1),1,31,6,12,0.5,0,0,,6,9,0.667,1,3,4,5,0,3,3,4,18,13.4,12
44,47,22,21.0,2021-02-06,20,NOP,,MEM,W (+9),1,33,10,14,0.714,0,0,,9,11,0.818,0,4,4,5,0,2,2,4,29,24.9,14
45,48,23,22.0,2021-02-09,20,NOP,,HOU,W (+29),1,21,6,10,0.6,0,0,,8,10,0.8,3,2,5,7,1,0,1,4,20,20.6,29
46,49,24,23.0,2021-02-10,20,NOP,@,CHI,L (-13),1,37,12,18,0.667,0,1,0.0,5,6,0.833,1,3,4,2,1,0,2,3,29,21.6,-7
47,50,25,24.0,2021-02-12,20,NOP,@,DAL,L (-13),1,37,14,15,0.933,0,1,0.0,8,11,0.727,0,2,2,4,2,0,1,2,36,33.5,-12
48,51,26,25.0,2021-02-14,20,NOP,@,DET,L (-11),1,36,10,20,0.5,0,0,,6,6,1.0,3,5,8,3,0,2,1,2,26,21.3,-12
49,52,27,26.0,2021-02-16,20,NOP,@,MEM,W (+31),1,28,13,16,0.813,1,1,1.0,4,4,1.0,0,7,7,6,2,0,3,2,31,29.5,12
50,53,28,27.0,2021-02-17,20,NOP,,POR,L (-2),1,34,12,18,0.667,1,2,0.5,11,15,0.733,3,3,6,4,2,0,1,2,36,32.6,-4
51,54,29,28.0,2021-02-19,20,NOP,,PHO,L (-18),1,31,8,11,0.727,0,0,,7,10,0.7,1,4,5,4,0,0,5,1,23,16.6,-4
52,55,30,29.0,2021-02-21,20,NOP,,BOS,W (+5),1,40,11,21,0.524,0,1,0.0,6,10,0.6,5,5,10,4,0,1,3,2,28,20.8,0
53,56,31,30.0,2021-02-24,20,NOP,,DET,W (+10),1,31,13,18,0.722,0,0,,6,9,0.667,1,5,6,5,0,1,0,0,32,29.8,3
54,57,32,31.0,2021-02-25,20,NOP,@,MIL,L (-4),1,37,15,26,0.577,0,2,0.0,4,5,0.8,4,4,8,6,1,1,5,3,34,25.1,-11
55,58,33,32.0,2021-02-27,20,NOP,@,SAS,L (-3),1,35,8,15,0.533,0,0,,7,11,0.636,8,6,14,5,0,1,4,1,23,21.3,4
56,59,34,33.0,2021-03-01,20,NOP,,UTA,W (+5),1,34,10,17,0.588,0,0,,6,9,0.667,5,5,10,5,1,0,6,2,26,19.6,2
57,60,35,34.0,2021-03-03,20,NOP,,CHI,L (-4),1,38,10,17,0.588,0,0,,8,16,0.5,4,5,9,5,2,1,3,3,28,23.2,0
58,62,37,35.0,2021-03-11,20,NOP,,MIN,L (-30),1,31,9,13,0.692,0,0,,6,11,0.545,2,3,5,2,0,0,3,3,24,16.0,-29
59,63,38,36.0,2021-03-12,20,NOP,,CLE,W (+34),1,18,9,16,0.563,0,0,,5,6,0.833,4,2,6,0,0,1,0,2,23,18.3,11
60,64,39,37.0,2021-03-14,20,NOP,,LAC,W (+20),1,32,13,16,0.813,0,0,,1,2,0.5,0,2,2,5,0,0,2,1,27,22.3,24
61,65,40,38.0,2021-03-16,20,NOP,@,POR,L (-1),1,33,11,17,0.647,0,0,,6,6,1.0,3,2,5,8,1,0,2,2,28,27.0,-3
62,66,41,39.0,2021-03-18,20,NOP,@,POR,L (-8),1,36,9,17,0.529,0,0,,8,11,0.727,3,7,10,3,1,2,4,1,26,20.8,-6
63,67,42,40.0,2021-03-21,20,NOP,@,DEN,W (+5),1,35,9,13,0.692,1,1,1.0,11,14,0.786,2,4,6,1,1,1,4,2,30,23.5,-3
64,68,43,41.0,2021-03-23,20,NOP,,LAL,W (+17),1,29,9,13,0.692,0,0,,9,10,0.9,2,7,9,5,1,0,1,3,27,26.9,25
65,69,44,42.0,2021-03-26,20,NOP,,DEN,L (-5),1,39,16,19,0.842,1,1,1.0,6,7,0.857,0,10,10,5,1,2,3,3,39,36.4,13
66,70,45,43.0,2021-03-27,20,NOP,,DAL,W (+9),1,35,13,20,0.65,0,2,0.0,12,18,0.667,2,3,5,6,0,0,4,1,38,28.9,16
