,Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
0,1,2,1.0,2020-12-26,21,DET,,CLE,L (-9),0,6,0,2,0.0,0,2,0.0,0,2,0.0,1,1,2,0,0,0,0,1,0,-1.6,-1
1,2,3,2.0,2020-12-28,21,DET,@,ATL,L (-8),1,30,3,11,0.273,2,7,0.286,2,2,1.0,1,6,7,1,0,0,0,1,10,6.3,4
2,3,4,3.0,2020-12-29,21,DET,,GSW,L (-10),0,15,3,9,0.333,3,5,0.6,2,2,1.0,0,3,3,0,0,0,1,3,11,4.6,2
3,4,5,4.0,2021-01-01,21,DET,,BOS,W (+3),1,30,5,11,0.455,5,8,0.625,2,4,0.5,0,7,7,1,2,0,2,1,17,12.9,13
4,5,6,5.0,2021-01-03,21,DET,,BOS,L (-2),0,20,2,6,0.333,2,3,0.667,0,0,,0,3,3,2,1,0,0,2,6,5.1,0
5,6,7,6.0,2021-01-04,21,DET,@,MIL,L (-10),1,31,3,8,0.375,1,6,0.167,2,2,1.0,0,3,3,0,0,0,0,2,9,4.7,-1
6,7,8,7.0,2021-01-06,21,DET,@,MIL,L (-15),0,24,6,14,0.429,6,10,0.6,2,2,1.0,0,10,10,3,1,0,1,1,20,17.3,2
7,8,9,8.0,2021-01-08,21,DET,,PHO,W (+5),0,27,4,8,0.5,2,5,0.4,0,0,,1,3,4,0,1,0,1,1,10,7.2,-8
8,9,10,9.0,2021-01-10,21,DET,,UTA,L (-10),0,27,3,9,0.333,2,6,0.333,4,4,1.0,2,1,3,1,0,0,0,4,12,7.7,-10
9,10,11,10.0,2021-01-13,21,DET,,MIL,L (-9),0,20,3,8,0.375,2,6,0.333,2,3,0.667,0,2,2,0,0,0,2,1,10,3.4,-16
10,11,12,11.0,2021-01-16,21,DET,@,MIA,W (+20),0,11,1,3,0.333,1,3,0.333,2,2,1.0,0,1,1,0,0,0,0,2,5,2.8,-2
12,13,14,13.0,2021-01-20,21,DET,@,ATL,L (-8),0,8,0,2,0.0,0,2,0.0,0,0,,0,1,1,1,1,0,1,1,0,-0.8,3
13,14,15,14.0,2021-01-22,21,DET,,HOU,L (-1),0,15,0,3,0.0,0,3,0.0,2,2,1.0,0,0,0,0,0,0,1,0,2,-1.1,-17
