,Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
0,0,1,1.0,2014-10-29,32,MEM,,MIN,W (+4),1,33,4,8,0.5,0,0,,0,0,,0,3,3,5,3,0,3,4,8,6.8,10
1,1,2,2.0,2014-10-31,32,MEM,@,IND,W (+8),1,32,1,4,0.25,0,2,0.0,3,4,0.75,0,4,4,3,5,0,0,3,5,9.3,18
2,2,3,3.0,2014-11-01,32,MEM,@,CHO,W (+2),1,34,3,7,0.429,0,0,,0,1,0.0,1,3,4,0,4,0,1,4,6,4.9,4
3,3,4,4.0,2014-11-03,32,MEM,,NOP,W (+12),1,30,4,8,0.5,0,1,0.0,4,8,0.5,3,8,11,2,0,0,2,5,12,8.3,8
4,4,5,5.0,2014-11-05,32,MEM,@,PHO,W (+11),1,23,4,6,0.667,0,0,,1,1,1.0,1,2,3,1,0,0,1,4,9,5.8,15
5,5,6,6.0,2014-11-07,32,MEM,@,OKC,W (+2),1,25,4,7,0.571,1,2,0.5,0,0,,0,4,4,3,4,1,1,1,9,12.3,0
6,6,7,7.0,2014-11-08,32,MEM,@,MIL,L (-1),1,24,3,9,0.333,0,0,,1,1,1.0,0,2,2,3,2,0,1,3,7,4.4,-6
7,7,8,8.0,2014-11-11,32,MEM,,LAL,W (+5),1,29,6,10,0.6,0,0,,0,2,0.0,4,3,7,0,2,1,1,3,12,10.8,-9
8,8,9,9.0,2014-11-13,32,MEM,,SAC,W (+1),1,24,0,5,0.0,0,0,,0,0,,3,1,4,2,2,0,1,3,0,0.1,-10
9,9,10,10.0,2014-11-15,32,MEM,,DET,W (+7),1,27,1,3,0.333,0,0,,0,0,,2,3,5,1,0,0,0,5,2,1.3,-1
10,10,11,11.0,2014-11-17,32,MEM,,HOU,W (+26),1,18,3,4,0.75,0,0,,0,0,,1,1,2,0,1,1,0,3,6,5.9,8
11,13,14,12.0,2014-11-23,32,MEM,,LAC,W (+16),1,20,4,9,0.444,0,1,0.0,4,4,1.0,3,2,5,1,0,1,1,3,12,9.2,12
12,14,15,13.0,2014-11-26,32,MEM,@,LAL,W (+6),1,15,2,8,0.25,0,0,,0,0,,2,1,3,3,1,0,0,4,4,2.4,2
13,15,16,14.0,2014-11-28,32,MEM,@,POR,W (+13),1,33,4,6,0.667,1,1,1.0,2,2,1.0,1,4,5,2,3,0,0,3,11,13.5,9
14,16,17,15.0,2014-11-30,32,MEM,@,SAC,W (+12),1,29,5,7,0.714,0,0,,3,7,0.429,3,0,3,2,4,0,4,5,13,10.0,-2
15,17,18,16.0,2014-12-03,32,MEM,@,HOU,L (-9),1,15,4,7,0.571,0,1,0.0,2,2,1.0,1,0,1,0,2,2,4,2,10,6.0,-15
16,18,19,17.0,2014-12-05,32,MEM,,SAS,L (-6),1,17,2,4,0.5,0,1,0.0,0,0,,1,2,3,0,2,1,1,4,4,3.4,-1
17,19,20,18.0,2014-12-07,32,MEM,,MIA,W (+16),1,22,6,8,0.75,0,0,,2,4,0.5,1,4,5,2,2,0,2,5,14,11.3,14
18,20,21,19.0,2014-12-09,32,MEM,,DAL,W (+9),1,31,5,8,0.625,0,0,,3,3,1.0,0,0,0,2,2,0,0,2,13,12.0,13
19,21,22,20.0,2014-12-12,32,MEM,,CHO,W (+6),1,46,2,6,0.333,0,0,,5,5,1.0,3,7,10,0,2,0,6,5,9,3.8,8
20,22,23,21.0,2014-12-13,32,MEM,@,PHI,W (+5),1,18,1,2,0.5,0,0,,0,0,,1,0,1,0,0,2,1,5,2,0.1,-5
21,23,24,22.0,2014-12-16,32,MEM,,GSW,W (+7),1,21,1,7,0.143,0,0,,0,0,,3,4,7,2,2,0,0,1,2,3.8,4
