,Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
0,0,1,1.0,2019-10-23,22,WAS,@,DAL,L (-8),0,16,0,3,0.0,0,3,0.0,0,0,,0,0,0,1,0,0,0,1,0,-1.8,-7.0
1,1,2,2.0,2019-10-25,22,WAS,@,OKC,W (+12),0,10,2,2,1.0,1,1,1.0,2,2,1.0,2,3,5,0,0,0,0,0,7,8.7,3.0
2,2,3,3.0,2019-10-26,22,WAS,@,SAS,L (-2),0,8,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,0,0,0.3,2.0
3,4,5,4.0,2019-11-02,22,WAS,,MIN,L (-22),0,15,5,5,1.0,3,3,1.0,2,2,1.0,0,1,1,0,0,0,0,1,15,13.4,10.0
6,18,19,7.0,2019-12-03,22,WAS,,ORL,L (-7),0,7,0,0,,0,0,,0,0,,0,1,1,0,0,0,1,0,0,-0.7,1.0
7,20,21,8.0,2019-12-06,22,WAS,@,MIA,L (-9),0,12,0,2,0.0,0,2,0.0,0,0,,0,0,0,0,0,0,1,4,0,-4.0,-1.0
8,21,22,9.0,2019-12-08,22,WAS,,LAC,L (-16),0,6,0,0,,0,0,,0,0,,0,2,2,0,0,0,1,0,0,-0.4,8.0
10,23,24,11.0,2019-12-14,22,WAS,@,MEM,L (-17),0,21,5,8,0.625,3,5,0.6,1,2,0.5,0,2,2,3,1,0,0,4,14,12.1,4.0
11,24,25,12.0,2019-12-16,22,WAS,@,DET,W (+14),0,20,4,8,0.5,1,4,0.25,0,0,,1,1,2,1,0,0,0,5,9,4.7,7.0
12,25,26,13.0,2019-12-18,22,WAS,,CHI,L (-1),0,18,2,8,0.25,1,6,0.167,0,0,,0,4,4,2,3,1,0,2,5,5.7,3.0
13,26,27,14.0,2019-12-20,22,WAS,@,TOR,L (-4),0,22,2,5,0.4,1,3,0.333,1,2,0.5,0,0,0,2,1,0,1,6,6,1.9,7.0
14,27,28,15.0,2019-12-21,22,WAS,@,PHI,L (-17),0,26,0,3,0.0,0,2,0.0,2,2,1.0,0,1,1,1,1,1,1,3,2,0.4,-18.0
15,28,29,16.0,2019-12-23,22,WAS,@,NYK,W (+6),1,18,1,3,0.333,1,3,0.333,0,0,,0,2,2,2,1,1,1,1,3,3.6,-10.0
16,29,30,17.0,2019-12-26,22,WAS,@,DET,L (-30),1,19,0,6,0.0,0,2,0.0,0,0,,1,2,3,0,0,0,0,4,0,-4.5,-14.0
20,33,34,21.0,2020-01-03,22,WAS,,POR,L (-19),0,12,0,3,0.0,0,2,0.0,1,2,0.5,0,2,2,0,0,0,0,2,1,-1.7,0.0
22,36,37,23.0,2020-01-08,22,WAS,@,ORL,L (-34),0,36,8,13,0.615,2,6,0.333,0,0,,2,4,6,2,0,0,0,3,18,14.9,-7.0
23,37,38,24.0,2020-01-10,22,WAS,,ATL,W (+10),0,9,1,4,0.25,1,3,0.333,0,0,,0,0,0,0,0,0,0,1,3,0.2,-3.0
27,64,65,28.0,2020-07-31,23,WAS,,PHO,L (-13),0,6,0,2,0.0,0,1,0.0,0,0,,0,2,2,0,0,0,0,2,0,-1.6,-6.0
28,66,67,29.0,2020-08-03,23,WAS,,IND,L (-11),0,19,1,3,0.333,1,1,1.0,0,0,,0,3,3,0,0,0,0,1,3,1.8,-4.0
29,67,68,30.0,2020-08-05,23,WAS,,PHI,L (-9),0,5,1,1,1.0,1,1,1.0,0,0,,0,0,0,1,0,0,0,1,3,3.0,6.0
30,68,69,31.0,2020-08-07,23,WAS,@,NOP,L (-11),0,8,0,2,0.0,0,2,0.0,0,0,,0,1,1,0,0,0,0,2,0,-1.9,-5.0
31,69,70,32.0,2020-08-09,23,WAS,@,OKC,L (-18),0,24,1,4,0.25,1,4,0.25,0,0,,1,3,4,0,0,0,0,0,3,2.2,-10.0
32,70,71,33.0,2020-08-11,23,WAS,,MIL,L (-13),0,14,2,5,0.4,2,5,0.4,1,2,0.5,0,3,3,0,0,1,0,3,7,4.3,-3.0
