,Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,8,9,2.0,2016-03-25,23,PHO,@,SAC,L (-22),0,11,2,3,0.667,0,0,,2,4,0.5,2,3,5,0,1,0,1,4,6,4.6,-12
5,14,15,6.0,2016-04-05,23,PHO,@,ATL,L (-13),0,7,0,1,0.0,0,0,,1,2,0.5,1,2,3,1,0,0,0,1,1,1.5,11
7,16,17,8.0,2016-04-09,23,PHO,@,NOP,W (+21),0,8,1,4,0.25,0,0,,1,1,1.0,2,5,7,2,0,2,0,3,3,5.1,2
8,17,18,9.0,2016-04-11,23,PHO,,SAC,L (-4),0,9,1,3,0.333,0,0,,0,0,,3,3,6,0,1,0,1,0,2,3.3,-2
9,18,19,10.0,2016-04-13,23,PHO,,LAC,W (+9),0,22,5,9,0.556,0,0,,4,5,0.8,3,9,12,2,1,3,2,4,14,15.0,2
13,22,13,4.0,2016-11-18,23,PHO,@,IND,W (+20),0,26,6,7,0.857,0,0,,3,4,0.75,8,7,15,1,2,1,1,5,15,20.2,20
14,23,14,5.0,2016-11-19,23,PHO,@,PHI,L (-15),0,23,5,8,0.625,0,0,,2,4,0.5,4,7,11,0,2,4,1,4,12,14.7,0
15,24,15,6.0,2016-11-21,23,PHO,@,WAS,L (-5),0,16,2,3,0.667,0,0,,1,2,0.5,2,6,8,0,0,1,3,5,5,2.2,8
18,27,25,9.0,2016-12-13,23,PHO,,NYK,W (+2),0,9,0,0,,0,0,,1,2,0.5,0,1,1,0,0,0,0,4,1,-0.7,-5
19,28,26,10.0,2016-12-15,23,PHO,,SAS,L (-15),0,7,1,3,0.333,0,0,,0,0,,4,0,4,0,0,0,0,1,2,2.7,-1
22,31,31,13.0,2016-12-26,23,PHO,@,HOU,L (-16),0,6,0,0,,0,0,,2,2,1.0,0,1,1,0,2,1,0,1,2,4.6,8
27,36,48,18.0,2017-01-30,24,PHO,,MEM,L (-19),0,5,2,3,0.667,0,0,,2,3,0.667,1,2,3,0,0,1,1,0,6,5.3,6
30,39,54,21.0,2017-02-10,24,PHO,,CHI,W (+18),0,24,7,12,0.583,0,0,,0,0,,5,6,11,0,0,4,0,4,14,14.9,13
31,40,55,22.0,2017-02-11,24,PHO,@,HOU,L (-31),0,10,0,2,0.0,0,0,,2,2,1.0,1,3,4,0,0,1,3,5,2,-2.1,-6
32,42,57,23.0,2017-02-15,24,PHO,,LAL,W (+36),0,5,1,2,0.5,0,0,,0,0,,0,6,6,1,0,0,0,0,2,3.5,13
33,43,58,24.0,2017-02-24,24,PHO,@,CHI,L (-7),0,15,8,9,0.889,0,0,,0,2,0.0,1,2,3,1,0,0,0,5,16,12.1,11
34,44,59,25.0,2017-02-26,24,PHO,@,MIL,L (-4),0,34,7,13,0.538,0,0,,3,3,1.0,7,8,15,3,3,1,2,3,17,20.6,-2
35,45,60,26.0,2017-02-28,24,PHO,@,MEM,L (-18),0,22,5,8,0.625,0,0,,1,2,0.5,2,2,4,2,0,1,2,3,11,7.9,-16
36,46,61,27.0,2017-03-02,24,PHO,,CHO,W (+17),0,24,7,9,0.778,0,0,,2,4,0.5,1,11,12,0,1,1,1,3,16,15.2,23
37,47,62,28.0,2017-03-03,24,PHO,,OKC,W (+7),0,30,7,15,0.467,0,0,,0,0,,6,7,13,1,1,3,2,4,14,12.8,3
38,48,63,29.0,2017-03-05,24,PHO,,BOS,W (+3),0,31,5,12,0.417,0,0,,1,3,0.333,4,11,15,0,2,1,1,5,11,9.6,2
39,49,64,30.0,2017-03-07,24,PHO,,WAS,L (-4),0,24,5,9,0.556,0,0,,5,9,0.556,3,7,10,0,0,0,0,6,15,10.9,-9
40,50,65,31.0,2017-03-09,24,PHO,,LAL,L (-12),0,22,5,9,0.556,0,0,,6,6,1.0,5,5,10,0,1,2,0,4,16,17.5,-5
41,51,66,32.0,2017-03-11,24,PHO,@,DAL,W (+2),0,26,5,7,0.714,0,0,,0,0,,0,5,5,1,0,1,1,2,10,8.2,2
42,52,67,33.0,2017-03-12,24,PHO,,POR,L (-9),0,25,4,11,0.364,0,0,,4,5,0.8,2,8,10,1,1,1,1,5,12,8.7,-3
43,53,68,34.0,2017-03-15,24,PHO,,SAC,L (-6),0,31,6,16,0.375,0,0,,2,3,0.667,4,7,11,2,1,2,1,5,14,10.5,-3
44,54,69,35.0,2017-03-17,24,PHO,,ORL,L (-6),0,16,4,6,0.667,0,0,,4,6,0.667,1,6,7,2,0,0,2,4,12,8.9,-4
45,55,70,36.0,2017-03-19,24,PHO,@,DET,L (-17),0,26,4,11,0.364,0,0,,3,5,0.6,0,12,12,2,2,1,0,3,11,10.6,-10
46,57,72,37.0,2017-03-23,24,PHO,@,BRK,L (-28),0,16,1,6,0.167,0,1,0.0,2,4,0.5,3,4,7,0,0,0,4,4,4,-2.9,-19
47,58,73,38.0,2017-03-24,24,PHO,@,BOS,L (-10),0,24,3,9,0.333,0,0,,3,6,0.5,2,12,14,0,1,0,0,4,9,7.1,1
