,Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
0,0,1,1.0,2014-10-29,29,POR,,OKC,W (+17),1,34,10,19,0.526,1,1,1.0,6,8,0.75,1,2,3,2,1,2,2,0,27,20.0,6
1,1,2,2.0,2014-10-31,29,POR,@,SAC,L (-9),1,38,7,18,0.389,1,3,0.333,7,8,0.875,1,3,4,3,0,2,1,2,22,15.1,-10
2,2,3,3.0,2014-11-02,29,POR,,GSW,L (-5),1,33,10,20,0.5,0,2,0.0,6,8,0.75,4,9,13,1,1,1,3,2,26,19.3,-9
3,3,4,4.0,2014-11-04,29,POR,,CLE,W (+19),1,37,7,15,0.467,0,1,0.0,2,2,1.0,1,3,4,2,1,0,2,4,16,8.7,13
4,4,5,5.0,2014-11-06,29,POR,,DAL,W (+21),1,30,10,16,0.625,0,1,0.0,0,1,0.0,2,5,7,0,0,0,1,2,20,13.5,12
5,5,6,6.0,2014-11-08,29,POR,@,LAC,L (-4),1,39,7,22,0.318,1,2,0.5,6,6,1.0,2,8,10,2,0,0,1,4,21,11.0,3
6,6,7,7.0,2014-11-09,29,POR,,DEN,W (+16),1,36,12,26,0.462,1,1,1.0,3,4,0.75,4,5,9,4,1,1,1,2,28,21.2,21
7,7,8,8.0,2014-11-11,29,POR,,CHO,W (+2),1,39,10,21,0.476,0,0,,5,5,1.0,4,10,14,3,0,0,0,1,25,21.8,6
8,8,9,9.0,2014-11-12,29,POR,@,DEN,W (+17),1,30,4,11,0.364,1,1,1.0,3,3,1.0,0,7,7,3,0,6,0,1,12,13.9,22
9,10,11,10.0,2014-11-17,29,POR,,NOP,W (+9),1,37,9,18,0.5,0,0,,4,4,1.0,2,7,9,2,1,0,0,0,22,18.9,0
10,11,12,11.0,2014-11-21,29,POR,,CHI,W (+18),1,28,6,13,0.462,2,2,1.0,2,3,0.667,3,6,9,4,1,2,0,1,16,17.6,23
11,12,13,12.0,2014-11-23,29,POR,@,BOS,W (+6),1,37,7,21,0.333,0,0,,6,7,0.857,3,11,14,2,0,1,1,1,20,13.8,5
