,Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
0,0,1,1.0,2016-10-26,23,OKC,@,PHI,W (+6),0,13,1,2,0.5,1,1,1.0,0,0,,0,1,1,0,0,0,2,3,3,-0.9,3
2,3,4,3.0,2016-11-02,23,OKC,@,LAC,W (+2),0,8,2,2,1.0,2,2,1.0,0,0,,0,0,0,0,0,0,2,0,6,3.4,4
3,4,5,4.0,2016-11-03,23,OKC,@,GSW,L (-26),0,19,1,6,0.167,1,6,0.167,2,2,1.0,1,2,3,1,0,0,0,0,5,3.2,-13
4,5,6,5.0,2016-11-05,23,OKC,,MIN,W (+20),0,17,0,1,0.0,0,0,,1,1,1.0,0,2,2,2,1,0,0,1,1,2.9,-4
5,6,7,6.0,2016-11-07,23,OKC,,MIA,W (+12),0,17,2,9,0.222,1,7,0.143,0,0,,1,1,2,0,1,0,2,2,5,-1.3,-4
6,7,8,7.0,2016-11-09,23,OKC,,TOR,L (-10),0,5,1,1,1.0,1,1,1.0,0,0,,0,0,0,0,0,0,1,0,3,1.7,-3
7,8,9,8.0,2016-11-11,23,OKC,,LAC,L (-2),0,13,1,2,0.5,0,1,0.0,1,2,0.5,0,1,1,0,0,0,1,2,3,0.1,6
8,9,10,9.0,2016-11-13,23,OKC,,ORL,L (-2),0,19,3,7,0.429,1,4,0.25,0,0,,0,3,3,0,0,0,1,3,7,2.0,-2
9,10,11,10.0,2016-11-14,23,OKC,@,DET,L (-16),0,17,1,7,0.143,1,5,0.2,2,2,1.0,0,1,1,1,0,0,1,2,5,-0.3,-9
10,11,12,11.0,2016-11-16,23,OKC,,HOU,W (+2),0,14,2,4,0.5,2,3,0.667,1,1,1.0,0,0,0,1,1,0,0,0,7,6.7,0
11,12,13,12.0,2016-11-18,23,OKC,,BRK,W (+19),0,22,4,10,0.4,2,7,0.286,0,0,,0,2,2,0,0,0,1,1,10,3.8,2
12,13,14,13.0,2016-11-20,23,OKC,,IND,L (-4),0,23,4,9,0.444,0,4,0.0,0,0,,0,0,0,1,1,0,1,0,8,4.0,1
13,14,15,14.0,2016-11-22,23,OKC,@,LAL,L (-2),0,7,0,2,0.0,0,1,0.0,0,0,,0,0,0,1,0,1,0,0,0,0.0,-9
16,23,24,17.0,2016-12-11,23,OKC,,BOS,W (+3),0,5,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,2,0,-0.8,0
17,24,25,18.0,2016-12-13,23,OKC,@,POR,L (-19),0,13,2,7,0.286,1,5,0.2,0,0,,0,2,2,1,0,0,0,1,5,1.8,-7
