,Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,11,12,2.0,2017-11-15,21,CHI,@,OKC,L (-13),0,26,5,12,0.417,3,6,0.5,3,5,0.6,0,2,2,0,0,0,2,3,16,6.2,5
2,12,13,3.0,2017-11-17,21,CHI,,CHO,W (+3),0,12,1,3,0.333,0,2,0.0,3,3,1.0,0,1,1,1,0,0,0,0,5,4.3,0
3,13,14,4.0,2017-11-19,21,CHI,@,PHO,L (-8),0,19,3,8,0.375,0,1,0.0,1,2,0.5,0,2,2,1,0,0,0,0,7,3.5,-9
4,14,15,5.0,2017-11-21,21,CHI,@,LAL,L (-9),0,18,6,12,0.5,0,2,0.0,3,3,1.0,0,2,2,1,0,0,0,2,15,9.5,-1
5,15,16,6.0,2017-11-22,21,CHI,@,UTA,L (-30),0,24,3,7,0.429,2,3,0.667,0,0,,1,1,2,0,0,0,2,0,8,3.3,-9
6,16,17,7.0,2017-11-24,21,CHI,@,GSW,L (-49),0,20,5,14,0.357,1,4,0.25,0,0,,2,1,3,2,1,0,1,1,11,5.9,-16
7,17,18,8.0,2017-11-26,21,CHI,,MIA,L (-7),0,14,1,7,0.143,0,4,0.0,1,2,0.5,0,2,2,1,1,0,0,0,3,0.4,8
8,18,19,9.0,2017-11-28,21,CHI,,PHO,L (-5),0,11,2,8,0.25,1,3,0.333,1,2,0.5,0,4,4,0,0,0,1,0,6,1.0,-1
9,19,20,10.0,2017-11-30,21,CHI,@,DEN,L (-1),0,13,0,3,0.0,0,1,0.0,2,2,1.0,0,2,2,1,0,0,0,2,2,0.4,-5
10,20,21,11.0,2017-12-01,21,CHI,,SAC,L (-1),0,5,1,2,0.5,1,2,0.5,0,0,,0,0,0,0,0,0,2,0,3,0.0,2
11,50,51,12.0,2018-01-31,21,CHI,@,POR,L (-16),0,6,2,5,0.4,1,2,0.5,2,2,1.0,0,0,0,0,0,0,0,0,7,4.3,4
13,65,66,14.0,2018-03-11,21,CHI,@,ATL,W (+7),0,19,6,9,0.667,2,3,0.667,0,0,,0,3,3,1,1,0,0,2,14,11.9,16
14,66,67,15.0,2018-03-13,21,CHI,,LAC,L (-6),0,21,2,8,0.25,1,3,0.333,1,1,1.0,0,0,0,4,2,0,0,2,6,5.2,6
15,67,68,16.0,2018-03-15,21,CHI,@,MEM,W (+1),0,25,2,7,0.286,1,4,0.25,5,8,0.625,0,1,1,1,1,0,0,3,10,5.5,6
16,68,69,17.0,2018-03-17,21,CHI,,CLE,L (-5),0,27,4,14,0.286,1,6,0.167,1,2,0.5,0,1,1,3,1,0,0,1,10,4.4,-12
17,69,70,18.0,2018-03-19,21,CHI,@,NYK,L (-18),0,26,4,12,0.333,1,5,0.2,7,7,1.0,0,4,4,1,0,1,2,1,16,9.4,-3
18,70,71,19.0,2018-03-21,21,CHI,,DEN,L (-33),0,23,3,9,0.333,0,1,0.0,0,0,,1,2,3,3,0,0,1,2,6,2.5,-4
19,71,1,1.0,2018-10-18,22,CHI,@,PHI,L (-19),0,30,6,16,0.375,1,3,0.333,2,3,0.667,0,5,5,2,0,0,1,2,15,6.9,6
20,72,2,2.0,2018-10-20,22,CHI,,DET,L (-2),0,22,5,6,0.833,0,0,,0,0,,0,4,4,0,1,0,0,0,10,10.0,0
21,73,3,3.0,2018-10-22,22,CHI,@,DAL,L (-6),0,5,1,2,0.5,1,1,1.0,0,2,0.0,0,0,0,0,0,0,0,0,3,1.2,6
22,74,4,4.0,2018-10-24,22,CHI,,CHO,W (+2),0,9,1,2,0.5,0,1,0.0,2,3,0.667,0,0,0,1,0,0,0,1,4,2.9,12
23,75,5,5.0,2018-10-26,22,CHI,@,CHO,L (-29),0,22,5,10,0.5,2,5,0.4,1,2,0.5,0,2,2,0,0,2,0,2,13,8.8,-6
24,76,6,6.0,2018-10-27,22,CHI,@,ATL,W (+12),0,15,4,8,0.5,1,2,0.5,0,0,,0,2,2,0,0,0,1,2,9,3.8,0
