,Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
0,0,1,1.0,2014-10-29,25,NYK,,CHI,L (-24),0,17,1,2,0.5,0,0,,0,0,,4,3,7,2,0,0,1,2,2,4.3,-8
1,1,2,2.0,2014-10-30,25,NYK,@,CLE,W (+5),0,14,1,2,0.5,0,0,,0,0,,2,4,6,1,1,0,1,4,2,2.7,10
2,2,3,3.0,2014-11-02,26,NYK,,CHO,W (+3),0,6,0,0,,0,0,,0,0,,1,1,2,0,0,0,0,2,0,0.2,-7
3,3,4,4.0,2014-11-04,26,NYK,,WAS,L (-15),0,15,1,6,0.167,0,0,,2,2,1.0,2,3,5,1,1,0,1,4,4,1.6,-5
4,4,5,5.0,2014-11-05,26,NYK,@,DET,L (-3),0,11,2,3,0.667,0,0,,0,0,,1,4,5,1,0,3,0,3,4,6.2,1
5,5,6,6.0,2014-11-07,26,NYK,@,BRK,L (-11),0,6,2,2,1.0,0,0,,0,0,,0,2,2,0,0,0,0,1,4,3.6,-5
6,9,10,7.0,2014-11-14,26,NYK,,UTA,L (-2),0,12,0,3,0.0,0,0,,0,0,,0,2,2,1,0,1,0,2,0,-0.9,1
7,12,13,8.0,2014-11-19,26,NYK,@,MIN,L (-16),0,8,1,2,0.5,0,0,,0,0,,0,1,1,0,1,2,1,2,2,1.9,7
10,16,17,11.0,2014-11-28,26,NYK,@,OKC,L (-27),0,12,2,3,0.667,0,0,,0,0,,0,1,1,2,0,2,0,3,4,4.6,-6
11,18,19,12.0,2014-12-02,26,NYK,,BRK,L (-5),0,18,1,4,0.25,0,0,,0,0,,2,3,5,1,1,0,0,0,2,3.6,-2
14,23,24,15.0,2014-12-10,26,NYK,@,SAS,L (-14),0,16,4,7,0.571,0,0,,2,2,1.0,1,4,5,1,1,0,3,1,10,6.9,5
15,27,28,16.0,2014-12-18,26,NYK,@,CHI,L (-6),1,26,5,8,0.625,0,0,,3,4,0.75,4,6,10,3,1,1,3,3,13,13.2,0
16,28,29,17.0,2014-12-20,26,NYK,,PHO,L (-9),1,17,2,5,0.4,0,0,,0,0,,0,1,1,2,0,1,0,2,4,2.9,-10
17,29,30,18.0,2014-12-21,26,NYK,@,TOR,L (-10),1,22,4,4,1.0,0,0,,3,3,1.0,1,6,7,0,0,2,1,2,11,11.9,2
18,30,31,19.0,2014-12-25,26,NYK,,WAS,L (-11),0,22,5,6,0.833,0,0,,0,0,,1,3,4,2,0,1,0,2,10,10.7,11
19,31,32,20.0,2014-12-27,26,NYK,@,SAC,L (-6),1,24,8,9,0.889,0,0,,2,2,1.0,3,4,7,1,1,2,1,6,18,17.9,5
20,32,33,21.0,2014-12-28,26,NYK,@,POR,L (-22),1,34,6,16,0.375,0,0,,0,2,0.0,9,10,19,2,4,1,1,0,12,16.8,-25
21,33,34,22.0,2014-12-31,26,NYK,@,LAC,L (-21),1,31,4,9,0.444,0,0,,0,0,,0,5,5,5,1,1,0,3,8,8.8,-23
