,Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
0,0,1,1.0,2014-10-29,19,UTA,,HOU,L (-11),0,10,2,3,0.667,1,1,1.0,0,0,,0,0,0,1,1,0,1,0,5,4.4,3
1,1,2,2.0,2014-10-30,19,UTA,@,DAL,L (-18),0,19,1,4,0.25,0,3,0.0,0,0,,0,0,0,0,0,0,2,1,2,-2.8,-15
2,2,3,3.0,2014-11-01,19,UTA,,PHO,W (+27),0,18,3,4,0.75,3,4,0.75,1,4,0.25,0,2,2,3,2,1,1,3,10,10.4,15
3,3,4,4.0,2014-11-03,19,UTA,@,LAC,L (-6),0,17,3,6,0.5,0,3,0.0,1,2,0.5,0,1,1,2,0,1,1,2,7,4.2,-1
4,4,5,5.0,2014-11-05,19,UTA,,CLE,W (+2),0,25,1,5,0.2,0,3,0.0,1,2,0.5,0,2,2,5,0,0,0,2,3,2.8,1
5,5,6,6.0,2014-11-07,19,UTA,,DAL,L (-23),0,27,4,7,0.571,2,4,0.5,1,2,0.5,0,2,2,5,0,0,1,4,11,8.8,-6
6,6,7,7.0,2014-11-09,19,UTA,@,DET,W (+1),0,21,2,4,0.5,0,1,0.0,5,5,1.0,1,2,3,5,1,0,0,2,9,12.0,11
7,7,8,8.0,2014-11-10,19,UTA,@,IND,L (-11),0,19,1,5,0.2,1,4,0.25,0,0,,1,3,4,0,1,0,0,3,3,1.3,-2
8,8,9,9.0,2014-11-12,19,UTA,@,ATL,L (-3),0,19,1,5,0.2,0,2,0.0,0,0,,0,1,1,2,0,1,0,4,2,-0.3,2
9,9,10,10.0,2014-11-14,19,UTA,@,NYK,W (+2),0,17,1,3,0.333,1,3,0.333,0,0,,0,0,0,2,0,1,3,0,3,0.4,-18
10,10,11,11.0,2014-11-15,19,UTA,@,TOR,L (-18),0,18,2,4,0.5,1,1,1.0,1,2,0.5,0,2,2,2,1,0,3,1,6,3.2,-6
11,11,12,12.0,2014-11-18,19,UTA,,OKC,W (+17),0,15,3,5,0.6,3,5,0.6,0,0,,0,1,1,5,0,0,0,2,9,9.7,8
12,12,13,13.0,2014-11-21,19,UTA,@,GSW,L (-13),0,22,1,5,0.2,0,2,0.0,0,0,,0,4,4,5,1,0,2,2,2,1.8,15
13,13,14,14.0,2014-11-22,19,UTA,,NOP,L (-12),0,19,1,5,0.2,0,1,0.0,0,0,,0,1,1,1,1,0,0,4,2,-0.7,-3
14,14,15,15.0,2014-11-24,19,UTA,,CHI,L (-2),0,11,0,1,0.0,0,0,,0,0,,0,2,2,1,0,0,0,0,0,0.6,-6
15,15,16,16.0,2014-11-26,19,UTA,@,OKC,L (-15),0,17,1,4,0.25,0,2,0.0,1,2,0.5,0,1,1,0,0,0,1,2,3,-1.3,-8
16,16,17,17.0,2014-11-29,19,UTA,,LAC,L (-16),0,19,2,7,0.286,1,4,0.25,0,0,,0,1,1,1,0,0,2,2,5,-0.9,4
17,17,18,18.0,2014-12-01,19,UTA,,DEN,L (-2),0,13,0,2,0.0,0,0,,2,2,1.0,0,0,0,0,0,0,1,0,2,-0.4,-4
18,18,19,19.0,2014-12-03,19,UTA,,TOR,L (-19),0,14,1,3,0.333,0,2,0.0,0,1,0.0,0,2,2,1,0,1,1,0,2,0.9,-8
19,19,20,20.0,2014-12-05,19,UTA,,ORL,L (-5),0,20,1,3,0.333,1,2,0.5,0,0,,0,1,1,1,0,0,1,0,3,1.3,1
20,20,21,21.0,2014-12-08,19,UTA,@,SAC,L (-9),0,16,1,3,0.333,0,1,0.0,0,0,,0,0,0,0,0,0,1,2,2,-1.5,7
21,21,22,22.0,2014-12-09,19,UTA,,SAS,W (+4),0,16,2,5,0.4,2,3,0.667,0,0,,0,1,1,2,0,0,1,1,6,3.6,6
22,22,23,23.0,2014-12-12,19,UTA,,MIA,L (-5),0,15,2,4,0.5,1,3,0.333,0,0,,0,0,0,2,0,0,0,0,5,4.4,4
23,23,24,24.0,2014-12-14,19,UTA,@,WAS,L (-9),0,12,1,2,0.5,1,1,1.0,0,0,,0,1,1,2,1,0,1,0,3,3.7,-2
24,24,25,25.0,2014-12-16,19,UTA,@,NOP,L (-8),0,21,5,7,0.714,1,2,0.5,1,1,1.0,1,1,2,2,1,1,2,2,12,10.4,-11
25,25,26,26.0,2014-12-17,19,UTA,@,MIA,W (+18),0,24,4,5,0.8,2,3,0.667,0,0,,0,2,2,3,0,0,3,3,10,6.6,15
26,26,27,27.0,2014-12-19,19,UTA,@,ORL,W (+7),0,15,1,2,0.5,0,0,,0,0,,0,2,2,0,2,0,3,3,2,-0.6,-1
27,27,28,28.0,2014-12-20,19,UTA,@,CHO,L (-18),0,23,2,7,0.286,2,6,0.333,0,0,,1,0,1,2,0,0,3,2,6,0.2,-3
28,28,29,29.0,2014-12-22,19,UTA,@,MEM,W (+6),0,22,2,3,0.667,2,3,0.667,0,0,,0,2,2,3,0,0,0,1,6,7.0,-2
29,29,30,30.0,2014-12-27,19,UTA,,PHI,W (+17),0,18,1,7,0.143,0,4,0.0,3,4,0.75,0,3,3,0,1,0,1,4,5,-0.6,0
30,30,31,31.0,2014-12-29,19,UTA,@,LAC,L (-4),0,27,3,6,0.5,1,1,1.0,0,0,,1,4,5,3,1,0,1,1,7,7.6,-2
31,31,32,32.0,2014-12-30,19,UTA,,MIN,W (+6),0,15,0,4,0.0,0,3,0.0,0,0,,0,0,0,1,0,0,1,0,0,-3.1,-1
32,32,33,33.0,2015-01-02,19,UTA,,ATL,L (-6),0,22,5,9,0.556,3,7,0.429,0,0,,2,0,2,2,3,0,1,3,13,12.3,17
33,33,34,34.0,2015-01-03,19,UTA,@,MIN,W (+12),0,23,1,7,0.143,1,5,0.2,0,0,,0,0,0,2,0,0,1,0,3,-1.1,-12
34,34,35,35.0,2015-01-05,19,UTA,,IND,L (-4),1,30,5,14,0.357,3,9,0.333,0,0,,0,0,0,0,0,0,0,3,13,4.0,-1
35,35,36,36.0,2015-01-07,19,UTA,@,CHI,W (+20),0,24,1,3,0.333,0,2,0.0,0,0,,0,0,0,3,0,0,0,1,2,2.0,25
36,36,37,37.0,2015-01-09,19,UTA,@,OKC,L (-5),0,16,1,3,0.333,1,3,0.333,0,0,,0,1,1,4,1,0,2,1,3,3.0,12
37,37,38,38.0,2015-01-10,19,UTA,@,HOU,L (-15),0,8,1,2,0.5,0,1,0.0,1,2,0.5,0,1,1,0,0,0,1,1,3,0.5,-1
38,38,39,39.0,2015-01-13,19,UTA,,GSW,L (-11),0,22,0,3,0.0,0,3,0.0,0,0,,0,1,1,2,0,0,1,1,0,-1.8,0
39,39,40,40.0,2015-01-16,19,UTA,,LAL,W (+9),0,16,0,2,0.0,0,2,0.0,0,0,,1,1,2,2,0,0,0,3,0,-0.2,-5
40,40,41,41.0,2015-01-18,19,UTA,@,SAS,L (-20),0,20,1,5,0.2,0,1,0.0,0,0,,2,0,2,4,1,0,0,1,2,3.7,-2
41,41,42,42.0,2015-01-21,19,UTA,@,CLE,L (-14),0,29,2,5,0.4,0,3,0.0,0,0,,0,0,0,5,0,0,4,1,4,0.4,-5
42,42,43,43.0,2015-01-22,19,UTA,@,MIL,W (+2),1,35,5,12,0.417,5,10,0.5,0,0,,0,0,0,5,0,0,3,1,15,8.7,-7
43,43,44,44.0,2015-01-24,19,UTA,,BRK,W (+35),1,29,5,7,0.714,3,5,0.6,0,0,,0,4,4,4,0,0,2,2,13,11.3,20
44,44,45,45.0,2015-01-26,19,UTA,,BOS,L (-9),1,25,0,2,0.0,0,2,0.0,0,0,,0,1,1,2,0,0,2,3,0,-2.9,-24
45,45,46,46.0,2015-01-28,19,UTA,,LAC,L (-5),1,26,1,6,0.167,1,5,0.2,0,0,,0,1,1,1,0,0,0,0,3,0.2,-8
46,46,47,47.0,2015-01-30,19,UTA,,GSW,W (+10),1,24,1,5,0.2,1,5,0.2,0,0,,1,1,2,1,1,0,1,1,3,1.2,19
47,47,48,48.0,2015-02-03,19,UTA,@,POR,L (-1),1,20,0,3,0.0,0,0,,0,0,,1,2,3,1,2,0,1,5,0,-1.1,-9
48,48,49,49.0,2015-02-04,19,UTA,,MEM,L (-10),1,25,0,5,0.0,0,4,0.0,0,0,,2,1,3,5,1,0,1,0,0,1.7,-15
49,49,50,50.0,2015-02-06,19,UTA,@,PHO,L (-7),1,28,2,4,0.5,2,3,0.667,0,0,,1,2,3,4,0,0,2,4,6,4.5,-3
50,50,51,51.0,2015-02-07,19,UTA,,SAC,W (+12),1,34,2,5,0.4,1,3,0.333,0,0,,0,2,2,4,2,0,2,4,5,4.1,21
51,51,52,52.0,2015-02-09,19,UTA,@,NOP,W (+4),1,33,3,11,0.273,2,7,0.286,0,0,,1,0,1,5,0,1,1,2,8,4.6,5
52,52,53,53.0,2015-02-11,19,UTA,@,DAL,L (-5),1,26,1,8,0.125,0,4,0.0,0,0,,0,1,1,3,0,0,0,0,2,-0.8,0
53,53,54,54.0,2015-02-20,19,UTA,,POR,W (+16),1,20,1,4,0.25,1,2,0.5,0,0,,0,4,4,3,1,0,0,1,3,4.5,4
54,54,55,55.0,2015-02-23,19,UTA,,SAS,W (+9),1,21,2,3,0.667,1,1,1.0,0,0,,0,1,1,2,2,0,2,4,5,3.8,-1
55,55,56,56.0,2015-02-25,19,UTA,,LAL,L (-3),1,19,1,2,0.5,1,2,0.5,0,0,,0,0,0,3,0,0,2,3,3,0.9,-1
56,56,57,57.0,2015-02-27,19,UTA,@,DEN,W (+22),1,19,1,4,0.25,0,3,0.0,0,0,,0,2,2,1,1,0,2,1,2,-0.5,12
57,57,58,58.0,2015-02-28,19,UTA,,MIL,W (+7),1,12,0,3,0.0,0,2,0.0,0,0,,0,2,2,1,0,0,2,2,0,-3.6,3
58,58,59,59.0,2015-03-03,19,UTA,@,MEM,W (+11),1,27,1,5,0.2,1,3,0.333,0,0,,0,3,3,7,1,2,2,3,3,4.9,27
59,59,60,60.0,2015-03-04,19,UTA,@,BOS,L (-1),1,19,1,4,0.25,1,4,0.25,0,0,,0,2,2,1,0,0,0,0,3,1.9,-3
60,60,61,61.0,2015-03-06,19,UTA,@,PHI,W (+6),1,22,1,4,0.25,1,2,0.5,2,2,1.0,1,2,3,2,1,0,1,3,5,4.1,7
61,61,62,62.0,2015-03-08,19,UTA,@,BRK,W (+7),1,28,5,6,0.833,4,4,1.0,0,0,,3,1,4,1,0,1,1,0,14,14.6,-5
62,62,63,63.0,2015-03-10,19,UTA,,NYK,W (+5),1,37,3,5,0.6,2,4,0.5,0,0,,0,1,1,4,1,1,1,2,8,8.7,6
63,63,64,64.0,2015-03-12,19,UTA,,HOU,W (+18),1,34,4,12,0.333,2,9,0.222,0,0,,2,3,5,1,0,1,2,1,10,4.5,23
64,64,65,65.0,2015-03-14,19,UTA,,DET,W (+3),1,32,3,5,0.6,2,3,0.667,0,0,,0,2,2,5,0,0,2,2,8,7.0,11
65,65,66,66.0,2015-03-16,19,UTA,,CHO,W (+28),1,27,4,8,0.5,3,5,0.6,0,0,,0,1,1,3,0,0,0,1,11,9.0,25
66,66,67,67.0,2015-03-18,19,UTA,,WAS,L (-4),1,20,0,6,0.0,0,3,0.0,0,0,,0,1,1,0,0,0,0,2,0,-4.7,4
67,67,68,68.0,2015-03-19,19,UTA,@,LAL,W (+7),1,22,0,5,0.0,0,3,0.0,0,0,,0,3,3,2,2,0,4,2,0,-4.0,-6
68,68,69,69.0,2015-03-21,19,UTA,@,GSW,L (-15),1,18,0,1,0.0,0,1,0.0,0,0,,0,0,0,1,1,0,3,3,0,-3.2,-9
69,69,70,70.0,2015-03-23,19,UTA,,MIN,L (-2),1,25,2,5,0.4,0,3,0.0,0,0,,2,1,3,3,1,0,0,3,4,4.9,-6
70,70,71,71.0,2015-03-25,19,UTA,,POR,L (-3),1,30,1,5,0.2,1,3,0.333,0,0,,1,2,3,2,0,0,1,1,3,1.2,-15
71,71,72,72.0,2015-03-27,19,UTA,@,DEN,L (-16),1,12,0,2,0.0,0,1,0.0,0,0,,1,0,1,0,1,0,1,1,0,-1.1,-5
72,72,73,73.0,2015-03-28,19,UTA,,OKC,W (+5),1,19,2,8,0.25,2,5,0.4,0,0,,0,1,1,0,0,0,2,4,6,-2.1,4
73,73,74,74.0,2015-03-30,19,UTA,@,MIN,W (+20),1,25,1,6,0.167,1,6,0.167,0,0,,0,1,1,0,0,0,3,1,3,-3.9,16
74,74,75,75.0,2015-04-01,19,UTA,,DEN,W (+14),1,29,1,4,0.25,0,2,0.0,0,0,,0,1,1,12,0,0,3,2,2,4.5,9
75,75,76,76.0,2015-04-04,19,UTA,@,PHO,L (-2),1,35,4,8,0.5,1,2,0.5,0,0,,1,1,2,3,0,0,2,4,9,4.5,-5
76,76,77,77.0,2015-04-05,19,UTA,@,SAC,W (+6),1,36,3,7,0.429,2,5,0.4,0,1,0.0,0,1,1,6,1,0,4,3,8,4.2,4
77,77,78,78.0,2015-04-08,19,UTA,,SAC,W (+12),1,33,4,10,0.4,4,9,0.444,0,0,,0,1,1,3,0,1,4,2,12,4.9,13
78,78,79,79.0,2015-04-10,19,UTA,,MEM,L (-1),1,33,1,4,0.25,1,4,0.25,0,0,,0,0,0,5,0,0,2,1,3,1.7,-7
79,79,80,80.0,2015-04-11,19,UTA,@,POR,W (+6),1,23,1,4,0.25,1,3,0.333,0,0,,0,1,1,3,1,0,6,3,3,-3.2,-13
