,Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
0,0,1,1.0,2016-10-26,22,PHI,,OKC,L (-6),1,27,2,12,0.167,0,4,0.0,1,2,0.5,1,6,7,2,0,0,2,3,5,-2.3,-4
1,1,2,2.0,2016-10-29,22,PHI,,ATL,L (-32),1,26,2,9,0.222,1,3,0.333,0,0,,0,4,4,2,0,0,1,1,5,0.7,-17
2,2,3,3.0,2016-11-01,22,PHI,,ORL,L (-2),1,31,9,14,0.643,3,3,1.0,0,0,,1,2,3,1,1,0,3,2,21,14.0,5
3,3,4,4.0,2016-11-02,22,PHI,@,CHO,L (-16),1,29,5,13,0.385,2,4,0.5,2,3,0.667,1,6,7,1,1,0,1,3,14,8.5,-19
4,4,5,5.0,2016-11-05,22,PHI,,CLE,L (-1),1,18,1,5,0.2,0,1,0.0,1,2,0.5,0,7,7,2,0,0,1,4,3,0.4,22
5,5,6,6.0,2016-11-07,22,PHI,,UTA,L (-25),1,23,2,6,0.333,0,0,,0,0,,0,2,2,2,0,0,2,0,4,0.6,-4
6,6,7,7.0,2016-11-09,22,PHI,@,IND,L (-7),1,34,5,9,0.556,2,2,1.0,2,2,1.0,2,10,12,3,0,2,3,4,14,13.0,-6
7,7,8,8.0,2016-11-11,22,PHI,,IND,W (+4),1,29,3,6,0.5,1,2,0.5,1,1,1.0,0,5,5,2,3,0,4,1,8,6.5,0
8,8,9,9.0,2016-11-12,22,PHI,@,ATL,L (-21),1,28,5,13,0.385,2,4,0.5,0,0,,1,6,7,1,1,0,3,0,12,6.1,-11
9,9,10,10.0,2016-11-14,22,PHI,@,HOU,L (-27),1,24,4,11,0.364,1,3,0.333,2,2,1.0,1,5,6,2,0,0,0,0,11,8.5,-17
10,10,11,11.0,2016-11-16,22,PHI,,WAS,W (+7),0,26,5,13,0.385,1,6,0.167,2,3,0.667,1,11,12,1,0,0,4,2,13,5.4,5
11,11,12,12.0,2016-11-17,22,PHI,@,MIN,L (-24),0,27,6,11,0.545,2,4,0.5,2,3,0.667,3,1,4,1,2,0,1,3,16,13.2,-9
12,12,13,13.0,2016-11-19,22,PHI,,PHO,W (+15),0,25,3,7,0.429,2,4,0.5,2,2,1.0,0,7,7,5,0,1,2,2,10,9.8,11
13,13,14,14.0,2016-11-21,22,PHI,,MIA,W (+7),0,17,1,4,0.25,1,3,0.333,0,0,,0,4,4,0,0,0,0,3,3,0.6,-4
14,14,15,15.0,2016-11-23,22,PHI,,MEM,L (-5),0,22,1,6,0.167,1,5,0.2,0,0,,2,3,5,2,0,0,1,3,3,0.7,-2
