,Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
0,12,13,1.0,2019-11-18,22,CLE,@,NYK,L (-18),0,9,0,1,0.0,0,0,,0,0,,0,0,0,0,1,0,0,3,0,-0.9,9
2,14,15,3.0,2019-11-22,23,CLE,@,DAL,L (-42),0,6,1,1,1.0,1,1,1.0,0,0,,0,2,2,0,0,0,0,0,3,3.3,-5
4,36,37,5.0,2020-01-07,23,CLE,,DET,L (-2),0,6,1,1,1.0,1,1,1.0,0,0,,0,2,2,0,0,0,1,1,3,1.9,13
5,39,40,6.0,2020-01-13,23,CLE,@,LAL,L (-29),0,5,1,1,1.0,0,0,,0,1,0.0,0,1,1,0,1,0,0,0,2,2.6,-9
6,40,41,7.0,2020-01-14,23,CLE,@,LAC,L (-25),0,14,3,5,0.6,0,1,0.0,0,0,,1,7,8,1,0,3,1,1,6,7.9,0
11,61,62,12.0,2020-03-04,23,CLE,,BOS,L (-6),0,16,1,1,1.0,0,0,,0,0,,0,2,2,1,0,1,0,1,2,3.3,-8
12,62,1,1.0,2020-12-23,24,CLE,,CHO,W (+7),0,16,3,4,0.75,1,2,0.5,0,0,,0,0,0,3,3,0,2,3,7,7.3,2
13,64,3,2.0,2020-12-27,24,CLE,,PHI,W (+24),0,14,1,4,0.25,1,3,0.333,0,0,,1,3,4,0,0,1,1,2,3,1.1,-7
15,66,5,4.0,2020-12-31,24,CLE,@,IND,L (-20),0,6,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,1,0,-0.4,-11
16,67,6,5.0,2021-01-02,24,CLE,@,ATL,W (+5),0,9,0,2,0.0,0,2,0.0,0,0,,0,1,1,0,0,0,0,1,0,-1.5,2
17,68,7,6.0,2021-01-04,24,CLE,@,ORL,L (-20),0,15,0,4,0.0,0,3,0.0,0,0,,0,1,1,0,0,0,0,0,0,-2.5,-3
18,69,8,7.0,2021-01-06,24,CLE,@,ORL,L (-11),0,13,0,2,0.0,0,1,0.0,2,2,1.0,0,0,0,0,0,0,0,0,2,0.6,7
19,70,9,8.0,2021-01-07,24,CLE,@,MEM,W (+4),0,12,2,2,1.0,2,2,1.0,0,0,,0,1,1,2,0,0,0,1,6,6.7,-1
20,71,10,9.0,2021-01-09,24,CLE,@,MIL,L (-10),0,15,3,3,1.0,1,1,1.0,0,0,,0,3,3,0,0,0,0,0,7,7.0,5
21,72,11,10.0,2021-01-11,24,CLE,,MEM,L (-10),0,14,0,3,0.0,0,1,0.0,0,0,,2,2,4,0,0,0,1,1,0,-1.5,-9
22,73,12,11.0,2021-01-12,24,CLE,,UTA,L (-30),0,19,2,6,0.333,2,5,0.4,0,0,,0,3,3,2,1,0,0,0,6,5.9,-8
25,77,16,14.0,2021-01-24,24,CLE,@,BOS,L (-38),0,8,0,0,,0,0,,0,0,,0,0,0,2,0,0,0,0,0,1.4,-11
27,80,19,16.0,2021-01-29,24,CLE,@,NYK,L (-21),0,6,0,2,0.0,0,1,0.0,0,0,,0,0,0,0,0,0,2,1,0,-3.8,-4
30,85,24,19.0,2021-02-06,24,CLE,,MIL,L (-25),0,5,0,2,0.0,0,2,0.0,0,0,,0,1,1,0,0,0,0,1,0,-1.5,-3
