,Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
0,0,1,1.0,2011-12-26,25,CHA,,MIL,W (+1),1,22,3,6,0.5,0,0,,2,2,1.0,0,5,5,1,0,1,0,0,8,7.9,5
1,1,2,2.0,2011-12-28,25,CHA,,MIA,L (-1),1,35,3,8,0.375,0,0,,2,4,0.5,4,7,11,1,0,3,0,4,8,8.9,-7
2,2,3,3.0,2011-12-30,25,CHA,,ORL,L (-21),1,18,4,9,0.444,0,0,,0,0,,0,1,1,0,1,0,1,0,8,3.6,-11
3,3,4,4.0,2012-01-01,25,CHA,@,MIA,L (-39),1,27,10,12,0.833,1,1,1.0,0,0,,1,2,3,1,2,1,1,3,21,19.1,-19
4,4,5,5.0,2012-01-03,25,CHA,@,CLE,L (-14),1,31,5,6,0.833,0,0,,0,0,,1,6,7,2,0,0,0,5,10,9.7,-4
5,5,6,6.0,2012-01-04,25,CHA,@,NYK,W (+8),1,33,5,8,0.625,0,0,,0,0,,3,6,9,0,1,0,0,3,10,10.1,3
6,6,7,7.0,2012-01-06,25,CHA,,ATL,L (-6),1,28,7,15,0.467,0,0,,0,0,,4,5,9,0,0,1,2,3,14,8.1,-1
7,7,8,8.0,2012-01-07,25,CHA,@,IND,L (-22),0,19,1,5,0.2,0,0,,0,0,,1,2,3,0,1,1,0,1,2,1.5,-1
8,8,9,9.0,2012-01-09,25,CHA,@,NYK,L (-4),0,25,7,11,0.636,0,0,,1,2,0.5,2,5,7,1,0,0,2,5,15,9.3,0
9,9,10,10.0,2012-01-10,25,CHA,,HOU,L (-12),0,26,4,10,0.4,0,0,,1,2,0.5,2,4,6,2,0,1,2,0,9,5.9,5
10,10,11,11.0,2012-01-12,25,CHA,@,ATL,L (-30),0,22,2,5,0.4,0,0,,0,0,,0,2,2,2,0,0,2,4,4,-0.3,-23
11,11,12,12.0,2012-01-13,25,CHA,,DET,L (-17),0,30,4,9,0.444,0,0,,2,2,1.0,1,5,6,0,0,0,0,1,10,7.1,-6
12,13,14,13.0,2012-01-16,25,CHA,,CLE,L (-8),0,32,7,9,0.778,0,0,,1,2,0.5,2,3,5,2,0,0,0,3,15,13.6,-5
13,15,16,14.0,2012-01-21,25,CHA,@,CHI,L (-6),0,8,1,3,0.333,0,0,,2,2,1.0,2,0,2,1,0,0,0,0,4,4.4,5
14,18,19,15.0,2012-01-25,25,CHA,@,WAS,L (-17),0,9,1,4,0.25,0,0,,0,0,,0,1,1,0,0,0,1,1,2,-1.5,-7
15,21,22,16.0,2012-01-31,25,CHA,@,LAL,L (-33),0,20,3,8,0.375,0,0,,1,2,0.5,1,1,2,2,1,0,0,2,7,4.8,-19
16,22,23,17.0,2012-02-01,25,CHA,@,POR,L (-44),0,14,0,2,0.0,0,0,,2,2,1.0,0,3,3,0,0,2,2,1,2,0.5,-6
17,23,24,18.0,2012-02-04,25,CHA,@,PHO,L (-6),0,10,0,1,0.0,0,0,,0,0,,0,1,1,0,0,0,1,4,0,-3.0,-7
