,Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
0,1,2,1.0,2011-12-28,31,DET,,CLE,L (-16),0,5,0,0,,0,0,,0,0,,0,2,2,0,0,0,0,1,0,0.2,3
1,2,3,2.0,2011-12-30,31,DET,@,BOS,L (-11),0,12,2,3,0.667,0,1,0.0,0,0,,0,1,1,0,0,0,0,1,4,2.6,4
2,3,4,3.0,2011-12-31,31,DET,,IND,W (+8),0,9,0,2,0.0,0,0,,0,0,,1,0,1,1,0,0,0,2,0,-0.8,-11
3,4,5,4.0,2012-01-02,31,DET,,ORL,W (+11),0,11,0,2,0.0,0,0,,0,0,,0,1,1,2,0,1,0,1,0,0.6,-1
4,5,6,5.0,2012-01-04,31,DET,,CHI,L (-16),0,30,5,7,0.714,0,0,,0,0,,1,2,3,3,2,0,0,3,10,11.3,-2
5,6,7,6.0,2012-01-06,31,DET,@,PHI,L (-23),0,23,1,4,0.25,0,0,,0,0,,2,2,4,1,1,0,2,2,2,0.5,-14
6,7,8,7.0,2012-01-07,31,DET,,NYK,L (-23),0,25,3,5,0.6,0,2,0.0,1,2,0.5,2,2,4,3,1,0,3,2,7,5.6,0
7,8,9,8.0,2012-01-09,31,DET,@,CHI,L (-24),0,24,2,3,0.667,0,0,,1,2,0.5,1,5,6,1,0,1,2,2,5,4.1,-5
8,9,10,9.0,2012-01-10,31,DET,,DAL,L (-14),0,22,4,8,0.5,0,1,0.0,0,0,,0,0,0,1,0,1,2,3,8,2.2,4
9,10,11,10.0,2012-01-12,32,DET,@,MIL,L (-9),0,12,0,2,0.0,0,0,,2,2,1.0,0,1,1,0,1,0,2,0,2,-0.1,10
10,11,12,11.0,2012-01-13,32,DET,@,CHA,W (+17),0,16,3,4,0.75,1,1,1.0,0,0,,0,1,1,3,1,0,2,2,7,6.0,-1
