,Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
0,17,18,1.0,2010-12-01,21,TOR,,WAS,W (+19),0,24,5,7,0.714,0,0,,1,2,0.5,4,2,6,0,0,2,0,3,11,11.3,6
1,18,19,2.0,2010-12-03,21,TOR,,OKC,W (+12),0,18,3,5,0.6,0,0,,0,0,,0,4,4,2,0,0,0,2,6,5.5,-2
2,19,20,3.0,2010-12-05,21,TOR,,NYK,L (-17),0,17,2,3,0.667,0,0,,2,6,0.333,2,6,8,0,1,0,1,2,6,5.5,6
3,20,21,4.0,2010-12-06,21,TOR,@,IND,L (-24),0,19,3,8,0.375,0,0,,0,0,,4,3,7,0,0,0,0,3,6,4.1,-6
4,21,22,5.0,2010-12-08,21,TOR,@,NYK,L (-3),0,10,0,3,0.0,0,0,,0,0,,1,4,5,0,1,0,0,2,0,0.0,-1
5,22,23,6.0,2010-12-10,21,TOR,,DEN,L (-7),0,15,2,3,0.667,0,0,,0,0,,1,1,2,0,0,1,0,1,4,4.0,-4
6,23,24,7.0,2010-12-11,21,TOR,@,DET,W (+4),0,12,1,3,0.333,0,0,,1,2,0.5,1,4,5,0,0,2,2,3,3,1.0,3
7,24,25,8.0,2010-12-14,21,TOR,@,CHA,L (-6),0,25,3,5,0.6,0,0,,0,0,,4,2,6,1,0,1,1,5,6,5.5,1
8,25,26,9.0,2010-12-15,21,TOR,,CHI,L (-17),1,32,5,9,0.556,0,0,,0,0,,5,5,10,2,1,1,1,3,10,11.6,-24
9,26,27,10.0,2010-12-17,21,TOR,,NJN,W (+6),0,18,0,3,0.0,0,0,,0,0,,1,5,6,0,0,0,1,3,0,-2.1,-2
10,27,28,11.0,2010-12-19,21,TOR,,LAL,L (-10),1,17,0,3,0.0,0,0,,0,0,,2,1,3,0,0,0,0,1,0,-0.8,-5
11,28,29,12.0,2010-12-22,21,TOR,,DET,L (-22),0,23,4,5,0.8,0,0,,2,3,0.667,0,3,3,0,0,1,0,1,10,8.9,0
12,29,30,13.0,2010-12-27,21,TOR,@,MEM,L (-11),0,24,2,4,0.5,0,0,,0,0,,2,2,4,0,1,1,1,2,4,3.9,-11
13,30,31,14.0,2010-12-28,21,TOR,@,DAL,W (+8),0,31,6,8,0.75,0,0,,5,8,0.625,4,8,12,0,3,3,0,2,17,22.1,2
14,31,32,15.0,2010-12-31,21,TOR,@,HOU,L (-9),0,21,1,6,0.167,0,0,,0,0,,3,4,7,0,1,1,1,2,2,1.4,-11
15,32,33,16.0,2011-01-02,21,TOR,,BOS,L (-14),0,21,3,5,0.6,0,0,,0,1,0.0,4,5,9,1,0,0,1,2,6,6.5,3
16,33,34,17.0,2011-01-04,21,TOR,@,CHI,L (-20),0,18,2,3,0.667,0,0,,0,1,0.0,1,1,2,0,1,2,3,5,4,0.7,-4
17,34,35,18.0,2011-01-05,21,TOR,@,CLE,W (+15),0,24,3,3,1.0,0,0,,2,3,0.667,3,4,7,0,0,3,1,5,8,9.1,3
18,35,36,19.0,2011-01-07,21,TOR,@,BOS,L (-20),0,24,4,6,0.667,0,0,,0,2,0.0,1,1,2,0,1,2,0,3,8,6.8,-13
19,36,37,20.0,2011-01-09,21,TOR,,SAC,W (+6),0,15,0,1,0.0,0,0,,2,2,1.0,0,2,2,2,1,3,0,1,2,6.0,-1
