,Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
0,9,10,1.0,2018-11-04,19,POR,,MIN,W (+30),0,7,1,4,0.25,0,1,0.0,0,0,,0,2,2,0,0,0,1,0,2,-0.8,-2
1,14,15,2.0,2018-11-16,19,POR,@,MIN,L (-16),0,6,3,5,0.6,2,2,1.0,0,0,,0,1,1,0,0,0,0,0,8,6.0,8
2,24,25,3.0,2018-12-06,19,POR,,PHO,W (+22),0,7,0,4,0.0,0,2,0.0,0,2,0.0,0,1,1,0,0,0,0,1,0,-3.7,-9
4,42,43,5.0,2019-01-11,19,POR,,CHO,W (+31),0,7,1,4,0.25,1,3,0.333,0,0,,0,0,0,1,0,1,0,0,3,2.0,0
10,70,71,11.0,2019-03-20,20,POR,,DAL,W (+8),0,7,0,1,0.0,0,1,0.0,0,0,,0,1,1,0,0,0,1,1,0,-1.8,-1
13,77,78,14.0,2019-04-03,20,POR,,MEM,W (+27),0,7,0,3,0.0,0,2,0.0,0,0,,1,0,1,1,0,0,1,0,0,-1.7,3
14,81,82,15.0,2019-04-10,20,POR,,SAC,W (+5),1,48,8,19,0.421,1,5,0.2,2,3,0.667,0,2,2,3,1,1,1,1,19,11.5,5
18,88,7,4.0,2019-11-04,20,POR,@,GSW,L (-9),0,5,0,2,0.0,0,1,0.0,0,0,,0,1,1,1,1,0,0,0,0,0.6,-2
19,90,9,5.0,2019-11-08,20,POR,,BRK,L (-4),0,13,1,3,0.333,1,3,0.333,0,0,,1,1,2,0,0,0,1,0,3,1.3,-11
20,91,10,6.0,2019-11-10,20,POR,,ATL,W (+11),0,16,3,8,0.375,1,4,0.25,0,0,,2,3,5,1,0,0,0,2,7,4.8,-1
21,92,11,7.0,2019-11-12,20,POR,@,SAC,L (-8),0,14,2,5,0.4,2,4,0.5,0,0,,0,1,1,1,0,0,0,1,6,3.9,-2
24,97,16,10.0,2019-11-21,20,POR,@,MIL,L (-8),1,21,5,7,0.714,3,4,0.75,0,0,,0,1,1,2,1,2,0,2,13,13.4,3
25,98,17,11.0,2019-11-23,20,POR,@,CLE,L (-6),0,7,2,4,0.5,2,4,0.5,0,0,,0,0,0,0,0,0,0,0,6,4.0,-2
26,106,25,12.0,2019-12-10,20,POR,,NYK,W (+28),0,10,0,5,0.0,0,3,0.0,0,0,,0,3,3,0,1,0,1,1,0,-3.0,14
27,107,26,13.0,2019-12-12,20,POR,@,DEN,L (-15),0,5,0,3,0.0,0,0,,0,0,,0,1,1,0,0,0,0,0,0,-1.8,-6
28,108,27,14.0,2019-12-16,20,POR,@,PHO,W (+1),0,13,0,1,0.0,0,1,0.0,0,0,,0,1,1,1,0,0,0,2,0,-0.5,-9
29,109,28,15.0,2019-12-18,20,POR,,GSW,W (+10),0,21,2,7,0.286,1,5,0.2,2,2,1.0,2,1,3,1,1,1,2,2,7,4.2,3
30,110,29,16.0,2019-12-20,20,POR,,ORL,W (+15),0,18,2,4,0.5,2,3,0.667,0,0,,0,1,1,0,0,0,1,2,6,2.5,-6
31,111,30,17.0,2019-12-21,20,POR,,MIN,W (+7),0,15,1,3,0.333,1,3,0.333,2,2,1.0,0,1,1,1,0,0,1,2,5,2.5,-3
32,112,31,18.0,2019-12-23,20,POR,,NOP,L (-8),0,17,1,4,0.25,0,2,0.0,0,0,,0,2,2,1,1,0,0,1,2,1.5,8
33,113,32,19.0,2019-12-26,20,POR,@,UTA,L (-6),0,17,2,4,0.5,1,2,0.5,0,0,,0,0,0,0,1,0,0,0,5,4.0,16
34,114,33,20.0,2019-12-28,20,POR,,LAL,L (-8),0,9,1,1,1.0,1,1,1.0,0,0,,0,0,0,0,1,0,0,1,3,3.3,-3
35,115,34,21.0,2019-12-30,20,POR,,PHO,L (-6),0,22,4,10,0.4,3,6,0.5,0,0,,0,1,1,2,1,0,0,2,11,7.5,1
36,116,35,22.0,2020-01-01,20,POR,@,NYK,L (-24),0,14,2,3,0.667,1,2,0.5,0,0,,0,0,0,0,0,0,0,0,5,3.7,-10
37,117,36,23.0,2020-01-03,20,POR,@,WAS,W (+19),0,20,3,7,0.429,0,3,0.0,0,0,,0,0,0,0,0,0,0,0,6,2.3,-7
38,118,37,24.0,2020-01-05,20,POR,@,MIA,L (-11),1,17,2,7,0.286,2,5,0.4,0,0,,0,0,0,0,0,0,0,0,6,1.9,-8
39,119,38,25.0,2020-01-07,20,POR,@,TOR,W (+2),0,12,1,3,0.333,0,2,0.0,0,0,,0,0,0,1,0,2,1,0,2,1.4,-5
40,120,39,26.0,2020-01-09,20,POR,@,MIN,L (-14),0,25,4,9,0.444,3,6,0.5,2,2,1.0,1,1,2,1,3,0,0,3,13,11.8,7
41,121,40,27.0,2020-01-11,20,POR,,MIL,L (-21),0,17,0,4,0.0,0,0,,0,0,,0,3,3,2,1,0,0,1,0,0.1,-1
42,122,41,28.0,2020-01-13,20,POR,,CHO,W (+3),0,22,1,6,0.167,1,4,0.25,2,2,1.0,2,4,6,2,0,0,0,1,5,4.8,11
43,123,42,29.0,2020-01-15,20,POR,@,HOU,W (+10),0,15,2,4,0.5,1,3,0.333,0,0,,0,2,2,1,0,0,1,2,5,2.5,-3
