,Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
0,0,1,1.0,2012-10-31,20,GSW,@,PHO,W (+2),1,14,2,5,0.4,0,0,,2,2,1.0,2,1,3,1,0,0,0,1,6,5.3,-2
1,1,2,2.0,2012-11-02,20,GSW,,MEM,L (-10),1,23,3,7,0.429,2,5,0.4,0,0,,0,0,0,1,0,0,2,5,8,1.0,-11
2,2,3,3.0,2012-11-03,20,GSW,@,LAC,W (+4),1,20,4,6,0.667,0,0,,2,2,1.0,0,1,1,1,0,0,0,5,10,6.4,3
3,3,4,4.0,2012-11-05,20,GSW,@,SAC,L (-2),1,30,3,8,0.375,0,3,0.0,0,0,,0,2,2,4,1,0,1,2,6,4.2,2
4,4,5,5.0,2012-11-07,20,GSW,,CLE,W (+10),1,30,5,9,0.556,1,2,0.5,3,5,0.6,1,1,2,1,1,0,2,3,14,8.4,-6
5,5,6,6.0,2012-11-09,20,GSW,@,LAL,L (-24),1,29,3,8,0.375,1,3,0.333,0,0,,0,4,4,0,1,0,3,4,7,0.2,-19
6,6,7,7.0,2012-11-10,20,GSW,,DEN,L (-6),1,19,2,5,0.4,1,1,1.0,2,4,0.5,3,2,5,1,0,1,1,3,7,5.4,-1
7,7,8,8.0,2012-11-14,20,GSW,,ATL,W (+4),1,40,6,11,0.545,1,2,0.5,6,8,0.75,3,10,13,1,1,0,3,2,19,15.9,-5
8,8,9,9.0,2012-11-16,20,GSW,@,MIN,W (+8),1,35,8,15,0.533,0,2,0.0,2,2,1.0,2,7,9,1,0,0,1,2,18,13.1,11
9,9,10,10.0,2012-11-18,20,GSW,@,OKC,L (-10),1,30,5,11,0.455,0,2,0.0,2,2,1.0,0,1,1,3,2,0,2,0,12,8.7,-24
10,10,11,11.0,2012-11-19,20,GSW,@,DAL,W (+4),1,40,8,16,0.5,4,6,0.667,0,2,0.0,2,10,12,0,1,0,2,1,20,14.2,8
11,11,12,12.0,2012-11-21,20,GSW,,BRK,W (+9),1,28,3,7,0.429,1,2,0.5,2,3,0.667,0,5,5,1,0,0,1,2,9,5.3,5
12,12,13,13.0,2012-11-23,20,GSW,@,DEN,L (-11),1,15,1,5,0.2,0,2,0.0,2,2,1.0,0,2,2,1,1,0,2,5,4,-0.8,0
13,13,14,14.0,2012-11-24,20,GSW,,MIN,W (+11),1,39,4,7,0.571,0,1,0.0,2,4,0.5,0,11,11,2,0,0,1,1,10,9.2,17
14,14,15,15.0,2012-11-29,20,GSW,,DEN,W (+1),1,17,1,7,0.143,0,0,,0,0,,0,2,2,2,1,0,0,0,2,0.5,-5
15,15,16,16.0,2012-12-01,20,GSW,,IND,W (+11),1,29,2,4,0.5,0,1,0.0,2,3,0.667,0,5,5,1,0,0,1,0,6,4.8,-2
16,16,17,17.0,2012-12-03,20,GSW,,ORL,L (-8),1,35,4,8,0.5,1,2,0.5,0,2,0.0,0,4,4,2,1,2,1,1,9,7.8,0
17,17,18,18.0,2012-12-05,20,GSW,@,DET,W (+7),1,30,2,7,0.286,0,3,0.0,6,6,1.0,0,5,5,3,0,0,1,0,10,8.5,15
18,18,19,19.0,2012-12-07,20,GSW,@,BRK,W (+7),1,23,2,5,0.4,0,1,0.0,2,2,1.0,0,3,3,2,1,0,0,4,6,5.0,-3
19,19,20,20.0,2012-12-08,20,GSW,@,WAS,W (+4),1,24,1,7,0.143,1,2,0.5,0,2,0.0,1,5,6,4,1,0,2,1,3,1.3,-2
20,20,21,21.0,2012-12-10,20,GSW,@,CHA,W (+8),1,22,2,7,0.286,1,3,0.333,1,2,0.5,1,2,3,3,0,0,2,3,6,1.7,18
21,21,22,22.0,2012-12-12,20,GSW,@,MIA,W (+2),1,18,3,8,0.375,0,1,0.0,2,4,0.5,1,2,3,1,2,0,0,1,8,6.4,3
22,22,23,23.0,2012-12-14,20,GSW,@,ORL,L (-14),1,17,2,8,0.25,0,1,0.0,1,1,1.0,1,1,2,2,0,1,0,0,5,3.3,-9
23,23,24,24.0,2012-12-15,20,GSW,@,ATL,W (+22),1,31,8,14,0.571,3,4,0.75,0,0,,0,3,3,1,1,0,0,3,19,13.8,19
24,24,25,25.0,2012-12-18,20,GSW,,NOH,W (+7),1,19,0,5,0.0,0,1,0.0,0,0,,0,2,2,1,0,1,0,1,0,-1.9,2
25,25,26,26.0,2012-12-19,20,GSW,@,SAC,L (-4),1,16,2,6,0.333,0,2,0.0,0,0,,0,1,1,0,0,0,1,3,4,-1.3,-9
26,26,27,27.0,2012-12-21,20,GSW,,CHA,W (+15),1,28,0,7,0.0,0,2,0.0,4,6,0.667,1,2,3,0,2,0,2,1,4,-0.8,13
27,27,28,28.0,2012-12-22,20,GSW,,LAL,L (-3),1,29,6,13,0.462,1,4,0.25,0,0,,3,1,4,1,3,0,0,2,13,11.6,-4
28,28,29,29.0,2012-12-26,20,GSW,@,UTA,W (+11),1,16,2,5,0.4,1,2,0.5,2,2,1.0,0,2,2,0,0,1,0,0,7,5.6,-3
29,29,30,30.0,2012-12-28,20,GSW,,PHI,W (+7),1,16,4,8,0.5,0,1,0.0,2,2,1.0,0,2,2,0,0,0,2,0,10,4.6,-4
30,30,31,31.0,2012-12-29,20,GSW,,BOS,W (+18),1,26,5,6,0.833,3,4,0.75,2,2,1.0,0,8,8,0,0,0,2,0,15,13.2,14
31,31,32,32.0,2013-01-02,20,GSW,,LAC,W (+21),1,25,5,13,0.385,1,2,0.5,2,3,0.667,1,8,9,4,1,1,1,0,13,12.1,29
32,32,33,33.0,2013-01-05,20,GSW,@,LAC,L (-26),1,22,5,9,0.556,0,1,0.0,1,2,0.5,0,2,2,3,0,1,1,1,11,8.3,-22
33,33,34,34.0,2013-01-09,20,GSW,,MEM,L (-7),1,27,3,5,0.6,1,1,1.0,0,0,,0,3,3,1,1,1,1,3,7,5.8,-7
34,34,35,35.0,2013-01-11,20,GSW,,POR,W (+6),1,31,5,9,0.556,1,2,0.5,2,2,1.0,0,7,7,1,2,0,2,3,13,10.3,3
35,35,36,36.0,2013-01-13,20,GSW,@,DEN,L (-11),1,29,8,11,0.727,5,6,0.833,0,0,,0,6,6,0,1,0,2,2,21,16.5,-8
36,36,37,37.0,2013-01-16,20,GSW,,MIA,L (-17),1,23,3,12,0.25,1,3,0.333,2,2,1.0,3,3,6,3,0,0,1,3,9,4.7,1
37,37,38,38.0,2013-01-18,20,GSW,@,SAS,L (-7),1,38,1,5,0.2,0,2,0.0,2,2,1.0,0,8,8,2,1,0,1,0,4,4.7,-10
38,38,39,39.0,2013-01-19,20,GSW,@,NOH,W (+4),1,18,1,2,0.5,0,1,0.0,0,1,0.0,0,1,1,2,1,0,4,2,2,-1.5,-2
