,Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
3,28,29,4.0,2018-12-15,19,LAL,@,CHO,W (+28),0,6,1,3,0.333,0,0,,0,0,,1,0,1,1,2,0,0,1,2,3.3,-6
5,39,40,6.0,2019-01-06,19,LAL,@,MIN,L (-22),0,5,0,1,0.0,0,0,,0,0,,0,0,0,1,0,0,0,0,0,0.0,3
6,47,48,7.0,2019-01-21,19,LAL,,GSW,L (-19),0,7,0,1,0.0,0,1,0.0,2,4,0.5,1,0,1,1,0,0,0,0,2,1.9,5
9,65,66,10.0,2019-03-09,19,LAL,,BOS,L (-13),0,6,0,0,,0,0,,0,0,,0,1,1,0,0,1,1,0,0,0.0,-9
10,68,69,11.0,2019-03-15,19,LAL,@,DET,L (-14),0,5,0,3,0.0,0,1,0.0,0,0,,1,2,3,0,0,0,0,0,0,-0.8,-2
14,74,75,15.0,2019-03-27,19,LAL,@,UTA,L (-15),0,11,1,3,0.333,0,1,0.0,0,0,,0,3,3,1,1,0,0,1,2,2.5,3
16,76,77,17.0,2019-03-31,19,LAL,@,NOP,W (+28),0,11,1,6,0.167,0,2,0.0,0,0,,1,2,3,1,2,0,0,1,2,1.8,14
18,78,79,19.0,2019-04-04,19,LAL,,GSW,L (-18),0,9,1,1,1.0,0,0,,2,4,0.5,1,2,3,2,1,1,0,0,4,7.3,5
19,79,80,20.0,2019-04-05,19,LAL,@,LAC,W (+5),0,13,0,3,0.0,0,1,0.0,1,2,0.5,1,1,2,2,1,1,0,2,1,1.8,8
20,80,81,21.0,2019-04-07,19,LAL,,UTA,W (+4),0,19,0,4,0.0,0,1,0.0,0,0,,1,1,2,2,1,0,2,2,0,-2.2,-2
21,81,82,22.0,2019-04-09,19,LAL,,POR,L (-3),0,9,0,1,0.0,0,0,,0,0,,1,0,1,0,0,1,0,0,0,0.7,-5
22,82,1,1.0,2019-10-23,19,WAS,@,DAL,L (-8),1,23,4,5,0.8,1,2,0.5,0,1,0.0,1,2,3,2,1,1,1,4,9,8.5,0
23,83,2,2.0,2019-10-25,19,WAS,@,OKC,W (+12),1,24,2,4,0.5,0,1,0.0,2,2,1.0,0,6,6,2,2,0,0,5,6,7.2,-1
24,84,3,3.0,2019-10-26,19,WAS,@,SAS,L (-2),1,26,2,4,0.5,0,0,,0,1,0.0,1,5,6,4,1,0,0,3,4,6.4,7
25,85,4,4.0,2019-10-30,19,WAS,,HOU,L (-1),1,25,3,4,0.75,0,0,,0,0,,2,1,3,2,0,0,2,5,6,3.5,-16
26,86,5,5.0,2019-11-02,19,WAS,,MIN,L (-22),1,18,0,5,0.0,0,1,0.0,3,4,0.75,1,2,3,1,2,0,1,2,3,1.3,-5
27,87,6,6.0,2019-11-04,19,WAS,,DET,W (+16),1,23,2,5,0.4,0,1,0.0,1,1,1.0,1,2,3,1,0,0,0,0,5,4.3,16
28,88,7,7.0,2019-11-06,19,WAS,@,IND,L (-15),1,11,0,2,0.0,0,0,,0,0,,1,2,3,0,1,0,2,2,0,-1.9,-6
31,96,15,10.0,2019-11-26,20,WAS,@,DEN,L (-13),0,6,1,1,1.0,0,0,,0,0,,0,1,1,1,0,0,0,1,2,2.3,6
33,98,17,12.0,2019-11-29,20,WAS,@,LAL,L (-22),0,17,2,5,0.4,2,3,0.667,0,0,,1,2,3,0,0,0,1,0,6,3.6,0
34,99,18,13.0,2019-12-01,20,WAS,@,LAC,L (-25),0,19,3,4,0.75,0,1,0.0,1,1,1.0,2,1,3,3,1,0,0,4,7,8.6,-2
35,100,19,14.0,2019-12-03,20,WAS,,ORL,L (-7),1,17,1,1,1.0,0,0,,0,0,,1,5,6,1,1,0,1,2,2,3.8,6
36,101,20,15.0,2019-12-05,20,WAS,,PHI,W (+6),1,20,0,1,0.0,0,1,0.0,2,2,1.0,0,1,1,2,2,1,1,2,2,3.9,4
37,102,21,16.0,2019-12-06,20,WAS,@,MIA,L (-9),1,15,3,3,1.0,0,0,,1,1,1.0,0,2,2,3,0,0,0,3,7,7.6,2
38,103,22,17.0,2019-12-08,20,WAS,,LAC,L (-16),1,13,0,3,0.0,0,2,0.0,0,0,,0,0,0,1,0,0,0,2,0,-2.2,-14
39,104,23,18.0,2019-12-10,20,WAS,@,CHO,L (-7),1,14,0,3,0.0,0,2,0.0,0,0,,1,0,1,1,1,1,1,3,0,-1.2,6
