,Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
0,0,1,1.0,2011-12-26,22,SAC,,LAL,W (+9),0,13,2,4,0.5,1,1,1.0,0,0,,0,2,2,2,0,0,0,0,5,5.0,4
1,1,2,2.0,2011-12-27,22,SAC,@,POR,L (-22),0,12,1,6,0.167,1,2,0.5,3,4,0.75,1,0,1,0,0,0,0,2,6,1.7,-16
3,3,4,4.0,2011-12-31,22,SAC,,NYK,L (-22),0,8,0,2,0.0,0,1,0.0,7,10,0.7,1,1,2,1,1,1,0,0,7,7.8,-4
4,4,5,5.0,2012-01-01,22,SAC,,NOH,W (+16),0,5,0,0,,0,0,,0,0,,0,0,0,0,0,0,1,0,0,-1.0,-2
5,5,6,6.0,2012-01-03,22,SAC,@,MEM,L (-17),0,16,4,10,0.4,2,5,0.4,5,5,1.0,1,4,5,3,1,0,2,0,15,12.6,-1
6,6,7,7.0,2012-01-04,22,SAC,@,DEN,L (-27),0,28,2,9,0.222,0,5,0.0,0,0,,0,2,2,1,3,1,4,0,4,-0.5,-13
8,8,9,9.0,2012-01-08,22,SAC,,ORL,L (-7),0,5,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,-5
9,9,10,10.0,2012-01-10,22,SAC,@,PHI,L (-27),0,26,3,8,0.375,1,4,0.25,0,0,,0,0,0,2,1,0,2,1,7,2.6,-18
10,10,11,11.0,2012-01-11,22,SAC,@,TOR,W (+7),0,24,6,12,0.5,3,6,0.5,5,5,1.0,0,3,3,6,1,0,2,2,20,17.3,10
11,11,12,12.0,2012-01-13,22,SAC,@,HOU,L (-14),0,27,4,9,0.444,1,4,0.25,4,4,1.0,1,1,2,5,1,0,3,1,13,10.4,3
12,12,13,13.0,2012-01-14,22,SAC,@,DAL,L (-39),0,10,1,6,0.167,0,2,0.0,0,0,,0,1,1,0,0,0,2,0,2,-3.5,-12
13,14,15,14.0,2012-01-18,22,SAC,,IND,W (+4),0,20,1,4,0.25,0,2,0.0,6,8,0.75,1,0,1,1,2,0,1,1,8,6.8,17
14,15,16,15.0,2012-01-20,22,SAC,@,SAS,W (+2),0,13,0,4,0.0,0,4,0.0,0,0,,0,0,0,0,0,0,1,4,0,-5.4,-13
15,16,17,16.0,2012-01-21,22,SAC,@,MEM,L (-33),0,22,1,7,0.143,0,3,0.0,0,0,,1,4,5,5,0,0,1,0,2,1.9,-19
16,17,18,17.0,2012-01-23,22,SAC,@,POR,L (-12),0,28,3,12,0.25,1,5,0.2,4,4,1.0,2,1,3,8,1,0,1,2,11,10.3,4
17,18,19,18.0,2012-01-25,22,SAC,,DEN,L (-29),0,30,6,10,0.6,2,3,0.667,2,2,1.0,2,0,2,6,0,0,2,2,16,14.2,-17
18,19,20,19.0,2012-01-28,22,SAC,@,UTA,L (-3),0,19,5,6,0.833,3,3,1.0,0,0,,0,0,0,0,0,0,1,5,13,7.8,-1
19,20,21,20.0,2012-01-31,22,SAC,@,GSW,L (-3),0,27,4,8,0.5,3,5,0.6,0,0,,0,3,3,4,0,0,2,4,11,7.1,-4
