,Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,2,3,2.0,2016-10-29,21,BRK,@,MIL,L (-2),0,8,1,1,1.0,0,0,,1,2,0.5,0,0,0,1,1,0,2,3,3,0.8,-5
2,3,4,3.0,2016-10-31,21,BRK,,CHI,L (-30),0,21,3,11,0.273,0,2,0.0,0,0,,2,2,4,2,0,0,5,3,6,-3.3,-16
3,4,5,4.0,2016-11-02,21,BRK,,DET,W (+8),0,20,2,5,0.4,1,1,1.0,0,0,,0,4,4,4,0,0,5,4,5,-0.3,-3
4,5,6,5.0,2016-11-04,21,BRK,,CHO,L (-4),1,23,4,9,0.444,0,3,0.0,0,0,,1,1,2,3,2,2,3,5,8,4.8,-1
5,6,7,6.0,2016-11-08,21,BRK,,MIN,W (+9),1,26,2,5,0.4,0,1,0.0,2,2,1.0,2,5,7,7,0,1,2,1,6,9.4,11
6,10,11,7.0,2016-11-15,21,BRK,@,LAL,L (-7),0,9,2,4,0.5,0,1,0.0,0,0,,0,0,0,0,0,1,2,0,4,0.7,3
7,11,12,8.0,2016-11-18,21,BRK,@,OKC,L (-19),0,17,2,6,0.333,0,2,0.0,0,0,,0,1,1,4,1,0,1,1,4,3.3,1
8,12,13,9.0,2016-11-20,21,BRK,,POR,L (-20),1,24,2,10,0.2,1,4,0.25,6,6,1.0,0,1,1,2,1,1,0,1,11,7.8,-6
9,13,14,10.0,2016-11-23,21,BRK,,BOS,L (-19),1,24,2,8,0.25,0,0,,0,0,,0,4,4,3,0,1,2,2,4,0.4,0
10,14,15,11.0,2016-11-25,21,BRK,@,IND,L (-21),1,29,1,5,0.2,0,2,0.0,2,2,1.0,0,2,2,7,2,2,3,2,4,6.0,-7
11,15,16,12.0,2016-11-27,21,BRK,,SAC,L (-17),1,29,4,6,0.667,3,3,1.0,0,0,,0,4,4,2,0,0,3,2,11,7.2,9
12,16,17,13.0,2016-11-29,21,BRK,,LAC,W (+5),1,46,2,8,0.25,1,3,0.333,1,3,0.333,0,3,3,4,0,0,0,5,6,2.1,3
13,17,18,14.0,2016-12-01,21,BRK,,MIL,L (-18),1,31,3,8,0.375,0,2,0.0,2,2,1.0,0,0,0,4,2,1,2,4,8,5.5,-10
14,18,19,15.0,2016-12-03,21,BRK,@,MIL,L (-9),1,24,3,6,0.5,0,2,0.0,0,0,,0,3,3,0,0,0,3,3,6,-0.3,0
15,19,20,16.0,2016-12-05,21,BRK,,WAS,L (-5),1,24,3,8,0.375,0,0,,0,0,,0,4,4,5,0,0,3,3,6,2.1,-11
16,20,21,17.0,2016-12-07,21,BRK,,DEN,W (+5),1,29,5,11,0.455,2,5,0.4,2,3,0.667,0,2,2,2,4,1,2,2,14,11.8,13
17,21,22,18.0,2016-12-10,21,BRK,@,SAS,L (-29),1,23,3,9,0.333,1,4,0.25,0,0,,0,0,0,2,1,0,3,3,7,0.1,-16
18,22,23,19.0,2016-12-12,21,BRK,@,HOU,L (-4),1,24,6,8,0.75,0,1,0.0,1,2,0.5,0,2,2,5,0,0,3,3,13,9.3,-23
19,23,24,20.0,2016-12-14,21,BRK,,LAL,W (+10),1,24,3,4,0.75,0,0,,2,2,1.0,1,1,2,2,1,0,1,6,8,6.4,11
20,24,25,21.0,2016-12-16,21,BRK,@,ORL,L (-7),1,24,2,3,0.667,0,0,,0,0,,0,3,3,8,0,0,3,2,4,5.4,4
21,25,26,22.0,2016-12-18,21,BRK,@,PHI,L (-1),1,21,3,6,0.5,2,3,0.667,3,4,0.75,0,1,1,0,0,0,0,2,11,7.1,-9
22,29,30,23.0,2016-12-26,21,BRK,,CHO,W (+2),0,16,4,7,0.571,1,2,0.5,0,0,,0,2,2,3,1,1,4,4,9,4.5,1
23,30,31,24.0,2016-12-28,21,BRK,@,CHI,L (-2),1,19,2,4,0.5,0,1,0.0,0,0,,0,2,2,2,1,2,2,1,4,4.0,4
24,31,32,25.0,2016-12-30,21,BRK,@,WAS,L (-23),1,25,2,8,0.25,1,4,0.25,1,2,0.5,0,1,1,2,1,0,2,1,6,1.1,-19
25,32,33,26.0,2017-01-02,21,BRK,,UTA,L (-12),1,31,4,11,0.364,1,3,0.333,3,4,0.75,1,5,6,1,0,1,3,3,12,4.9,-6
26,33,34,27.0,2017-01-05,21,BRK,@,IND,L (-12),1,13,3,7,0.429,1,2,0.5,0,0,,0,2,2,1,0,1,1,3,7,3.1,-13
27,34,35,28.0,2017-01-06,21,BRK,,CLE,L (-8),0,30,4,10,0.4,0,1,0.0,2,3,0.667,1,9,10,3,1,0,4,4,10,5.1,-3
28,35,36,29.0,2017-01-08,21,BRK,,PHI,L (-10),1,21,2,6,0.333,1,2,0.5,0,0,,0,3,3,3,0,2,6,4,5,-1.6,4
29,36,37,30.0,2017-01-10,21,BRK,,ATL,L (-20),1,26,3,8,0.375,1,1,1.0,0,0,,1,1,2,3,0,2,1,3,7,4.9,-6
30,37,38,31.0,2017-01-12,21,BRK,,NOP,L (-9),1,16,2,7,0.286,0,2,0.0,0,0,,0,2,2,1,1,0,1,1,4,0.8,-2
31,39,40,32.0,2017-01-15,21,BRK,,HOU,L (-25),0,15,2,6,0.333,1,3,0.333,1,2,0.5,0,3,3,4,0,0,1,2,6,4.1,-7
32,40,41,33.0,2017-01-17,21,BRK,,TOR,L (-10),0,13,2,5,0.4,1,3,0.333,0,0,,0,1,1,2,0,0,0,3,5,2.8,4
33,41,42,34.0,2017-01-20,21,BRK,@,NOP,W (+29),0,29,3,8,0.375,0,2,0.0,1,2,0.5,1,2,3,2,2,1,2,3,7,4.4,36
34,42,43,35.0,2017-01-21,21,BRK,@,CHO,L (-7),0,23,1,2,0.5,1,1,1.0,0,0,,0,4,4,4,0,0,0,3,3,4.8,-9
35,43,44,36.0,2017-01-23,21,BRK,,SAS,L (-26),0,29,6,15,0.4,2,4,0.5,5,5,1.0,0,1,1,3,0,0,1,4,19,10.7,-20
36,44,45,37.0,2017-01-25,21,BRK,,MIA,L (-3),0,15,0,5,0.0,0,0,,2,2,1.0,0,3,3,0,0,1,2,3,2,-3.1,-8
37,45,46,38.0,2017-01-27,21,BRK,@,CLE,L (-8),0,24,4,9,0.444,2,2,1.0,6,6,1.0,0,3,3,3,0,0,0,0,16,14.3,15
38,46,47,39.0,2017-01-28,21,BRK,@,MIN,L (-20),0,27,3,9,0.333,0,2,0.0,4,4,1.0,0,2,2,8,2,1,3,1,10,10.4,-12
39,47,48,40.0,2017-01-30,21,BRK,@,MIA,L (-8),0,24,6,12,0.5,1,3,0.333,0,0,,2,2,4,5,0,1,0,3,13,12.0,7
40,48,49,41.0,2017-02-01,21,BRK,,NYK,L (-5),1,23,2,9,0.222,0,0,,0,0,,1,3,4,4,0,0,2,4,4,-0.7,11
41,49,50,42.0,2017-02-03,21,BRK,,IND,L (-9),1,14,0,4,0.0,0,2,0.0,0,0,,0,1,1,4,0,0,2,2,0,-2.5,-13
42,50,51,43.0,2017-02-05,21,BRK,,TOR,L (-8),1,15,1,4,0.25,0,1,0.0,0,0,,0,1,1,1,0,0,1,1,2,-0.8,-6
43,51,52,44.0,2017-02-07,21,BRK,@,CHO,L (-4),0,26,4,11,0.364,1,2,0.5,2,2,1.0,0,1,1,7,1,0,1,2,11,9.3,2
44,52,53,45.0,2017-02-08,21,BRK,,WAS,L (-4),0,21,2,6,0.333,1,2,0.5,2,2,1.0,0,2,2,2,0,0,2,2,7,2.8,-8
45,53,54,46.0,2017-02-10,21,BRK,,MIA,L (-9),0,16,3,9,0.333,0,2,0.0,0,0,,2,0,2,0,0,0,3,1,6,-1.1,-4
46,54,55,47.0,2017-02-13,21,BRK,,MEM,L (-9),0,17,3,5,0.6,1,2,0.5,0,0,,0,0,0,2,2,0,1,3,7,5.9,-8
47,55,56,48.0,2017-02-15,21,BRK,,MIL,L (-4),0,18,3,5,0.6,0,1,0.0,1,1,1.0,1,1,2,2,0,0,3,2,7,3.3,-9
48,56,57,49.0,2017-02-24,21,BRK,@,DEN,L (-20),0,19,4,7,0.571,2,3,0.667,2,2,1.0,0,2,2,3,0,0,4,3,12,6.2,-1
49,57,58,50.0,2017-02-25,21,BRK,@,GSW,L (-17),0,23,4,10,0.4,0,1,0.0,1,2,0.5,1,4,5,4,1,0,4,1,9,4.5,-6
50,58,59,51.0,2017-03-01,21,BRK,@,SAC,W (+9),0,18,3,4,0.75,1,2,0.5,7,7,1.0,0,2,2,0,0,0,4,2,14,8.2,6
51,59,60,52.0,2017-03-03,21,BRK,@,UTA,L (-15),0,25,3,12,0.25,1,4,0.25,0,0,,1,3,4,1,1,0,1,1,7,1.7,0
52,60,61,53.0,2017-03-04,21,BRK,@,POR,L (-14),0,23,3,5,0.6,0,1,0.0,0,0,,0,0,0,1,0,0,1,3,6,2.2,-6
53,61,62,54.0,2017-03-06,21,BRK,@,MEM,W (+13),0,23,5,8,0.625,2,4,0.5,3,3,1.0,1,1,2,1,2,1,2,1,15,13.4,-1
54,62,63,55.0,2017-03-08,22,BRK,@,ATL,L (-5),0,24,3,6,0.5,0,2,0.0,0,0,,0,3,3,2,0,1,3,5,6,1.0,1
55,63,64,56.0,2017-03-10,22,BRK,@,DAL,L (-9),0,25,8,12,0.667,3,6,0.5,5,5,1.0,0,0,0,1,0,0,3,4,24,14.9,0
56,64,65,57.0,2017-03-12,22,BRK,,NYK,W (+8),0,26,4,10,0.4,2,5,0.4,0,0,,0,3,3,2,2,0,1,3,10,6.7,6
57,65,66,58.0,2017-03-14,22,BRK,,OKC,L (-18),0,33,2,7,0.286,1,2,0.5,0,2,0.0,0,5,5,2,0,1,2,4,5,0.1,-15
58,66,67,59.0,2017-03-16,22,BRK,@,NYK,W (+11),0,21,4,6,0.667,0,2,0.0,0,0,,1,0,1,1,0,0,2,1,8,4.4,1
59,67,68,60.0,2017-03-17,22,BRK,,BOS,L (-3),0,23,0,8,0.0,0,3,0.0,2,2,1.0,0,2,2,1,0,3,1,1,2,-1.6,-4
60,68,69,61.0,2017-03-19,22,BRK,,DAL,L (-7),0,23,3,7,0.429,1,4,0.25,3,6,0.5,1,1,2,2,0,0,0,0,10,7.5,-7
61,69,70,62.0,2017-03-21,22,BRK,,DET,W (+2),0,28,2,9,0.222,0,0,,3,4,0.75,2,2,4,2,0,1,0,2,7,4.4,-4
62,70,71,63.0,2017-03-23,22,BRK,,PHO,W (+28),0,28,3,6,0.5,0,2,0.0,5,6,0.833,1,3,4,3,2,1,3,4,11,9.4,32
63,71,72,64.0,2017-03-24,22,BRK,@,WAS,L (-21),0,18,4,5,0.8,0,0,,2,2,1.0,0,2,2,2,0,0,2,1,10,7.7,-4
64,72,73,65.0,2017-03-26,22,BRK,@,ATL,W (+15),0,26,4,7,0.571,0,1,0.0,1,2,0.5,1,1,2,3,3,1,1,1,9,10.7,12
65,73,74,66.0,2017-03-28,22,BRK,,PHI,L (-5),0,26,1,5,0.2,1,3,0.333,0,0,,1,4,5,1,0,1,1,4,3,0.6,-13
66,74,75,67.0,2017-03-30,22,BRK,@,DET,L (-1),0,15,0,3,0.0,0,2,0.0,0,0,,1,2,3,0,1,0,1,2,0,-1.6,-7
67,75,76,68.0,2017-04-01,22,BRK,,ORL,W (+10),0,26,3,4,0.75,0,1,0.0,0,0,,1,0,1,5,1,0,0,1,6,9.2,16
68,76,77,69.0,2017-04-02,22,BRK,,ATL,W (+9),0,23,2,4,0.5,0,1,0.0,2,2,1.0,2,2,4,2,0,0,3,4,6,2.8,14
69,78,79,70.0,2017-04-06,22,BRK,@,ORL,L (-8),0,26,3,7,0.429,1,4,0.25,3,3,1.0,1,2,3,3,1,2,2,1,10,9.7,2
70,79,80,71.0,2017-04-08,22,BRK,,CHI,W (+1),0,20,2,5,0.4,0,1,0.0,0,0,,1,3,4,4,0,1,1,1,4,5.0,-1
71,80,81,72.0,2017-04-10,22,BRK,@,BOS,L (-9),0,26,3,8,0.375,0,2,0.0,0,2,0.0,0,1,1,4,1,0,1,1,6,3.5,-7
72,81,82,73.0,2017-04-12,22,BRK,@,CHI,L (-39),0,26,2,10,0.2,1,4,0.25,0,0,,0,3,3,2,0,0,3,3,5,-3.1,-22
73,82,7,1.0,2017-10-29,22,BRK,,DEN,L (-13),0,5,0,2,0.0,0,0,,0,0,,0,0,0,1,0,0,0,0,0,-0.7,3
74,83,11,2.0,2017-11-07,22,BRK,@,DEN,L (-8),0,15,2,6,0.333,1,1,1.0,0,0,,0,2,2,4,4,2,2,0,5,8.4,12
75,85,13,3.0,2017-11-11,22,BRK,@,UTA,L (-8),0,13,3,6,0.5,0,1,0.0,2,4,0.5,0,2,2,1,0,0,2,1,8,3.1,-15
76,86,14,4.0,2017-11-14,22,BRK,,BOS,L (-7),0,6,0,3,0.0,0,0,,0,0,,0,2,2,0,0,0,1,2,0,-3.3,2
77,87,15,5.0,2017-11-17,22,BRK,,UTA,W (+11),0,10,2,3,0.667,0,0,,1,2,0.5,0,1,1,2,0,0,4,3,5,-0.2,-7
78,88,20,6.0,2017-11-27,22,BRK,@,HOU,L (-14),0,28,10,16,0.625,1,5,0.2,3,4,0.75,0,3,3,3,1,0,5,5,24,13.4,-9
79,89,21,7.0,2017-11-29,22,BRK,@,DAL,W (+5),0,12,3,7,0.429,0,1,0.0,0,0,,1,0,1,2,0,0,2,2,6,1.6,1
81,93,25,9.0,2017-12-09,22,BRK,,MIA,L (-12),0,17,4,7,0.571,1,1,1.0,4,5,0.8,1,4,5,1,0,0,1,1,13,10.5,7
82,96,28,10.0,2017-12-15,22,BRK,@,TOR,L (-33),0,33,5,10,0.5,2,3,0.667,1,2,0.5,0,2,2,3,2,0,4,2,13,7.5,-10
83,97,50,11.0,2018-01-27,22,BRK,@,MIN,L (-14),0,10,3,6,0.5,2,2,1.0,0,0,,1,2,3,2,0,0,1,2,8,5.9,7
84,98,51,12.0,2018-01-30,22,BRK,@,NYK,L (-16),0,10,2,5,0.4,0,1,0.0,2,2,1.0,0,1,1,0,0,0,1,1,6,2.2,2
85,99,55,13.0,2018-02-06,22,BRK,,HOU,L (-10),0,6,2,4,0.5,0,0,,0,0,,0,0,0,0,0,0,0,3,4,0.8,4
86,100,56,14.0,2018-02-07,22,BRK,@,DET,L (-9),0,8,1,3,0.333,0,1,0.0,0,0,,0,2,2,0,1,0,0,0,2,1.9,-10
