,Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
0,0,1,1.0,2017-10-17,19,BOS,@,CLE,L (-3),1,37,5,12,0.417,1,2,0.5,3,3,1.0,4,6,10,3,0,0,1,4,14,11.7,8
1,1,2,2.0,2017-10-18,19,BOS,,MIL,L (-8),1,37,3,7,0.429,0,1,0.0,2,5,0.4,2,7,9,2,1,0,2,3,8,5.8,-15
2,2,3,3.0,2017-10-20,19,BOS,@,PHI,W (+10),1,33,3,8,0.375,0,2,0.0,9,9,1.0,2,6,8,0,0,3,3,3,15,11.7,-4
3,3,4,4.0,2017-10-24,19,BOS,,NYK,W (+21),1,31,9,15,0.6,4,6,0.667,0,0,,1,3,4,2,4,2,3,4,22,18.9,10
4,4,5,5.0,2017-10-26,19,BOS,@,MIL,W (+7),1,28,3,6,0.5,1,3,0.333,5,5,1.0,0,2,2,3,1,0,2,1,12,10.3,8
5,5,6,6.0,2017-10-28,19,BOS,@,MIA,W (+6),1,31,6,9,0.667,2,2,1.0,6,7,0.857,2,3,5,0,0,0,0,1,20,17.6,2
6,6,7,7.0,2017-10-30,19,BOS,,SAS,W (+14),1,35,2,7,0.286,2,4,0.5,1,2,0.5,0,11,11,2,0,3,2,3,7,6.1,12
7,7,8,8.0,2017-11-01,19,BOS,,SAC,W (+27),1,26,4,7,0.571,1,2,0.5,3,4,0.75,1,3,4,2,0,0,2,1,12,8.9,23
8,8,9,9.0,2017-11-03,19,BOS,@,OKC,W (+7),1,30,4,10,0.4,2,3,0.667,3,4,0.75,2,4,6,3,0,0,4,1,13,7.5,4
9,9,10,10.0,2017-11-05,19,BOS,@,ORL,W (+16),1,27,5,8,0.625,2,4,0.5,1,2,0.5,0,4,4,3,1,0,0,4,13,11.7,6
10,10,11,11.0,2017-11-06,19,BOS,@,ATL,W (+3),1,32,7,13,0.538,3,5,0.6,4,4,1.0,0,8,8,1,1,2,0,1,21,19.8,15
11,11,12,12.0,2017-11-08,19,BOS,,LAL,W (+11),1,9,1,2,0.5,0,0,,3,3,1.0,0,1,1,1,1,1,1,1,5,5.3,-1
12,12,13,13.0,2017-11-10,19,BOS,,CHO,W (+3),1,31,6,12,0.5,1,4,0.25,3,4,0.75,0,2,2,1,0,0,2,4,16,7.3,5
13,13,14,14.0,2017-11-12,19,BOS,,TOR,W (+1),1,33,6,15,0.4,1,4,0.25,0,0,,1,6,7,0,0,0,2,3,13,4.2,2
14,14,15,15.0,2017-11-14,19,BOS,@,BRK,W (+7),1,30,6,9,0.667,2,3,0.667,5,6,0.833,1,3,4,0,3,1,1,1,19,18.6,5
15,15,16,16.0,2017-11-16,19,BOS,,GSW,W (+4),1,27,2,5,0.4,0,0,,8,9,0.889,1,3,4,0,1,0,1,3,12,9.3,-18
16,16,17,17.0,2017-11-18,19,BOS,@,ATL,W (+11),1,29,5,11,0.455,1,3,0.333,3,3,1.0,0,7,7,0,4,2,1,3,14,13.6,-4
17,17,18,18.0,2017-11-20,19,BOS,@,DAL,W (+8),1,38,6,11,0.545,0,2,0.0,3,4,0.75,0,9,9,1,1,1,1,3,15,12.2,15
18,18,19,19.0,2017-11-22,19,BOS,@,MIA,L (-6),1,34,5,11,0.455,3,4,0.75,5,5,1.0,1,6,7,4,1,1,1,1,18,17.9,4
19,19,20,20.0,2017-11-24,19,BOS,,ORL,W (+15),1,22,4,7,0.571,3,4,0.75,0,0,,1,1,2,0,1,2,0,1,11,10.7,13
20,20,21,21.0,2017-11-25,19,BOS,@,IND,W (+10),1,38,4,10,0.4,1,5,0.2,2,3,0.667,0,2,2,0,0,0,1,3,11,3.6,12
21,21,22,22.0,2017-11-27,19,BOS,,DET,L (-10),1,35,3,7,0.429,2,4,0.5,2,2,1.0,1,2,3,4,0,1,1,5,10,8.1,-13
22,22,23,23.0,2017-11-30,19,BOS,,PHI,W (+11),1,28,6,11,0.545,2,3,0.667,1,3,0.333,0,2,2,2,2,0,0,1,15,12.5,7
23,23,24,24.0,2017-12-02,19,BOS,,PHO,W (+5),1,26,6,8,0.75,1,1,1.0,2,2,1.0,1,5,6,2,2,2,1,2,15,17.0,8
24,24,25,25.0,2017-12-04,19,BOS,,MIL,W (+11),1,33,5,6,0.833,4,5,0.8,3,4,0.75,0,6,6,0,0,0,1,1,17,14.8,8
25,25,26,26.0,2017-12-06,19,BOS,,DAL,W (+7),1,33,5,11,0.455,2,3,0.667,5,6,0.833,1,9,10,0,1,0,0,2,17,14.5,16
26,26,27,27.0,2017-12-08,19,BOS,@,SAS,L (-3),1,36,6,11,0.545,2,4,0.5,6,6,1.0,0,8,8,0,2,0,0,0,20,19.1,-7
27,27,28,28.0,2017-12-10,19,BOS,@,DET,W (+10),1,30,4,7,0.571,3,5,0.6,0,0,,0,4,4,0,0,1,1,1,11,8.2,12
28,28,29,29.0,2017-12-11,19,BOS,@,CHI,L (-23),1,29,1,7,0.143,0,4,0.0,2,4,0.5,1,9,10,1,1,1,0,3,4,3.3,-3
29,29,30,30.0,2017-12-13,19,BOS,,DEN,W (+6),1,28,6,9,0.667,1,1,1.0,2,3,0.667,0,4,4,2,0,1,1,1,15,12.6,2
30,30,31,31.0,2017-12-15,19,BOS,,UTA,L (-12),1,26,1,6,0.167,1,3,0.333,4,4,1.0,0,4,4,2,0,0,1,4,7,3.2,-7
31,31,32,32.0,2017-12-16,19,BOS,@,MEM,W (+9),1,34,7,13,0.538,2,2,1.0,3,3,1.0,6,4,10,1,2,2,0,1,19,21.8,21
32,32,33,33.0,2017-12-18,19,BOS,@,IND,W (+1),1,31,6,8,0.75,1,1,1.0,3,3,1.0,0,5,5,4,1,1,2,3,16,15.6,6
33,33,34,34.0,2017-12-20,19,BOS,,MIA,L (-1),1,28,4,9,0.444,0,2,0.0,3,4,0.75,0,7,7,2,0,1,1,2,11,8.3,3
34,34,35,35.0,2017-12-21,19,BOS,@,NYK,L (-9),1,34,6,10,0.6,2,6,0.333,3,4,0.75,1,2,3,0,2,0,3,1,17,11.9,-6
35,35,36,36.0,2017-12-23,19,BOS,,CHI,W (+25),1,33,6,13,0.462,1,3,0.333,0,0,,0,7,7,5,1,0,0,2,13,12.1,23
36,36,37,37.0,2017-12-25,19,BOS,,WAS,L (-8),1,36,7,9,0.778,2,2,1.0,4,6,0.667,0,3,3,0,0,0,4,3,20,11.4,-8
37,37,38,38.0,2017-12-27,19,BOS,@,CHO,W (+11),1,35,6,12,0.5,0,3,0.0,6,6,1.0,0,5,5,0,2,2,2,3,18,13.7,10
38,38,39,39.0,2017-12-28,19,BOS,,HOU,W (+1),1,40,5,11,0.455,0,3,0.0,9,11,0.818,0,5,5,1,2,1,0,0,19,17.4,6
39,39,40,40.0,2017-12-31,19,BOS,,BRK,W (+3),1,33,2,7,0.286,1,3,0.333,4,6,0.667,0,4,4,0,0,0,4,3,9,0.1,-3
40,40,41,41.0,2018-01-03,19,BOS,,CLE,W (+14),1,30,6,14,0.429,1,3,0.333,2,2,1.0,0,5,5,2,0,0,0,1,15,10.1,21
41,41,42,42.0,2018-01-05,19,BOS,,MIN,W (+7),1,31,2,7,0.286,0,4,0.0,0,0,,1,2,3,1,1,0,0,1,4,2.5,-11
42,42,43,43.0,2018-01-06,19,BOS,@,BRK,W (+2),1,32,6,15,0.4,2,2,1.0,0,0,,2,4,6,0,3,6,1,2,14,13.9,10
