,Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
0,0,1,1.0,2012-10-31,24,MEM,@,LAC,L (-9),0,15,1,8,0.125,1,3,0.333,3,4,0.75,0,1,1,4,1,1,1,3,6,3.0,-6
1,1,2,2.0,2012-11-02,24,MEM,@,GSW,W (+10),0,14,2,3,0.667,1,1,1.0,0,0,,0,0,0,4,0,0,1,2,5,4.7,-4
2,2,3,3.0,2012-11-05,24,MEM,,UTA,W (+9),0,14,1,3,0.333,1,3,0.333,0,0,,0,2,2,4,1,1,2,1,3,4.0,3
3,3,4,4.0,2012-11-07,24,MEM,@,MIL,W (+18),0,13,3,4,0.75,2,3,0.667,0,0,,0,1,1,3,1,0,0,2,8,9.0,14
4,4,5,5.0,2012-11-09,24,MEM,,HOU,W (+8),0,18,4,8,0.5,2,4,0.5,2,2,1.0,0,2,2,3,3,0,1,1,12,12.3,9
5,5,6,6.0,2012-11-11,24,MEM,,MIA,W (+18),0,16,2,3,0.667,1,1,1.0,0,0,,0,1,1,0,1,1,3,2,5,1.9,-8
6,6,7,7.0,2012-11-14,24,MEM,@,OKC,W (+10),0,17,5,8,0.625,2,3,0.667,0,0,,0,2,2,4,0,0,1,5,12,8.8,13
7,7,8,8.0,2012-11-16,24,MEM,,NYK,W (+10),0,13,3,6,0.5,0,1,0.0,0,0,,0,1,1,1,0,0,2,3,6,0.8,-2
8,8,9,9.0,2012-11-17,24,MEM,@,CHA,W (+7),0,22,2,5,0.4,0,1,0.0,1,1,1.0,0,2,2,3,0,3,2,2,5,4.3,0
9,9,10,10.0,2012-11-19,24,MEM,,DEN,L (-5),0,19,4,8,0.5,1,5,0.2,0,2,0.0,0,1,1,3,2,0,2,2,9,5.8,-3
10,10,11,11.0,2012-11-23,24,MEM,,LAL,W (+8),0,13,3,6,0.5,0,0,,3,3,1.0,0,0,0,1,1,0,0,2,9,6.9,-17
11,11,12,12.0,2012-11-26,24,MEM,,CLE,W (+6),1,34,3,11,0.273,0,3,0.0,3,3,1.0,1,2,3,6,1,2,3,4,9,5.8,9
12,12,13,13.0,2012-11-28,24,MEM,,TOR,W (+21),0,17,1,5,0.2,0,2,0.0,0,0,,0,2,2,4,1,0,0,3,2,2.1,-10
13,13,14,14.0,2012-11-30,24,MEM,,DET,W (+12),0,15,4,6,0.667,0,0,,2,2,1.0,0,2,2,4,1,0,3,3,10,7.6,4
14,14,15,15.0,2012-12-01,24,MEM,@,SAS,L (-4),0,21,1,8,0.125,0,4,0.0,3,4,0.75,0,1,1,3,1,0,1,4,5,0.2,0
15,15,16,16.0,2012-12-04,24,MEM,,PHO,W (+10),0,11,1,2,0.5,0,0,,0,0,,0,1,1,1,1,0,0,2,2,2.2,-10
16,16,17,17.0,2012-12-07,24,MEM,@,NOH,W (+7),0,21,1,2,0.5,1,1,1.0,2,2,1.0,0,4,4,2,0,0,1,1,5,5.2,-4
17,17,18,18.0,2012-12-08,24,MEM,,ATL,L (-10),0,18,1,4,0.25,0,1,0.0,0,0,,0,0,0,4,1,1,2,2,2,1.3,-11
18,18,19,19.0,2012-12-12,24,MEM,@,PHO,L (-2),0,13,1,3,0.333,1,1,1.0,0,0,,0,3,3,3,0,1,4,0,3,1.0,-1
19,19,20,20.0,2012-12-14,24,MEM,@,DEN,L (-5),0,17,0,5,0.0,0,1,0.0,0,0,,0,2,2,11,2,0,1,2,0,5.0,6
20,20,21,21.0,2012-12-15,24,MEM,@,UTA,W (+13),0,10,2,7,0.286,0,1,0.0,0,0,,2,0,2,1,0,0,1,0,4,1.0,-6
21,21,22,22.0,2012-12-17,24,MEM,,CHI,W (+9),0,16,2,4,0.5,1,1,1.0,0,0,,0,2,2,3,0,0,2,2,5,2.9,10
22,22,23,23.0,2012-12-19,24,MEM,,MIL,W (+10),0,19,4,7,0.571,0,1,0.0,0,0,,0,5,5,5,0,0,2,2,8,6.9,5
23,23,24,24.0,2012-12-21,24,MEM,,DAL,W (+10),0,11,2,5,0.4,1,2,0.5,0,0,,0,2,2,1,0,0,1,2,5,1.8,-9
24,24,25,25.0,2012-12-22,24,MEM,@,HOU,L (-25),0,21,2,6,0.333,0,2,0.0,1,2,0.5,1,3,4,5,0,0,3,2,5,2.5,-18
25,25,26,26.0,2012-12-26,24,MEM,,PHI,L (-10),0,12,1,6,0.167,0,1,0.0,0,0,,0,2,2,2,0,0,1,0,2,-0.8,0
26,26,27,27.0,2012-12-29,24,MEM,,DEN,W (+9),0,24,3,6,0.5,0,2,0.0,0,0,,0,2,2,5,0,0,1,3,6,4.9,8
27,27,28,28.0,2012-12-31,24,MEM,@,IND,L (-5),0,19,0,4,0.0,0,1,0.0,1,1,1.0,0,0,0,2,1,0,1,1,1,-0.8,-11
29,29,30,30.0,2013-01-04,24,MEM,,POR,L (-2),0,15,0,1,0.0,0,0,,0,0,,0,0,0,2,1,0,1,0,0,0.7,0
30,30,31,31.0,2013-01-06,24,MEM,@,PHO,W (+11),0,25,2,2,1.0,1,1,1.0,4,4,1.0,1,6,7,6,1,0,0,1,9,15.7,4
31,31,32,32.0,2013-01-07,24,MEM,@,SAC,W (+32),0,20,2,6,0.333,1,3,0.333,2,2,1.0,0,5,5,2,0,0,2,3,7,3.3,18
32,32,33,33.0,2013-01-09,24,MEM,@,GSW,W (+7),0,33,2,10,0.2,1,7,0.143,0,1,0.0,1,3,4,6,2,1,1,3,5,4.7,12
33,33,34,34.0,2013-01-11,24,MEM,,SAS,W (+3),0,24,1,5,0.2,1,2,0.5,0,0,,0,1,1,3,1,0,4,2,3,-1.5,-3
