,Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
0,0,1,1.0,2008-10-29,22,SAC,@,MIN,L (-2),0,22,7,11,0.636,0,0,,4,4,1.0,2,8,10,0,0,1,2,0,18,15.6,-7
1,1,2,2.0,2008-10-31,22,SAC,@,MIA,L (-26),0,19,5,10,0.5,0,1,0.0,0,0,,4,3,7,0,0,1,0,5,10,7.4,-5
2,2,3,3.0,2008-11-01,22,SAC,@,ORL,L (-18),0,24,5,7,0.714,0,0,,2,2,1.0,3,2,5,3,1,1,1,5,12,12.6,-5
3,3,4,4.0,2008-11-03,22,SAC,@,PHI,L (-34),0,30,8,12,0.667,0,2,0.0,1,4,0.25,1,5,6,5,0,0,4,4,17,10.7,-24
4,4,5,5.0,2008-11-05,22,SAC,,MEM,W (+5),0,25,5,11,0.455,0,0,,1,3,0.333,4,2,6,1,2,0,2,0,11,8.6,-6
5,5,6,6.0,2008-11-07,22,SAC,,MIN,W (+12),0,11,1,1,1.0,0,0,,0,0,,1,1,2,1,0,0,2,3,2,0.2,-6
6,6,7,7.0,2008-11-09,22,SAC,,GSW,W (+17),0,19,3,8,0.375,0,0,,1,2,0.5,5,2,7,0,0,0,2,5,7,2.3,7
7,7,8,8.0,2008-11-11,22,SAC,,DET,L (-8),1,41,7,10,0.7,0,0,,1,2,0.5,1,8,9,0,0,0,3,4,15,8.9,-1
8,8,9,9.0,2008-11-12,22,SAC,@,LAC,W (+5),1,34,6,10,0.6,0,0,,4,6,0.667,2,9,11,0,0,0,1,3,16,12.5,7
9,9,10,10.0,2008-11-14,22,SAC,,PHO,L (-2),1,22,2,4,0.5,0,0,,5,8,0.625,1,1,2,0,1,0,2,2,9,5.0,-7
10,10,11,11.0,2008-11-16,22,SAC,,SAS,L (-2),1,34,4,13,0.308,0,0,,1,2,0.5,2,5,7,0,3,0,1,2,9,5.2,6
11,11,12,12.0,2008-11-18,22,SAC,@,MEM,L (-15),1,34,4,9,0.444,0,0,,4,7,0.571,2,7,9,0,2,3,3,4,12,9.1,2
12,12,13,13.0,2008-11-19,22,SAC,@,NOH,W (+9),1,31,5,11,0.455,0,0,,0,0,,5,1,6,1,1,0,2,3,10,6.6,-1
13,13,14,14.0,2008-11-21,22,SAC,,POR,L (-21),1,35,6,9,0.667,0,0,,7,8,0.875,7,5,12,3,1,0,0,5,19,22.2,-15
14,14,15,15.0,2008-11-23,22,SAC,@,LAL,L (-10),1,31,7,10,0.7,0,0,,1,1,1.0,1,6,7,2,3,2,3,1,15,15.7,-5
15,15,16,16.0,2008-11-24,22,SAC,@,POR,L (-1),1,18,0,3,0.0,0,0,,0,0,,1,5,6,0,0,0,1,2,0,-1.7,0
16,16,17,17.0,2008-11-26,22,SAC,,NJN,L (-2),1,13,1,1,1.0,0,0,,1,2,0.5,0,3,3,1,0,0,1,4,3,1.3,11
17,17,18,18.0,2008-11-28,22,SAC,@,UTA,L (-26),0,23,8,11,0.727,0,1,0.0,0,0,,2,3,5,0,0,0,3,5,16,8.8,-2
18,18,19,19.0,2008-11-29,22,SAC,,DAL,L (-23),0,18,1,4,0.25,0,0,,1,2,0.5,3,1,4,2,1,0,3,5,3,0.0,-11
19,19,20,20.0,2008-12-02,22,SAC,,UTA,L (-5),0,11,0,1,0.0,0,0,,0,0,,0,0,0,0,0,0,1,2,0,-2.5,-12
