,Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
0,0,1,1.0,2020-02-08,26,GSW,,LAL,L (-5),0,19,2,6,0.333,1,1,1.0,0,0,,0,3,3,2,0,0,1,0,5,2.9,-4
1,1,2,2.0,2020-02-10,26,GSW,,MIA,L (-12),0,14,1,1,1.0,1,1,1.0,0,0,,0,3,3,1,2,0,2,2,3,3.5,-18
2,2,3,3.0,2020-02-12,26,GSW,@,PHO,L (-6),0,14,2,3,0.667,0,0,,0,0,,0,1,1,0,1,0,0,1,4,3.6,-10
3,3,4,4.0,2020-02-20,26,GSW,,HOU,L (-30),0,25,5,8,0.625,0,2,0.0,0,0,,1,5,6,5,2,1,2,2,10,12.0,-12
4,4,5,5.0,2020-02-23,26,GSW,,NOP,L (-14),0,28,6,10,0.6,3,5,0.6,1,1,1.0,0,8,8,3,1,2,1,2,16,16.5,6
5,5,6,6.0,2020-02-25,26,GSW,,SAC,L (-18),0,22,1,4,0.25,0,2,0.0,1,2,0.5,0,2,2,2,2,0,1,1,3,2.8,-10
6,6,7,7.0,2020-02-27,26,GSW,,LAL,L (-30),0,20,2,5,0.4,1,1,1.0,0,0,,0,4,4,0,1,0,3,4,5,-0.1,-21
7,7,8,8.0,2020-02-29,26,GSW,@,PHO,W (+16),1,31,2,5,0.4,0,2,0.0,1,2,0.5,2,2,4,3,1,0,2,6,5,2.6,-7
8,8,9,9.0,2020-03-01,26,GSW,,WAS,L (-14),1,29,1,6,0.167,0,2,0.0,0,0,,2,3,5,5,2,1,3,4,2,2.1,-8
9,9,10,10.0,2020-03-03,26,GSW,@,DEN,W (+16),1,20,3,4,0.75,2,3,0.667,0,0,,0,5,5,0,0,1,1,4,8,6.0,16
10,10,11,11.0,2020-03-05,26,GSW,,TOR,L (-8),1,22,1,4,0.25,0,2,0.0,0,0,,2,3,5,3,1,0,0,3,2,3.8,-14
11,11,12,12.0,2020-03-07,26,GSW,,PHI,W (+4),1,28,3,6,0.5,0,2,0.0,0,0,,2,4,6,2,0,0,0,1,6,6.6,1
13,13,1,1.0,2020-12-22,27,GSW,@,BRK,L (-26),0,13,2,2,1.0,0,0,,0,0,,0,4,4,2,0,2,0,3,4,6.2,-9
14,14,2,2.0,2020-12-25,27,GSW,@,MIL,L (-39),0,13,0,0,,0,0,,0,0,,1,2,3,1,0,0,0,1,0,1.6,-9
15,15,3,3.0,2020-12-27,27,GSW,@,CHI,W (+1),1,19,2,3,0.667,1,2,0.5,0,0,,0,5,5,1,1,0,1,1,5,5.5,-2
16,16,4,4.0,2020-12-29,27,GSW,@,DET,W (+10),1,24,2,2,1.0,1,1,1.0,0,2,0.0,0,3,3,4,1,0,3,4,5,3.7,15
17,17,5,5.0,2021-01-01,27,GSW,,POR,L (-25),0,17,1,2,0.5,0,1,0.0,3,3,1.0,0,3,3,3,0,1,1,1,5,6.3,-10
19,28,16,7.0,2021-01-23,27,GSW,@,UTA,L (-19),0,9,1,4,0.25,1,4,0.25,0,0,,0,1,1,1,0,0,0,1,3,1.2,4
20,33,21,8.0,2021-02-02,27,GSW,,BOS,L (-4),0,27,6,9,0.667,3,3,1.0,1,1,1.0,1,1,2,1,1,1,0,4,16,13.9,-8
21,34,22,9.0,2021-02-04,27,GSW,@,DAL,W (+31),1,40,6,8,0.75,2,4,0.5,0,0,,0,8,8,5,0,2,2,3,14,14.9,26
22,35,23,10.0,2021-02-06,27,GSW,@,DAL,L (-2),1,34,1,1,1.0,0,0,,0,0,,0,10,10,2,2,0,1,2,2,6.3,-1
23,36,24,11.0,2021-02-08,27,GSW,@,SAS,L (-5),1,29,4,6,0.667,0,1,0.0,0,0,,1,10,11,2,0,0,2,3,8,7.3,-9
24,37,25,12.0,2021-02-09,27,GSW,@,SAS,W (+23),1,26,5,14,0.357,1,2,0.5,0,2,0.0,5,3,8,3,1,1,1,2,11,8.8,14
25,38,26,13.0,2021-02-11,27,GSW,,ORL,W (+6),1,21,4,10,0.4,1,4,0.25,0,0,,2,3,5,2,1,1,2,4,9,5.4,11
26,39,27,14.0,2021-02-13,27,GSW,,BRK,L (-17),1,25,3,8,0.375,0,2,0.0,2,2,1.0,1,3,4,1,0,0,2,1,8,3.5,-14
27,40,28,15.0,2021-02-15,27,GSW,,CLE,W (+31),1,28,4,5,0.8,1,2,0.5,4,4,1.0,1,4,5,2,1,1,2,3,13,12.9,16
28,41,29,16.0,2021-02-17,27,GSW,,MIA,W (+8),1,21,1,1,1.0,0,0,,0,0,,0,2,2,6,1,1,0,3,2,7.0,-2
29,42,30,17.0,2021-02-19,27,GSW,@,ORL,L (-4),1,25,3,6,0.5,1,2,0.5,0,0,,1,4,5,4,0,0,1,3,7,6.5,5
30,43,31,18.0,2021-02-20,27,GSW,@,CHO,L (-2),1,15,1,2,0.5,1,2,0.5,0,0,,0,2,2,3,0,0,0,2,3,3.9,-16
