,Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
0,0,12,1.0,2009-11-18,23,OKC,@,ORL,L (-14),0,15,4,6,0.667,1,3,0.333,2,2,1.0,0,2,2,4,2,0,1,2,11,12.0,12
2,3,15,3.0,2009-11-24,23,OKC,@,UTA,W (+10),0,15,2,3,0.667,1,1,1.0,2,2,1.0,0,0,0,1,0,3,2,1,7,6.1,5
3,4,64,4.0,2010-03-12,24,OKC,,NJN,W (+2),0,10,0,2,0.0,0,0,,0,0,,0,0,0,1,0,0,0,1,0,-1.1,-20
4,5,65,5.0,2010-03-14,24,OKC,,UTA,W (+8),0,15,0,2,0.0,0,2,0.0,0,0,,0,2,2,0,1,1,0,3,0,-0.3,1
5,6,66,6.0,2010-03-17,24,OKC,@,CHA,L (-8),0,12,0,1,0.0,0,0,,0,0,,0,4,4,1,0,0,0,0,0,1.2,7
6,7,67,7.0,2010-03-19,24,OKC,@,TOR,W (+26),0,20,4,6,0.667,4,5,0.8,0,0,,0,3,3,1,3,2,1,0,12,14.4,6
7,8,68,8.0,2010-03-21,24,OKC,@,IND,L (-20),0,28,1,6,0.167,1,5,0.2,1,2,0.5,1,3,4,2,0,0,0,3,4,1.6,-5
8,9,69,9.0,2010-03-22,24,OKC,,SAS,L (-3),0,15,0,3,0.0,0,1,0.0,0,0,,0,1,1,1,0,0,0,1,0,-1.5,4
9,10,70,10.0,2010-03-24,24,OKC,,HOU,W (+18),0,6,1,2,0.5,0,0,,0,0,,0,1,1,0,0,0,0,0,2,1.3,-5
12,14,5,1.0,2010-04-27,24,OKC,@,LAL,L (-24),0,12,1,4,0.25,0,1,0.0,0,0,,0,2,2,2,0,0,0,2,2,0.8,4
13,15,1,1.0,2011-04-01,25,UTA,,LAL,L (-11),0,10,0,3,0.0,0,0,,2,2,1.0,0,1,1,2,0,0,3,1,2,-1.8,-2
14,16,2,2.0,2011-04-03,25,UTA,@,SAC,L (-9),0,30,7,11,0.636,3,5,0.6,2,2,1.0,0,2,2,3,1,2,2,2,19,16.4,1
15,17,3,3.0,2011-04-05,25,UTA,@,LAL,W (+1),0,12,0,5,0.0,0,1,0.0,0,0,,1,2,3,1,0,0,2,0,0,-3.5,-2
16,18,4,4.0,2011-04-07,25,UTA,,POR,L (-11),0,8,0,2,0.0,0,0,,2,2,1.0,0,1,1,0,0,0,0,0,2,0.9,2
17,19,5,5.0,2011-04-09,25,UTA,@,SAS,L (-9),0,11,2,4,0.5,0,1,0.0,1,2,0.5,1,2,3,1,1,0,0,0,5,5.6,1
