,Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,2,2,2010/10/29,21,MIL,@,MIN,L (-11),0,11,2,4,0.5,0,0,,0,0,,0,3,3,0,0,0,0,2,4,2.1,-12
2,3,4,3,2010/11/2,21,MIL,,POR,L (-14),0,7,1,3,0.333,0,0,,0,0,,1,0,1,0,0,0,1,1,2,-0.4,4
4,7,8,5,2010/11/9,21,MIL,,NYK,W (+27),0,7,1,3,0.333,0,0,,0,2,0.0,0,0,0,0,1,1,0,3,2,0.0,1
7,11,12,8,2010/11/19,21,MIL,@,PHI,L (-11),0,9,0,2,0.0,0,0,,0,0,,0,0,0,0,0,0,0,2,0,-2.2,-13
8,13,14,9,2010/11/24,22,MIL,@,CLE,L (-2),0,23,4,10,0.4,0,0,,0,0,,1,6,7,1,2,1,0,1,8,8.1,10
9,14,15,10,2010/11/26,22,MIL,@,DET,L (-14),0,31,4,7,0.571,0,0,,0,0,,4,6,10,1,1,2,0,3,8,11.2,-8
10,15,16,11,2010/11/27,22,MIL,,CHA,W (+3),1,25,4,6,0.667,0,0,,2,2,1.0,1,2,3,0,0,2,2,5,10,6.1,5
11,16,17,12,2010/11/29,22,MIL,@,UTA,L (-21),1,16,0,3,0.0,0,0,,4,6,0.667,1,1,2,0,1,1,0,4,4,2.2,-9
12,17,18,13,2010/12/1,22,MIL,@,DEN,L (-11),1,34,5,10,0.5,0,0,,4,5,0.8,4,6,10,0,2,8,0,3,14,19.6,-11
13,18,19,14,2010/12/4,22,MIL,,ORL,W (+11),1,23,2,4,0.5,0,0,,0,0,,1,4,5,0,0,1,1,1,4,3.2,8
14,19,20,15,2010/12/6,22,MIL,,MIA,L (-10),1,29,5,12,0.417,0,0,,0,0,,1,5,6,0,0,2,1,3,10,5.0,-10
15,20,21,16,2010/12/8,22,MIL,,IND,W (+2),1,15,1,7,0.143,0,0,,0,0,,1,2,3,0,1,1,0,5,2,-1.5,-6
16,21,22,17,2010/12/10,22,MIL,,HOU,W (+6),1,25,0,6,0.0,0,0,,2,2,1.0,1,1,2,0,0,3,2,2,2,-1.9,4
17,22,23,18,2010/12/13,22,MIL,@,DAL,W (+4),1,5,0,2,0.0,0,0,,0,0,,1,0,1,0,0,1,0,0,0,0.0,-12
