,Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
0,0,1,1.0,2018-10-16,21,PHI,@,BOS,L (-18),0,13,0,4,0.0,0,2,0.0,1,2,0.5,0,1,1,0,0,0,0,0,1,-1.9,-8
1,1,2,2.0,2018-10-18,21,PHI,,CHI,W (+19),0,29,4,7,0.571,4,7,0.571,0,0,,0,4,4,1,2,1,0,1,12,12.9,1
2,2,3,3.0,2018-10-20,21,PHI,,ORL,W (+1),0,21,0,4,0.0,0,3,0.0,0,0,,2,2,4,2,0,0,1,0,0,-0.4,12
3,3,4,4.0,2018-10-23,21,PHI,@,DET,L (-1),1,24,2,5,0.4,1,4,0.25,0,0,,0,0,0,2,0,0,0,2,5,2.9,-5
4,4,5,5.0,2018-10-24,21,PHI,@,MIL,L (-15),0,8,1,4,0.25,1,2,0.5,0,0,,0,0,0,0,1,0,1,1,3,0.2,-4
5,5,6,6.0,2018-10-27,21,PHI,,CHO,W (+2),0,9,1,3,0.333,1,2,0.5,1,1,1.0,0,0,0,0,0,0,0,0,4,2.3,-1
6,6,7,7.0,2018-10-29,21,PHI,,ATL,W (+21),0,25,4,8,0.5,2,5,0.4,3,3,1.0,0,1,1,2,1,0,1,2,13,9.9,8
7,7,8,8.0,2018-10-30,21,PHI,@,TOR,L (-17),0,16,3,8,0.375,2,6,0.333,0,0,,0,0,0,0,0,0,0,2,8,2.8,-8
8,8,9,9.0,2018-11-01,21,PHI,,LAC,W (+9),0,23,5,8,0.625,3,6,0.5,0,1,0.0,0,1,1,0,1,0,0,3,13,9.1,0
9,9,10,10.0,2018-11-03,21,PHI,,DET,W (+10),0,19,4,7,0.571,2,5,0.4,1,1,1.0,0,1,1,1,0,0,1,0,11,7.7,13
10,10,11,11.0,2018-11-04,21,PHI,@,BRK,L (-25),0,28,3,6,0.5,2,5,0.4,4,5,0.8,0,1,1,1,0,0,1,0,12,8.6,-28
11,11,12,12.0,2018-11-07,21,PHI,@,IND,W (+6),0,23,4,8,0.5,3,6,0.5,1,1,1.0,0,1,1,1,1,1,1,3,12,8.5,-11
12,12,13,13.0,2018-11-09,21,PHI,,CHO,W (+1),0,19,1,6,0.167,1,5,0.2,0,0,,0,0,0,1,1,1,0,3,3,0.4,1
13,13,14,14.0,2018-11-10,21,PHI,@,MEM,L (-6),1,42,2,13,0.154,1,11,0.091,0,0,,1,1,2,5,2,0,2,3,5,0.0,-13
14,14,15,15.0,2018-11-12,21,PHI,@,MIA,W (+10),0,24,3,5,0.6,2,4,0.5,2,2,1.0,0,0,0,1,0,0,0,4,10,6.8,10
15,15,16,16.0,2018-11-14,21,PHI,@,ORL,L (-5),0,15,3,7,0.429,1,4,0.25,0,0,,1,0,1,1,0,0,0,1,7,4.3,-15
16,16,17,17.0,2018-11-16,21,PHI,,UTA,W (+6),0,14,2,4,0.5,2,4,0.5,0,0,,0,1,1,1,0,0,1,3,6,2.8,-4
17,17,18,18.0,2018-11-17,21,PHI,@,CHO,W (+3),0,23,2,6,0.333,1,4,0.25,0,0,,0,2,2,0,1,0,0,3,5,2.0,-3
18,18,19,19.0,2018-11-19,21,PHI,,PHO,W (+5),0,21,3,4,0.75,2,3,0.667,1,1,1.0,0,0,0,1,0,0,0,2,9,7.3,-6
19,19,20,20.0,2018-11-21,21,PHI,,NOP,W (+1),0,20,4,6,0.667,4,6,0.667,3,3,1.0,0,3,3,1,1,0,0,5,15,13.0,14
20,20,21,21.0,2018-11-23,21,PHI,,CLE,L (-9),0,29,4,9,0.444,2,7,0.286,0,0,,0,2,2,1,0,0,0,1,10,6.2,2
21,21,22,22.0,2018-11-25,21,PHI,@,BRK,W (+2),0,19,5,7,0.714,4,4,1.0,2,2,1.0,0,2,2,1,0,0,0,2,16,13.6,-3
22,22,23,23.0,2018-11-28,21,PHI,,NYK,W (+26),0,22,2,4,0.5,1,2,0.5,0,0,,0,3,3,2,0,0,2,1,5,2.9,0
23,23,24,24.0,2018-11-30,21,PHI,,WAS,W (+25),0,27,5,9,0.556,2,4,0.5,0,0,,0,4,4,2,1,0,0,3,12,10.1,4
24,24,25,25.0,2018-12-02,21,PHI,,MEM,W (+8),0,18,1,4,0.25,1,4,0.25,1,1,1.0,0,0,0,0,0,0,3,1,4,-1.8,-1
25,25,26,26.0,2018-12-05,21,PHI,@,TOR,L (-11),0,17,2,6,0.333,0,4,0.0,2,3,0.667,0,0,0,0,0,0,0,0,6,2.2,4
26,26,27,27.0,2018-12-07,21,PHI,@,DET,W (+6),0,16,1,3,0.333,0,1,0.0,1,1,1.0,0,1,1,0,0,0,1,3,3,-0.6,-1
27,27,28,28.0,2018-12-10,21,PHI,,DET,W (+14),0,22,3,9,0.333,3,7,0.429,1,2,0.5,2,1,3,1,0,0,0,2,10,6.1,3
28,28,29,29.0,2018-12-12,21,PHI,,BRK,L (-3),0,20,3,7,0.429,3,5,0.6,1,3,0.333,1,0,1,1,2,0,1,2,10,7.1,-7
29,29,30,30.0,2018-12-14,21,PHI,,IND,L (-12),0,24,2,3,0.667,2,2,1.0,1,1,1.0,1,4,5,1,0,0,0,2,7,7.5,0
30,30,31,31.0,2018-12-16,21,PHI,@,CLE,W (+23),0,15,6,7,0.857,4,5,0.8,0,0,,0,2,2,0,0,1,0,3,16,13.6,-6
31,31,32,32.0,2018-12-17,21,PHI,@,SAS,L (-27),0,17,1,6,0.167,1,3,0.333,0,0,,0,1,1,0,0,0,0,0,3,-0.5,-20
32,32,33,33.0,2018-12-19,21,PHI,,NYK,W (+22),0,22,6,10,0.6,4,7,0.571,1,1,1.0,0,1,1,1,0,1,0,1,17,13.7,12
33,33,34,34.0,2018-12-22,21,PHI,,TOR,W (+25),0,16,1,5,0.2,0,4,0.0,1,1,1.0,0,0,0,1,0,0,1,4,3,-2.0,-3
