,Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
0,0,39,1.0,2019-01-03,20,SAS,,TOR,W (+18),0,5,1,2,0.5,1,1,1.0,0,0,,0,1,1,0,0,0,0,0,3,2.3,-8
1,11,50,2.0,2019-01-26,20,SAS,@,NOP,W (+12),0,15,3,6,0.5,1,2,0.5,0,0,,0,5,5,1,1,0,1,2,7,5.4,6
2,12,51,3.0,2019-01-27,20,SAS,,WAS,W (+13),0,5,0,2,0.0,0,1,0.0,0,0,,0,0,0,0,0,1,0,1,0,-1.1,-6
5,17,56,6.0,2019-02-06,20,SAS,@,GSW,L (-39),0,26,0,10,0.0,0,2,0.0,4,4,1.0,0,3,3,1,2,0,3,0,4,-2.4,-27
7,23,69,8.0,2019-03-15,20,SAS,,NYK,W (+26),0,5,1,2,0.5,0,0,,0,0,,0,0,0,1,1,0,0,1,2,2.3,5
8,27,73,9.0,2019-03-22,20,SAS,@,HOU,L (-6),0,7,1,3,0.333,0,0,,2,2,1.0,0,1,1,1,1,1,0,1,4,4.6,7
12,32,78,13.0,2019-04-02,20,SAS,,ATL,W (+6),0,5,0,1,0.0,0,0,,0,0,,0,0,0,1,0,0,0,2,0,-0.8,-1
13,33,79,14.0,2019-04-03,20,SAS,@,DEN,L (-28),0,16,6,11,0.545,3,5,0.6,1,2,0.5,0,2,2,0,0,0,0,0,16,10.9,-9
14,34,80,15.0,2019-04-05,20,SAS,@,WAS,W (+17),0,5,0,2,0.0,0,2,0.0,0,0,,0,1,1,2,0,0,0,0,0,0.3,-6
15,35,81,16.0,2019-04-07,20,SAS,@,CLE,W (+22),0,12,3,3,1.0,0,0,,1,2,0.5,0,1,1,2,1,1,0,0,7,9.1,-2
20,40,4,4.0,2019-04-20,20,SAS,,DEN,L (-14),0,5,1,2,0.5,0,1,0.0,0,0,,0,0,0,2,0,0,0,0,2,2.4,5
21,41,5,5.0,2019-04-23,20,SAS,@,DEN,L (-18),0,12,1,3,0.333,0,0,,0,0,,0,1,1,1,0,0,0,0,2,1.3,4
23,44,2,1.0,2019-10-26,20,SAS,,WAS,W (+2),0,5,1,1,1.0,0,0,,0,0,,0,2,2,0,0,0,0,1,2,1.9,-3
24,46,4,2.0,2019-10-31,20,SAS,@,LAC,L (-6),0,5,0,1,0.0,0,1,0.0,0,0,,0,2,2,0,0,0,0,2,0,-0.9,-6
28,51,9,6.0,2019-11-09,20,SAS,,BOS,L (-20),0,9,1,7,0.143,0,1,0.0,0,1,0.0,1,2,3,1,0,1,1,1,2,-1.6,1
30,55,13,8.0,2019-11-16,20,SAS,,POR,L (-5),0,11,2,3,0.667,0,0,,0,0,,0,1,1,0,0,0,0,1,4,2.6,11
32,59,17,10.0,2019-11-23,20,SAS,@,NYK,W (+7),0,7,1,2,0.5,0,0,,0,2,0.0,0,0,0,1,0,0,0,0,2,0.9,0
34,61,19,12.0,2019-11-27,20,SAS,,MIN,L (-12),0,13,5,8,0.625,1,2,0.5,0,0,,0,1,1,0,0,0,0,0,11,7.7,-6
36,63,21,14.0,2019-12-01,20,SAS,@,DET,L (-34),0,16,6,12,0.5,1,3,0.333,0,0,,2,0,2,2,1,0,0,0,13,10.8,-17
37,64,22,15.0,2019-12-03,20,SAS,,HOU,W (+2),0,35,10,18,0.556,4,7,0.571,4,6,0.667,0,4,4,0,3,1,2,5,28,19.5,29
38,65,23,16.0,2019-12-06,20,SAS,,SAC,W (+1),0,12,1,5,0.2,0,2,0.0,0,0,,2,2,4,2,0,0,1,1,2,0.9,-7
39,66,24,17.0,2019-12-12,20,SAS,,CLE,L (-8),0,24,4,5,0.8,0,0,,2,2,1.0,0,2,2,0,1,1,1,2,10,8.6,4
40,67,25,18.0,2019-12-14,21,SAS,@,PHO,W (+2),0,21,5,8,0.625,1,1,1.0,5,5,1.0,0,3,3,1,0,0,0,4,16,12.4,1
41,68,26,19.0,2019-12-16,21,SAS,@,HOU,L (-2),0,10,0,1,0.0,0,1,0.0,0,0,,0,2,2,0,0,0,2,2,0,-2.9,7
42,69,27,20.0,2019-12-19,21,SAS,,BRK,W (+13),0,14,1,7,0.143,1,2,0.5,1,2,0.5,1,5,6,2,1,0,0,0,4,3.7,25
43,70,28,21.0,2019-12-21,21,SAS,,LAC,L (-25),0,17,2,6,0.333,0,2,0.0,0,0,,1,1,2,1,0,0,3,2,4,-1.5,-5
45,73,31,23.0,2019-12-28,21,SAS,,DET,W (+27),0,16,4,8,0.5,0,1,0.0,0,0,,1,0,1,0,0,0,1,3,8,2.5,-11
46,74,32,24.0,2019-12-31,21,SAS,,GSW,W (+4),0,11,3,6,0.5,1,2,0.5,0,0,,1,2,3,0,0,1,0,4,7,4.4,3
47,75,33,25.0,2020-01-02,21,SAS,,OKC,L (-6),0,21,6,10,0.6,2,3,0.667,2,2,1.0,2,5,7,1,0,0,0,0,16,15.0,2
48,76,34,26.0,2020-01-04,21,SAS,@,MIL,L (-9),1,26,3,11,0.273,0,3,0.0,2,2,1.0,0,1,1,1,2,0,2,2,8,1.7,4
49,77,35,27.0,2020-01-06,21,SAS,,MIL,W (+22),0,20,3,6,0.5,1,2,0.5,1,2,0.5,0,7,7,2,0,0,1,2,8,6.3,16
50,78,36,28.0,2020-01-08,21,SAS,@,BOS,W (+15),0,19,7,11,0.636,2,5,0.4,2,2,1.0,0,3,3,1,1,0,1,4,18,13.1,-2
51,79,37,29.0,2020-01-10,21,SAS,@,MEM,L (-13),0,15,1,5,0.2,1,2,0.5,0,0,,0,2,2,0,1,0,1,0,3,0.5,-13
52,80,38,30.0,2020-01-12,21,SAS,@,TOR,W (+1),0,11,1,4,0.25,0,1,0.0,0,0,,0,2,2,0,1,0,1,0,2,0.2,-5
53,81,39,31.0,2020-01-15,21,SAS,@,MIA,L (-6),0,8,1,4,0.25,0,1,0.0,0,0,,0,3,3,0,0,0,0,0,2,0.5,-2
54,82,40,32.0,2020-01-17,21,SAS,,ATL,L (-1),0,17,4,7,0.571,1,2,0.5,0,0,,0,1,1,3,1,0,0,2,9,8.3,8
55,83,41,33.0,2020-01-19,21,SAS,,MIA,W (+5),0,20,2,8,0.25,1,2,0.5,2,2,1.0,0,3,3,2,0,0,0,1,7,4.1,10
56,84,42,34.0,2020-01-20,21,SAS,@,PHO,W (+2),0,18,1,3,0.333,1,2,0.5,0,0,,0,1,1,0,1,1,0,1,3,2.9,-6
57,85,43,35.0,2020-01-22,21,SAS,@,NOP,W (+4),0,13,2,4,0.5,1,1,1.0,1,2,0.5,0,1,1,0,1,0,0,1,6,4.5,-2
58,86,44,36.0,2020-01-24,21,SAS,,PHO,L (-4),0,17,3,6,0.5,0,1,0.0,3,3,1.0,0,0,0,2,1,0,0,2,9,7.6,0
59,87,45,37.0,2020-01-26,21,SAS,,TOR,L (-4),0,16,2,4,0.5,2,3,0.667,3,4,0.75,0,1,1,0,2,0,1,0,9,7.9,10
60,88,46,38.0,2020-01-27,21,SAS,@,CHI,L (-1),0,14,2,4,0.5,1,1,1.0,0,0,,0,1,1,0,0,0,0,2,5,2.5,-8
61,89,47,39.0,2020-01-29,21,SAS,,UTA,W (+7),0,15,1,2,0.5,0,0,,2,2,1.0,0,2,2,1,0,0,1,2,4,2.5,0
62,90,48,40.0,2020-02-01,21,SAS,,CHO,W (+24),0,19,3,6,0.5,0,1,0.0,0,0,,0,3,3,4,1,0,0,1,6,7.3,18
63,91,49,41.0,2020-02-03,21,SAS,@,LAC,L (-3),0,21,1,4,0.25,0,0,,0,0,,0,2,2,0,0,1,0,1,2,0.5,3
64,92,50,42.0,2020-02-04,21,SAS,@,LAL,L (-27),0,15,4,8,0.5,2,2,1.0,1,2,0.5,2,1,3,0,0,1,1,1,11,7.6,-22
65,93,51,43.0,2020-02-06,21,SAS,@,POR,L (-8),0,13,1,3,0.333,0,1,0.0,0,0,,0,1,1,0,0,1,0,0,2,1.3,-9
66,94,52,44.0,2020-02-08,21,SAS,@,SAC,L (-20),0,20,3,8,0.375,0,3,0.0,2,3,0.667,0,1,1,1,1,0,2,1,8,2.8,-28
67,95,53,45.0,2020-02-10,21,SAS,@,DEN,L (-7),1,27,2,6,0.333,0,0,,0,1,0.0,3,2,5,4,2,0,2,3,4,4.5,11
68,96,54,46.0,2020-02-11,21,SAS,@,OKC,W (+8),1,25,2,5,0.4,0,1,0.0,2,2,1.0,1,3,4,0,3,0,0,3,6,6.7,-5
69,97,55,47.0,2020-02-21,21,SAS,@,UTA,W (+9),0,12,1,3,0.333,0,0,,2,2,1.0,0,2,2,0,0,0,0,1,4,2.5,-1
70,98,56,48.0,2020-02-23,21,SAS,@,OKC,L (-28),0,23,1,5,0.2,0,1,0.0,0,0,,0,4,4,3,0,1,0,1,2,2.5,-5
71,99,57,49.0,2020-02-26,21,SAS,,DAL,L (-6),1,27,5,9,0.556,2,2,1.0,0,0,,1,2,3,2,0,3,2,4,12,8.9,-16
72,100,58,50.0,2020-02-29,21,SAS,,ORL,W (+1),0,11,0,2,0.0,0,0,,0,0,,1,0,1,0,1,0,0,2,0,-0.5,-16
73,101,59,51.0,2020-03-02,21,SAS,,IND,L (-5),0,20,4,4,1.0,2,2,1.0,0,0,,0,4,4,3,0,0,0,3,10,10.9,5
74,102,60,52.0,2020-03-03,21,SAS,@,CHO,W (+1),0,23,2,6,0.333,1,2,0.5,0,0,,0,6,6,2,2,1,2,1,5,5.1,13
75,103,61,53.0,2020-03-06,21,SAS,@,BRK,L (-19),0,16,1,5,0.2,0,2,0.0,0,0,,0,1,1,2,1,0,0,1,2,1.2,-8
76,106,64,54.0,2020-07-31,21,SAS,,SAC,W (+9),1,32,7,12,0.583,1,2,0.5,1,1,1.0,0,3,3,4,0,0,2,0,16,12.1,10
77,107,65,55.0,2020-08-02,21,SAS,@,MEM,W (+2),1,25,4,12,0.333,2,5,0.4,2,2,1.0,0,1,1,2,0,0,1,1,12,5.5,-1
78,108,66,56.0,2020-08-03,21,SAS,@,PHI,L (-2),1,19,2,5,0.4,1,3,0.333,0,0,,0,0,0,1,0,0,2,1,5,0.6,-1
79,109,67,57.0,2020-08-05,21,SAS,,DEN,L (-6),1,21,4,7,0.571,1,3,0.333,0,0,,0,0,0,0,0,0,1,0,9,4.7,-16
80,110,68,58.0,2020-08-07,21,SAS,,UTA,W (+8),1,30,6,15,0.4,1,3,0.333,1,3,0.333,0,4,4,2,1,0,0,1,14,8.3,9
81,111,69,59.0,2020-08-09,21,SAS,@,NOP,W (+9),1,30,3,13,0.231,1,5,0.2,0,0,,2,4,6,6,0,1,1,3,7,4.4,16
82,112,70,60.0,2020-08-11,21,SAS,,HOU,W (+18),1,30,4,12,0.333,2,6,0.333,2,2,1.0,0,7,7,3,2,0,5,2,12,5.6,11
83,113,71,61.0,2020-08-13,21,SAS,@,UTA,L (-6),1,34,6,14,0.429,3,3,1.0,0,0,,1,2,3,4,1,0,1,0,15,11.7,-12
84,114,1,1.0,2020-12-23,22,SAS,@,MEM,W (+12),1,34,6,9,0.667,3,4,0.75,1,1,1.0,1,5,6,2,1,1,1,3,16,15.2,0
