,Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
0,0,1,1.0,2018-10-17,19,DAL,@,PHO,L (-21),1,32,5,16,0.313,0,5,0.0,0,2,0.0,2,6,8,4,0,0,4,3,10,0.8,-18
1,1,2,2.0,2018-10-20,19,DAL,,MIN,W (+4),1,36,8,16,0.5,4,9,0.444,6,9,0.667,1,5,6,3,2,1,6,3,26,16.6,6
2,2,3,3.0,2018-10-22,19,DAL,,CHI,W (+6),1,36,7,14,0.5,3,8,0.375,2,2,1.0,0,3,3,6,1,0,3,3,19,13.9,5
3,3,4,4.0,2018-10-24,19,DAL,@,ATL,L (-7),1,34,7,18,0.389,2,9,0.222,5,8,0.625,0,9,9,2,1,1,3,2,21,12.0,-12
4,4,5,5.0,2018-10-26,19,DAL,@,TOR,L (-9),1,35,7,14,0.5,4,6,0.667,4,4,1.0,1,4,5,4,0,0,3,1,22,16.3,0
5,5,6,6.0,2018-10-28,19,DAL,,UTA,L (-9),1,37,5,13,0.385,2,6,0.333,2,2,1.0,1,5,6,5,1,0,5,1,14,8.2,4
6,6,7,7.0,2018-10-29,19,DAL,@,SAS,L (-5),1,40,11,18,0.611,4,6,0.667,5,6,0.833,2,6,8,4,1,1,6,0,31,24.1,5
7,7,8,8.0,2018-10-31,19,DAL,@,LAL,L (-1),1,28,5,11,0.455,3,6,0.5,1,2,0.5,1,4,5,7,1,0,2,2,14,12.9,-13
8,8,9,9.0,2018-11-02,19,DAL,,NYK,L (-12),1,35,8,15,0.533,2,6,0.333,0,1,0.0,2,7,9,6,1,0,4,3,18,13.8,-10
9,9,10,10.0,2018-11-06,19,DAL,,WAS,W (+19),1,33,9,16,0.563,2,7,0.286,3,3,1.0,1,6,7,3,1,0,5,2,23,15.2,11
10,10,11,11.0,2018-11-07,19,DAL,@,UTA,L (-15),1,35,7,14,0.5,3,4,0.75,7,7,1.0,1,5,6,2,0,0,5,3,24,14.4,-15
11,11,12,12.0,2018-11-10,19,DAL,,OKC,W (+15),1,31,9,15,0.6,1,4,0.25,3,4,0.75,0,6,6,8,1,0,4,4,22,17.5,16
12,12,13,13.0,2018-11-12,19,DAL,@,CHI,W (+5),1,32,3,12,0.25,2,7,0.286,3,4,0.75,2,4,6,3,1,0,3,1,11,5.7,-13
13,13,14,14.0,2018-11-14,19,DAL,,UTA,W (+50),1,25,5,13,0.385,2,4,0.5,1,2,0.5,1,5,6,2,2,1,3,1,13,8.4,17
14,14,15,15.0,2018-11-17,19,DAL,,GSW,W (+3),1,36,9,20,0.45,2,8,0.25,4,4,1.0,1,8,9,4,0,0,3,3,24,15.3,18
15,15,16,16.0,2018-11-19,19,DAL,@,MEM,L (-10),1,37,6,20,0.3,3,9,0.333,0,0,,1,9,10,3,0,1,3,2,15,5.8,3
16,16,17,17.0,2018-11-21,19,DAL,,BRK,W (+6),1,34,5,11,0.455,2,3,0.667,9,11,0.818,2,7,9,4,2,0,3,4,21,18.2,1
17,17,18,18.0,2018-11-24,19,DAL,,BOS,W (+9),1,31,5,11,0.455,3,4,0.75,2,2,1.0,0,0,0,8,3,1,3,0,15,15.6,8
18,18,19,19.0,2018-11-28,19,DAL,@,HOU,W (+20),1,24,6,11,0.545,3,7,0.429,5,5,1.0,2,4,6,2,1,0,4,2,20,14.9,-6
19,19,20,20.0,2018-11-30,19,DAL,@,LAL,L (-11),1,32,2,13,0.154,0,5,0.0,2,3,0.667,0,6,6,5,3,2,3,3,6,2.8,-8
20,21,22,21.0,2018-12-04,19,DAL,,POR,W (+9),1,32,6,14,0.429,2,4,0.5,7,9,0.778,2,7,9,3,0,0,2,3,21,15.2,4
21,22,23,22.0,2018-12-05,19,DAL,@,NOP,L (-26),1,22,2,8,0.25,1,4,0.25,3,4,0.75,0,4,4,6,0,0,2,1,8,5.8,-8
