,Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,5,6,2.0,2012-11-10,19,CHI,,MIN,W (+7),0,6,1,3,0.333,0,0,,0,0,,0,1,1,0,0,0,0,1,2,0.2,2
2,6,7,3.0,2012-11-12,19,CHI,,BOS,L (-6),0,18,1,4,0.25,0,1,0.0,3,4,0.75,0,3,3,2,0,0,1,3,5,2.3,9
8,20,21,9.0,2012-12-12,19,CHI,@,PHI,W (+7),0,20,2,6,0.333,0,0,,2,2,1.0,0,2,2,4,2,0,1,2,6,6.2,11
9,21,22,10.0,2012-12-15,19,CHI,,BRK,W (+1),0,20,4,6,0.667,0,1,0.0,0,0,,0,2,2,2,0,0,1,4,8,4.8,6
10,23,24,11.0,2012-12-18,19,CHI,,BOS,W (+11),0,6,0,1,0.0,0,0,,0,0,,0,1,1,2,0,1,1,0,0,0.7,-5
12,25,26,13.0,2012-12-22,19,CHI,@,ATL,L (-17),0,16,4,8,0.5,0,1,0.0,0,2,0.0,0,1,1,3,0,0,2,0,8,3.6,8
13,26,27,14.0,2012-12-25,19,CHI,,HOU,L (-23),0,18,4,10,0.4,0,0,,0,0,,0,0,0,3,0,1,1,2,8,3.6,8
15,28,29,16.0,2012-12-31,19,CHI,,CHA,L (-10),0,19,2,7,0.286,0,0,,0,0,,0,2,2,3,1,0,1,2,4,1.8,-3
17,32,33,18.0,2013-01-09,19,CHI,,MIL,L (-8),0,6,0,1,0.0,0,0,,0,0,,0,0,0,2,0,0,2,2,0,-2.1,-4
19,35,36,20.0,2013-01-14,19,CHI,,ATL,W (+39),0,6,0,1,0.0,0,0,,0,0,,0,0,0,1,0,0,0,0,0,0.0,7
24,45,46,25.0,2013-02-01,19,CHI,@,BRK,L (-4),0,7,0,2,0.0,0,0,,0,0,,0,1,1,0,1,0,1,0,0,-1.1,4
25,46,47,26.0,2013-02-02,19,CHI,@,ATL,W (+17),0,7,1,2,0.5,0,0,,0,0,,0,1,1,1,0,0,0,1,2,1.6,-10
26,47,48,27.0,2013-02-04,19,CHI,@,IND,L (-10),0,8,1,2,0.5,0,0,,0,0,,0,0,0,2,0,0,1,1,2,1.0,12
27,48,49,28.0,2013-02-07,19,CHI,@,DEN,L (-32),0,22,5,8,0.625,0,2,0.0,0,0,,1,3,4,3,1,1,4,0,10,7.8,-13
30,51,52,31.0,2013-02-13,19,CHI,@,BOS,L (-2),0,19,2,6,0.333,0,2,0.0,1,2,0.5,0,2,2,3,0,0,1,1,5,2.5,7
31,53,54,32.0,2013-02-21,19,CHI,,MIA,L (-19),0,19,3,5,0.6,0,0,,0,0,,0,5,5,0,1,1,4,2,6,2.1,-12
32,54,55,33.0,2013-02-22,19,CHI,@,CHA,W (+30),0,24,2,4,0.5,0,2,0.0,0,0,,0,3,3,4,0,1,0,2,4,5.6,14
33,55,56,34.0,2013-02-24,19,CHI,@,OKC,L (-30),0,18,1,6,0.167,0,2,0.0,1,2,0.5,0,0,0,2,1,1,3,1,3,-1.5,-7
34,59,60,35.0,2013-03-03,20,CHI,@,IND,L (-5),0,28,1,5,0.2,0,1,0.0,0,2,0.0,0,3,3,3,1,0,1,5,2,-0.9,7
35,60,61,36.0,2013-03-06,20,CHI,@,SAS,L (-18),0,24,4,8,0.5,3,4,0.75,0,0,,0,3,3,3,1,0,1,1,11,9.6,-12
38,63,64,39.0,2013-03-13,20,CHI,@,SAC,L (-42),0,14,3,5,0.6,0,2,0.0,0,0,,0,3,3,1,0,1,3,0,6,3.0,-19
39,64,65,40.0,2013-03-15,20,CHI,@,GSW,W (+18),0,21,1,4,0.25,0,1,0.0,2,2,1.0,0,2,2,4,0,0,1,5,4,2.0,-3
42,67,68,43.0,2013-03-23,20,CHI,,IND,W (+3),0,8,0,2,0.0,0,0,,0,0,,0,2,2,3,0,0,0,1,0,0.9,8
50,81,6,3.0,2013-05-02,20,CHI,,BRK,L (-3),0,5,1,3,0.333,0,1,0.0,0,0,,0,0,0,1,1,0,0,1,2,1.6,-1
51,82,7,4.0,2013-05-04,20,CHI,@,BRK,W (+6),0,14,2,5,0.4,0,2,0.0,0,0,,0,0,0,3,1,1,0,1,4,4.7,4
52,83,8,5.0,2013-05-06,20,CHI,@,MIA,W (+7),0,8,0,0,,0,0,,0,0,,0,0,0,1,0,0,0,1,0,0.3,-3
53,84,9,6.0,2013-05-08,20,CHI,@,MIA,L (-37),0,15,0,3,0.0,0,0,,0,0,,0,0,0,3,0,0,1,1,0,-1.4,-13
54,85,10,7.0,2013-05-10,20,CHI,,MIA,L (-10),0,11,1,2,0.5,0,1,0.0,0,0,,0,2,2,1,0,0,0,2,2,1.5,-4
55,86,11,8.0,2013-05-13,20,CHI,,MIA,L (-23),0,16,0,2,0.0,0,1,0.0,0,0,,0,1,1,3,0,0,1,3,0,-1.2,-14
58,90,7,3.0,2013-11-15,20,CHI,@,TOR,W (+16),0,8,2,5,0.4,0,0,,0,1,0.0,1,1,2,0,0,0,2,1,4,-0.5,2
59,93,10,4.0,2013-11-21,20,CHI,@,DEN,L (-10),0,15,1,5,0.2,0,0,,1,1,1.0,0,0,0,2,0,0,3,1,3,-2.1,9
60,94,11,5.0,2013-11-22,20,CHI,@,POR,L (-3),0,8,1,2,0.5,0,0,,2,2,1.0,0,0,0,1,0,0,0,1,4,3.3,1
61,95,12,6.0,2013-11-24,20,CHI,@,LAC,L (-39),0,20,0,7,0.0,0,1,0.0,0,0,,0,3,3,1,0,0,1,2,0,-5.1,-19
62,96,13,7.0,2013-11-25,20,CHI,@,UTA,L (-6),0,14,0,1,0.0,0,1,0.0,0,0,,0,0,0,0,0,0,1,1,0,-2.1,9
63,97,14,8.0,2013-11-27,20,CHI,@,DET,W (+20),0,11,0,3,0.0,0,0,,0,0,,0,0,0,2,0,0,1,2,0,-2.5,6
65,100,17,10.0,2013-12-05,20,CHI,,MIA,W (+20),0,19,0,3,0.0,0,1,0.0,0,2,0.0,0,1,1,3,0,0,0,1,0,-0.9,2
66,101,18,11.0,2013-12-07,20,CHI,,DET,L (-17),0,17,4,8,0.5,0,0,,2,2,1.0,0,3,3,3,0,0,0,2,10,8.2,0
67,102,19,12.0,2013-12-10,20,CHI,,MIL,L (-4),0,23,1,7,0.143,0,1,0.0,0,0,,0,1,1,6,0,0,1,2,2,0.2,5
68,103,20,13.0,2013-12-11,20,CHI,@,NYK,L (-5),0,20,2,7,0.286,0,1,0.0,3,4,0.75,0,2,2,1,0,0,2,2,7,1.0,3
