,Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
0,2,3,1.0,2017-10-21,21,HOU,,DAL,W (+16),0,7,0,1,0.0,0,1,0.0,0,0,,0,3,3,0,0,1,1,1,0,-0.5,-7
2,8,9,3.0,2017-11-01,21,HOU,@,NYK,W (+22),0,5,1,3,0.333,0,2,0.0,1,2,0.5,0,0,0,0,0,0,1,2,3,-0.9,-4
3,9,10,4.0,2017-11-03,21,HOU,@,ATL,W (+15),0,7,0,3,0.0,0,2,0.0,2,2,1.0,0,1,1,0,0,0,0,1,2,-0.2,-15
4,10,11,5.0,2017-11-05,21,HOU,,UTA,W (+27),0,5,1,2,0.5,0,0,,2,2,1.0,0,1,1,0,0,0,1,0,4,2.3,4
8,15,16,9.0,2017-11-16,21,HOU,@,PHO,W (+26),0,8,0,3,0.0,0,0,,0,0,,0,1,1,0,0,2,1,3,0,-2.6,-2
10,17,18,11.0,2017-11-22,21,HOU,,DEN,W (+30),0,12,2,6,0.333,2,4,0.5,0,0,,2,0,2,1,1,1,0,1,6,6.0,-14
13,33,34,14.0,2017-12-29,21,HOU,@,WAS,L (-18),0,12,0,3,0.0,0,3,0.0,0,2,0.0,0,1,1,0,0,0,1,3,0,-4.8,-7
15,74,75,16.0,2018-03-27,22,HOU,,CHI,W (+32),0,8,0,1,0.0,0,1,0.0,0,0,,1,1,2,0,0,1,2,2,0,-1.8,-2
16,80,81,17.0,2018-04-10,22,HOU,@,LAL,W (+6),0,5,0,0,,0,0,,1,2,0.5,1,0,1,0,0,3,2,0,1,1.4,-2
17,81,82,18.0,2018-04-11,22,HOU,@,SAC,L (-13),0,32,1,5,0.2,0,3,0.0,0,0,,0,3,3,1,0,4,1,0,2,2.3,-9
