,Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
0,1,2,1.0,2017-01-19,24,MIA,,DAL,W (+4),0,9,0,1,0.0,0,1,0.0,0,0,,0,1,1,0,0,0,1,1,0,-1.8,-11
1,2,3,2.0,2017-01-21,24,MIA,,MIL,W (+12),0,19,0,2,0.0,0,0,,0,0,,0,3,3,0,1,0,1,2,0,-1.3,6
2,3,4,3.0,2017-01-23,24,MIA,,GSW,W (+3),0,11,2,3,0.667,0,1,0.0,1,1,1.0,1,0,1,0,0,0,0,0,5,4.4,3
3,4,5,4.0,2017-01-25,24,MIA,@,BRK,W (+3),0,27,3,4,0.75,2,3,0.667,2,2,1.0,0,7,7,1,1,4,1,4,10,12.4,12
4,5,6,5.0,2017-01-27,24,MIA,@,CHI,W (+12),0,21,1,2,0.5,1,1,1.0,0,0,,0,4,4,0,1,0,0,3,3,3.0,-1
5,6,7,6.0,2017-01-28,24,MIA,,DET,W (+13),0,19,2,3,0.667,1,2,0.5,2,2,1.0,0,2,2,0,0,0,0,2,7,5.5,10
6,7,8,7.0,2017-01-30,24,MIA,,BRK,W (+8),0,14,2,4,0.5,1,3,0.333,2,2,1.0,1,1,2,0,0,0,0,1,7,5.6,7
8,9,10,9.0,2017-02-04,24,MIA,,PHI,W (+23),0,25,2,6,0.333,1,2,0.5,0,0,,1,2,3,2,0,0,2,1,5,1.9,0
9,10,11,10.0,2017-02-06,24,MIA,@,MIN,W (+2),0,6,1,1,1.0,0,0,,1,1,1.0,1,0,1,1,0,0,2,4,3,0.5,1
10,11,12,11.0,2017-02-08,24,MIA,@,MIL,W (+18),0,17,2,3,0.667,1,2,0.5,2,2,1.0,1,4,5,1,0,0,0,2,7,7.5,0
11,12,13,12.0,2017-02-10,24,MIA,@,BRK,W (+9),0,31,2,6,0.333,1,2,0.5,5,6,0.833,4,1,5,1,0,0,2,4,10,6.4,16
12,13,14,13.0,2017-02-11,24,MIA,@,PHI,L (-8),0,18,1,2,0.5,0,1,0.0,0,0,,0,0,0,0,0,0,0,2,2,0.2,1
13,14,15,14.0,2017-02-13,24,MIA,,ORL,L (-9),0,7,0,2,0.0,0,1,0.0,0,0,,0,1,1,0,0,0,0,2,0,-1.9,-5
14,16,17,15.0,2017-02-24,24,MIA,@,ATL,W (+18),0,18,1,3,0.333,1,1,1.0,1,2,0.5,2,6,8,2,2,0,0,1,4,8.1,2
15,17,18,16.0,2017-02-25,24,MIA,,IND,W (+18),0,5,0,0,,0,0,,0,0,,1,0,1,2,0,0,0,0,0,2.1,7
16,18,19,17.0,2017-02-27,24,MIA,@,DAL,L (-7),0,10,1,1,1.0,1,1,1.0,0,0,,0,0,0,0,1,0,0,1,3,3.3,-2
17,19,20,18.0,2017-03-01,24,MIA,,PHI,W (+27),0,25,2,6,0.333,0,0,,0,0,,1,2,3,2,1,3,0,3,4,5.2,20
18,20,21,19.0,2017-03-03,24,MIA,@,ORL,L (-11),0,5,0,3,0.0,0,1,0.0,0,0,,1,1,2,0,0,0,0,1,0,-1.5,-4
19,21,22,20.0,2017-03-04,24,MIA,,CLE,W (+28),0,25,2,5,0.4,0,0,,2,2,1.0,3,4,7,0,0,0,3,3,6,2.4,7
20,22,23,21.0,2017-03-06,24,MIA,@,CLE,W (+8),0,22,1,6,0.167,0,2,0.0,0,0,,2,3,5,3,0,1,1,3,2,1.1,4
21,25,26,22.0,2017-03-12,24,MIA,@,IND,L (-4),0,5,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,2,0,-0.5,-5
