,Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,5,6,2.0,2013-01-16,24,HOU,@,DAL,L (-5),0,13,3,3,1.0,1,1,1.0,0,0,,0,1,1,2,0,1,1,3,7,6.3,3
2,6,7,3.0,2013-01-18,24,HOU,@,IND,L (-10),0,17,3,8,0.375,2,2,1.0,0,0,,0,3,3,2,3,1,1,1,8,8.2,3
3,7,8,4.0,2013-01-19,24,HOU,@,MIN,L (-13),0,17,0,4,0.0,0,3,0.0,2,4,0.5,3,0,3,2,0,0,3,5,2,-3.1,3
4,8,9,5.0,2013-01-21,24,HOU,@,CHA,W (+6),0,24,3,6,0.5,2,5,0.4,2,3,0.667,2,1,3,2,0,0,2,3,10,6.5,17
5,9,10,6.0,2013-01-23,24,HOU,,DEN,L (-10),0,13,0,3,0.0,0,3,0.0,0,0,,1,2,3,5,2,1,1,0,0,4.4,3
8,12,13,9.0,2013-01-28,24,HOU,@,UTA,W (+45),0,12,1,1,1.0,1,1,1.0,0,0,,1,0,1,3,2,1,0,1,3,7.8,11
9,15,16,10.0,2013-02-05,24,HOU,,GSW,W (+31),0,6,2,3,0.667,1,2,0.5,6,8,0.75,0,0,0,1,0,0,0,0,11,9.6,8
10,17,18,11.0,2013-02-08,24,HOU,,POR,W (+15),0,20,0,2,0.0,0,2,0.0,2,2,1.0,0,4,4,6,2,0,1,2,2,6.2,4
11,18,19,12.0,2013-02-10,24,HOU,@,SAC,L (-6),0,19,3,6,0.5,0,2,0.0,0,0,,3,2,5,8,0,1,2,3,6,8.8,-5
12,19,20,13.0,2013-02-12,24,HOU,@,GSW,W (+9),0,19,3,6,0.5,1,4,0.25,0,0,,1,2,3,5,2,0,0,4,7,9.2,5
13,20,21,14.0,2013-02-13,24,HOU,@,LAC,L (-10),0,25,2,6,0.333,1,2,0.5,0,0,,2,3,5,2,2,0,3,4,5,2.7,2
14,21,22,15.0,2013-02-20,24,HOU,,OKC,W (+3),0,18,0,4,0.0,0,2,0.0,0,0,,0,1,1,1,2,1,1,1,0,-0.5,-9
15,22,23,16.0,2013-02-22,24,HOU,@,BRK,W (+10),0,14,3,5,0.6,3,4,0.75,0,0,,0,1,1,2,0,1,0,3,9,7.9,9
16,23,24,17.0,2013-02-23,24,HOU,@,WAS,L (-2),0,22,6,9,0.667,3,5,0.6,0,0,,2,2,4,3,0,0,2,2,15,12.4,9
17,24,25,18.0,2013-02-27,24,HOU,,MIL,L (-3),0,19,1,3,0.333,1,2,0.5,0,0,,1,2,3,2,1,0,0,2,3,4.2,-4
18,25,26,19.0,2013-03-01,24,HOU,@,ORL,W (+8),0,22,5,7,0.714,3,4,0.75,0,0,,0,2,2,6,3,0,1,1,13,16.5,8
19,26,27,20.0,2013-03-03,24,HOU,,DAL,W (+33),0,23,2,5,0.4,0,1,0.0,5,6,0.833,4,3,7,3,1,0,2,3,9,9.5,7
20,27,28,21.0,2013-03-06,24,HOU,@,DAL,L (-4),0,23,0,2,0.0,0,0,,0,0,,2,1,3,7,1,1,2,2,0,4.1,3
21,28,29,22.0,2013-03-08,24,HOU,@,GSW,W (+6),0,11,0,2,0.0,0,1,0.0,0,0,,1,0,1,1,0,0,0,3,0,-1.2,-5
22,29,30,23.0,2013-03-09,24,HOU,@,PHO,L (-2),0,17,0,4,0.0,0,2,0.0,0,0,,3,0,3,5,1,0,1,1,0,2.4,-1
23,30,31,24.0,2013-03-13,24,HOU,,PHO,W (+30),0,22,2,7,0.286,2,4,0.5,0,0,,1,2,3,4,3,0,1,0,6,8.0,5
24,31,32,25.0,2013-03-15,24,HOU,,MIN,W (+8),0,9,0,0,,0,0,,0,0,,1,0,1,1,0,0,0,2,0,0.6,2
25,32,33,26.0,2013-03-17,24,HOU,,GSW,L (-30),0,13,0,4,0.0,0,3,0.0,0,0,,1,2,3,0,0,0,2,1,0,-3.9,-15
26,33,34,27.0,2013-03-20,24,HOU,,UTA,W (+7),0,18,3,6,0.5,1,2,0.5,0,0,,1,1,2,2,3,1,2,2,7,7.3,10
27,34,35,28.0,2013-03-22,24,HOU,,CLE,W (+38),0,21,4,7,0.571,1,2,0.5,2,2,1.0,0,4,4,5,1,1,2,2,11,11.3,26
28,35,36,29.0,2013-03-24,24,HOU,,SAS,W (+1),0,24,4,6,0.667,2,3,0.667,1,2,0.5,1,2,3,2,1,1,0,5,11,10.4,14
29,36,37,30.0,2013-03-27,24,HOU,,IND,L (-9),0,28,3,6,0.5,1,3,0.333,2,2,1.0,1,2,3,1,0,1,1,1,9,7.3,4
30,37,38,31.0,2013-03-29,24,HOU,@,MEM,L (-9),0,25,2,7,0.286,1,4,0.25,4,4,1.0,3,2,5,3,1,2,3,2,9,8.3,5
31,38,39,32.0,2013-03-30,24,HOU,,LAC,W (+17),0,17,3,7,0.429,1,3,0.333,2,2,1.0,2,2,4,3,0,0,1,4,9,6.8,5
32,39,40,33.0,2013-04-01,24,HOU,,ORL,W (+8),0,22,2,8,0.25,1,2,0.5,0,0,,2,1,3,2,0,1,0,2,5,3.2,-12
33,40,41,34.0,2013-04-03,24,HOU,@,SAC,W (+10),0,14,1,5,0.2,0,3,0.0,0,0,,1,1,2,5,0,1,2,2,2,1.3,-7
34,41,42,35.0,2013-04-05,24,HOU,@,POR,W (+18),0,22,3,3,1.0,1,1,1.0,0,0,,1,1,2,6,1,1,0,0,7,13.0,15
35,42,43,36.0,2013-04-06,24,HOU,@,DEN,L (-18),0,22,3,3,1.0,1,1,1.0,0,0,,0,3,3,9,0,1,2,1,7,11.6,-8
36,43,44,37.0,2013-04-09,24,HOU,,PHO,W (+3),0,20,4,10,0.4,1,5,0.2,0,0,,1,0,1,2,1,1,1,2,9,5.6,-3
37,44,45,38.0,2013-04-12,24,HOU,,MEM,L (-4),0,23,1,3,0.333,1,3,0.333,0,0,,0,4,4,1,0,0,1,5,3,0.2,3
38,45,46,39.0,2013-04-14,24,HOU,,SAC,W (+21),0,17,2,5,0.4,1,3,0.333,2,2,1.0,0,2,2,0,2,1,3,3,7,3.4,2
39,46,47,40.0,2013-04-15,24,HOU,@,PHO,L (-7),0,17,2,4,0.5,1,2,0.5,0,0,,2,1,3,0,0,1,0,2,5,4.6,2
40,47,48,41.0,2013-04-17,24,HOU,@,LAL,L (-4),0,18,2,5,0.4,0,2,0.0,2,2,1.0,1,4,5,2,1,0,0,3,6,6.4,-1
41,48,1,1.0,2013-04-21,24,HOU,@,OKC,L (-29),0,28,4,10,0.4,2,5,0.4,1,1,1.0,1,3,4,4,2,0,1,4,11,9.4,-18
